run_id,study,stage,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_estimator,l2_f,l2_fp,l2_f_reweight,l2_fp_reweight,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_ref,n_barrier_crossings,n_round_trips,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,had_nan,runtime_seconds,physics_tag
representative__opes__b2_h4_w2_n10_a1.5__seed0__N1024__T120000__b4_p500_s0.05_ginf__f5f685e4b71a,opes_wca,representative,opes,opes,0.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06672903642382604,0.3587593506987165,0.14273662483879962,2.0439530081050514,72.50448317540935,0.04183667215565743,0.26007449734561305,0.344256698456364,0.8518961596785589,347163.0,173274.0,0.35475221082785424,0.17452163669613857,160.0,3.431973934173584,0.0,142.21293988730758,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed1__N1024__T120000__b4_p500_s0.05_ginf__bd61eada3c5c,opes_wca,representative,opes,opes,1.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06167634880314555,0.35106052523107195,0.14082202307399494,2.067756425888462,71.03996548188636,0.03845190706590141,0.22288628599263632,0.39290861577230346,0.806811946846541,479336.0,239358.0,0.3601839956897338,0.17222758496567825,160.0,3.484588384628296,0.0,137.67168602347374,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed2__N1024__T120000__b4_p500_s0.05_ginf__a481ee2acb01,opes_wca,representative,opes,opes,2.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06721014058358217,0.37679818577627244,0.14057450959577458,2.0772121232002867,74.12159378569072,0.04531831764021284,0.2882169516134563,0.4245826184263164,0.8077435747168966,395362.0,197360.0,0.357676928587316,0.17586929106069762,160.0,3.4547171592712402,0.0,141.08342145290226,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed3__N1024__T120000__b4_p500_s0.05_ginf__35d87a8994d6,opes_wca,representative,opes,opes,3.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06324689754796164,0.36067809537087825,0.14599068496189233,2.100733287539484,74.25064777770038,0.03972985342368225,0.220460352367132,0.4134912977264266,0.8182305758934733,530454.0,264904.0,0.353902772583379,0.1732936790559373,160.0,3.4887619018554688,0.0,141.6636629095301,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed4__N1024__T120000__b4_p500_s0.05_ginf__d657a59e5542,opes_wca,representative,opes,opes,4.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06895756797145702,0.3612321271704941,0.14005273355709863,2.1077462865424437,64.73283156462628,0.03647815194376097,0.22196305484977685,0.3742995079955086,0.8381218121861306,549926.0,274653.0,0.3644875595790265,0.1719644120122253,160.0,3.496997594833374,0.0,137.13446247018874,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed5__N1024__T120000__b4_p500_s0.05_ginf__ac490c29e307,opes_wca,representative,opes,opes,5.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.07315531093335392,0.3616268776215701,0.1422785242075419,2.1062487925513813,66.94954056293867,0.0398657101587008,0.23725606013169173,0.40517070660869386,0.8159540388944002,546562.0,272961.0,0.3610373108715902,0.17174370388265162,160.0,3.5054590702056885,0.0,141.93214052077383,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed6__N1024__T120000__b4_p500_s0.05_ginf__eecbeb39c1d7,opes_wca,representative,opes,opes,6.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06407201663526907,0.3948688800845536,0.13816777890566276,2.0536104366935355,78.117006376663,0.045863791191981605,0.33870031040177123,0.44062913265610887,0.7840930449816361,290034.0,144693.0,0.3544349980017297,0.1748621135738107,160.0,3.392930746078491,0.0,143.4250612175092,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed7__N1024__T120000__b4_p500_s0.05_ginf__ef1dc718aaee,opes_wca,representative,opes,opes,7.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.055932012435802855,0.3368954180695028,0.13829064437741884,2.0800786120992187,60.4513443183476,0.029828845875419636,0.1673490675837154,0.4346045315423774,0.7710304240708225,578409.0,288890.0,0.38742109375942463,0.18425004712668958,160.0,3.4953391551971436,0.0,137.5309489145875,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed8__N1024__T120000__b4_p500_s0.05_ginf__1d753a7d7bda,opes_wca,representative,opes,opes,8.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.06485026185204089,0.3474704129963498,0.13933329018260732,2.081367044535602,67.35262891707123,0.0287420197572843,0.21090093515558123,0.373585382708143,0.8230802519591507,553810.0,276605.0,0.36006292963246483,0.1703464163886309,160.0,3.492297410964966,0.0,141.97412736527622,b2_h4_w2_n10_a1.5
representative__opes__b2_h4_w2_n10_a1.5__seed9__N1024__T120000__b4_p500_s0.05_ginf__790f94e13c57,opes_wca,representative,opes,opes,9.0,120000.0,1024.0,122880000.0,2.0,4.0,2.0,10.0,100.0,1.5,8.0,4.0,500.0,0.05,inf,meanforce,0.0681838794301798,0.3606528077249764,0.13952912933421058,2.09615636225676,65.28175841186182,0.038307931989903746,0.23205082182057402,0.4153160066635284,0.7937212440324495,554461.0,276911.0,0.36599198069791355,0.17221172899854117,160.0,3.496274471282959,0.0,141.16820119228214,b2_h4_w2_n10_a1.5
