rank_within_target,selected,method,target_type,gamma,eta,burnin_fraction,fr_every,median_integrated_l2_F,median_final_l2_F,median_final_l2_Fprime,median_mean_fr_event_fraction,passed_safety,n_seeds
31,False,abf_fr_estimated,estimated,0.1,0.1,0.0,5,16.151852180048426,0.0124490580743742,0.0718760369829421,1.3850503382855096e-05,True,5
32,False,abf_fr_estimated,estimated,0.1,0.075,0.2,5,16.334888158062462,0.0149796791372924,0.0868735216006744,1.26262570745439e-05,True,5
33,False,abf_fr_estimated,estimated,0.02,0.15,0.0,5,16.467687837056022,0.0130063317965525,0.0783463416802077,2.950000180135248e-06,True,5
34,False,abf_fr_estimated,estimated,0.05,0.075,0.2,5,16.56124488634162,0.0130888296524476,0.0785112623516253,6.939070777889355e-06,True,5
35,False,abf_fr_estimated,estimated,0.1,0.1,0.4,5,16.573302744438667,0.0123276446526955,0.0747540123438476,9.834171434401166e-06,True,5
36,False,abf_fr_estimated,estimated,0.1,0.075,0.4,5,16.576898252014995,0.0152258387207829,0.0858558336000516,1.1833752826836038e-05,True,5
1,True,abf_fr_uniform,uniform,0.05,0.15,0.2,5,14.46256526891927,0.0124659709401209,0.0769331091754065,5.250314387694743e-06,True,5
2,False,abf_fr_uniform,uniform,0.02,0.1,0.0,5,14.83166840910078,0.0121292826446774,0.070968635621454,2.950000180135248e-06,True,5
3,False,abf_fr_uniform,uniform,0.05,0.15,0.4,5,14.964570816276732,0.0145454652761339,0.0740122371009842,4.584589866378034e-06,True,5
4,False,abf_fr_uniform,uniform,0.05,0.1,0.0,5,14.97090992512817,0.0118011113378734,0.0680301069935279,7.250000421663571e-06,True,5
5,False,abf_fr_uniform,uniform,0.01,0.1,0.0,5,15.018559212157191,0.0124428100369284,0.0640032257830025,1.5002513509898562e-06,True,5
6,False,abf_fr_uniform,uniform,0.05,0.075,0.2,5,15.042059012003236,0.0141081287064804,0.0766400094007117,6.688128536325166e-06,True,5
7,False,abf_fr_uniform,uniform,0.05,0.15,0.0,5,15.044132756065672,0.0123901430317224,0.0746256570850669,6.850000413578528e-06,True,5
8,False,abf_fr_uniform,uniform,0.05,0.075,0.4,5,15.1167036895909,0.0151734026493963,0.0835525857414209,5.916667002262936e-06,True,5
9,False,abf_fr_uniform,uniform,0.1,0.1,0.2,5,15.128912049716456,0.0145540986104395,0.0805747953974224,1.1313756937170183e-05,True,5
10,False,abf_fr_uniform,uniform,0.05,0.1,0.2,5,15.166519813506657,0.0137568375924629,0.0746246590544525,5.500628486743153e-06,True,5
