run_id,config_id,method,target_type,seed,gamma,eta,burnin_fraction,fr_every,final_l2_F,final_l2_Fprime,integrated_l2_F,integrated_l2_Fprime,final_marginal_l2_uniform,final_marginal_l2_target,barrier_crossings,n_unique_ancestors,mean_fr_event_fraction,max_fr_event_fraction,any_nan,frac_left,frac_barrier,frac_right,runtime_seconds,total_barrier_crossings
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,2,0.01,0.075,0.2,5,0.0170067463746425,0.0885452612443394,16.90065676195055,43.69051561662489,0.0330220130321123,0.0330208614644333,490062,978,1.437500094425559e-06,0.0010000000474974,False,0.349,0.188,0.305,13.4513916015625,490062
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,3,0.01,0.075,0.2,5,0.0134340807463879,0.0774316474438464,16.458464555323285,43.90362569642672,0.0340508040106519,0.0340490009839686,530112,981,1.1875000723193809e-06,0.0010000000474974,False,0.335,0.143,0.349,13.4513916015625,530112
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,4,0.01,0.075,0.2,5,0.0146438478032414,0.0654439651633366,14.374483378070064,39.71320388637768,0.0275328295359633,0.0275290297477166,532170,978,1.375000084635758e-06,0.0010000000474974,False,0.356,0.162,0.312,13.4513916015625,532170
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0,0.02,0.075,0.2,5,0.0209734339624705,0.1061854709636867,16.924620016313614,45.85532181093266,0.0290453602405522,0.0290510324943273,470295,958,2.625000161060598e-06,0.0010000000474974,False,0.358,0.178,0.303,13.4513916015625,470295
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,1,0.02,0.075,0.2,5,0.017466880747861,0.0865459535899459,14.380326162375876,40.04077103319607,0.0311169231404564,0.0311173857138406,493546,956,2.875000177482434e-06,0.0010000000474974,False,0.345,0.153,0.341,13.4513916015625,493546
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,2,0.02,0.075,0.2,5,0.0127000850408578,0.0751653133325394,16.439125545369844,42.11890193083023,0.026754470282916,0.0267548986671991,488863,962,2.4375001430598786e-06,0.0010000000474974,False,0.325,0.182,0.326,13.4513916015625,488863
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,3,0.02,0.075,0.2,5,0.013021369383148,0.0689890282121939,13.871832947600709,37.62497441304557,0.0308659965064544,0.0308612930828668,505794,965,2.312500146217644e-06,0.0010000000474974,False,0.358,0.18,0.312,13.4513916015625,505794
abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.02|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,4,0.02,0.075,0.2,5,0.0117703037976361,0.0652464679652659,14.777090896066005,37.29946220936014,0.0339334233815682,0.0339365658811763,482175,954,2.875000183166776e-06,0.0010000000474974,False,0.334,0.171,0.325,13.4513916015625,482175
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0,0.05,0.075,0.2,5,0.0115286745725152,0.0710862002818394,14.36039293809373,36.62788989543992,0.0230016676281605,0.0229991248975689,470977,906,6.312814451803206e-06,0.0010000000474974,False,0.34,0.151,0.331,13.4513916015625,470977
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,1,0.05,0.075,0.2,5,0.0174532423323388,0.0846743526316428,16.56124488634162,44.99153115040326,0.0361740002847815,0.0361752612258986,511348,918,5.750000343596184e-06,0.0010000000474974,False,0.313,0.175,0.345,13.4513916015625,511348
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,2,0.05,0.075,0.2,5,0.0126931812891742,0.0773756658718129,14.117782990922269,38.47006550481529,0.0299056926351243,0.0299135037244872,491084,903,7.125942596530877e-06,0.0010000000474974,False,0.354,0.156,0.316,13.4513916015625,491084
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,3,0.05,0.075,0.2,5,0.0130888296524476,0.0785112623516253,16.836502369614013,42.92311484074736,0.0327365964030151,0.0327386648776564,502502,897,6.939070777889355e-06,0.0020000000949949,False,0.324,0.186,0.31,13.4513916015625,502502
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,4,0.05,0.075,0.2,5,0.0168193222153136,0.0941715570366242,17.47971222895542,47.183137519181024,0.0354720083735165,0.0354741187297906,512454,892,7.1890707602051405e-06,0.0020000000949949,False,0.322,0.17,0.328,13.4513916015625,512454
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0,0.1,0.075,0.2,5,0.0140497740358106,0.0847556912435937,18.10625809624853,45.02666731735808,0.0355176813035989,0.0355200560856258,489641,808,1.4313129071297226e-05,0.0020000000949949,False,0.335,0.173,0.32,13.4513916015625,489641
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5|seed=1,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,1,0.1,0.075,0.2,5,0.0147574522397117,0.0868735216006744,15.184708942746177,41.845950892441074,0.025937851914669,0.0259355362782684,482284,821,1.325157112432862e-05,0.0020000000949949,False,0.323,0.163,0.339,13.4513916015625,482284
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5|seed=2,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,2,0.1,0.075,0.2,5,0.0173287542166951,0.0911186957181926,16.36541491363758,41.76379415013932,0.0261055665089082,0.0261076322207253,468949,846,1.1750314695291308e-05,0.0010000000474974,False,0.339,0.166,0.328,13.4513916015625,468949
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5|seed=3,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,3,0.1,0.075,0.2,5,0.0175500853007899,0.0979214018251067,16.334888158062462,44.74347405469304,0.0381799145850886,0.0381812911782988,489963,836,1.243781480866346e-05,0.0010000000474974,False,0.322,0.181,0.326,13.4513916015625,489963
abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5|seed=4,abf_fr_estimated|tt=estimated|g=0.1|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,4,0.1,0.075,0.2,5,0.0149796791372924,0.0581505849308656,13.30343207715247,31.767937449991926,0.0381577204368846,0.0381577240650062,471153,833,1.26262570745439e-05,0.0020000000949949,False,0.354,0.146,0.325,13.4513916015625,471153
abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5|seed=0,abf_fr_estimated|tt=estimated|g=0.01|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0,0.01,0.075,0.4,5,0.011973576338127,0.0730692314912607,15.379817452988757,39.64928236131538,0.0335879394911997,0.0335888764578318,488820,985,1.250418843786368e-06,0.0010000000474974,False,0.331,0.19,0.315,12.771421313285828,488820
