config_id,method,target_type,gamma,eta,burnin_fraction,fr_every,n_seeds,median_final_l2_F,iqr_final_l2_F,median_final_l2_Fprime,iqr_final_l2_Fprime,median_integrated_l2_F,iqr_integrated_l2_F,median_integrated_l2_Fprime,iqr_integrated_l2_Fprime,median_final_marginal_l2_uniform,iqr_final_marginal_l2_uniform,median_final_marginal_l2_target,iqr_final_marginal_l2_target,median_mean_fr_event_fraction,iqr_mean_fr_event_fraction,median_max_fr_event_fraction,iqr_max_fr_event_fraction,median_barrier_crossings,iqr_barrier_crossings,median_frac_left,iqr_frac_left,median_frac_barrier,iqr_frac_barrier,median_frac_right,iqr_frac_right,frac_nan
abf_fr_estimated|tt=estimated|g=0.02|eta=0.15|bi=0.2|fe=5,abf_fr_estimated,estimated,0.02,0.15,0.2,5,5,0.0133127061382351,0.0026983451615434986,0.0707086116924981,0.006235785776823197,15.46346677788028,0.5459897391194328,39.30456404179885,2.570809912998861,0.0207121764599607,0.0009919863674733992,0.020712788254103,0.0009948591945232003,1.6875001108473952e-06,1.2500000252657632e-07,0.0010000000474974,0.0,488185.0,41104.0,0.329,0.007000000000000006,0.168,0.0030000000000000027,0.336,0.013000000000000012,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.15|bi=0.4|fe=5,abf_fr_estimated,estimated,0.02,0.15,0.4,5,5,0.0150543818991318,0.003524498769120501,0.0736910823587111,0.010399698122954201,15.546000110179245,0.502762498211716,39.729330718413685,4.327203353763345,0.0210176466076341,0.0032960856050879977,0.0210162496788785,0.0033013037155885,1.7500001149528544e-06,3.3375211690630157e-07,0.0010000000474974,0.0,495770.0,17075.0,0.345,0.004999999999999949,0.165,0.015999999999999986,0.314,0.01200000000000001,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.15|bi=0|fe=5,abf_fr_estimated,estimated,0.02,0.15,0.0,5,5,0.0130063317965525,0.0009234652882532998,0.0783463416802077,0.013460140585299901,16.467687837056022,1.6388059326574673,40.13534197772777,5.1393110079731485,0.0213902603941352,0.0079340630612496,0.021387404481807,0.007937354757053799,2.950000180135248e-06,4.5000001136941147e-07,0.0010000000474974,0.0,501570.0,26234.0,0.323,0.006000000000000005,0.171,0.009999999999999981,0.333,0.0040000000000000036,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.1|bi=0.2|fe=5,abf_fr_estimated,estimated,0.02,0.1,0.2,5,5,0.0131770863155524,0.0014251621522886997,0.0712888971249811,0.006783697627817206,16.13365622662046,1.7318527295952109,39.55937969665515,3.219693824824674,0.0257515547146486,0.006083198129578398,0.0257525988266901,0.0060852373017008,2.3753142158966512e-06,4.3750003442255547e-07,0.0010000000474974,0.0,500025.0,10665.0,0.332,0.01100000000000001,0.174,0.017999999999999988,0.323,0.0030000000000000027,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.1|bi=0.4|fe=5,abf_fr_estimated,estimated,0.02,0.1,0.4,5,5,0.0141718238529187,0.0016061401854662004,0.0746683458261947,0.01600585889476909,15.51182474828633,0.5224787200207075,41.54746679072724,3.5561395461932293,0.0245486253481664,0.0067153830729067,0.0245486989201734,0.0067143091536872,1.916666792567412e-06,5.837521257490152e-07,0.0010000000474974,0.0,526943.0,17431.0,0.338,0.007999999999999952,0.165,0.015999999999999986,0.331,0.016000000000000014,0.0
abf_fr_estimated|tt=estimated|g=0.02|eta=0.1|bi=0|fe=5,abf_fr_estimated,estimated,0.02,0.1,0.0,5,5,0.012398737118458,0.0006680528923877008,0.072502957406892,0.0026662988171577,14.720626526953254,1.0193277899824622,38.99751528069434,1.5610383515534423,0.030240876758435,0.0051648698823961,0.0302408482164914,0.005167029574826402,2.9000001813983544e-06,1.0025126812251988e-07,0.0010000000474974,0.0,490019.0,19527.0,0.317,0.01100000000000001,0.163,0.007000000000000006,0.348,0.007999999999999952,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.2|fe=5,abf_fr_estimated,estimated,0.05,0.075,0.2,5,5,0.0130888296524476,0.004126140926139402,0.0785112623516253,0.007298686759829906,16.56124488634162,2.4761094315202836,42.92311484074736,6.521465645587973,0.0327365964030151,0.0055663157383922,0.0327386648776564,0.0055606150053034015,6.939070777889355e-06,8.131281447276711e-07,0.0010000000474974,0.0010000000474975,502502.0,20264.0,0.324,0.018000000000000016,0.17,0.01899999999999999,0.328,0.015000000000000013,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0.4|fe=5,abf_fr_estimated,estimated,0.05,0.075,0.4,5,5,0.0151045309930977,0.0022629746115344993,0.0717842079858921,0.005806925905915902,14.828638917420564,0.4777316532748799,40.46716258355737,3.0458442559890457,0.0336973160596468,0.002496370451176698,0.0336991568921071,0.0024974180366447024,5.417085768992062e-06,5.829146099737651e-07,0.0010000000474974,0.0010000000474975,500030.0,31046.0,0.338,0.010999999999999954,0.175,0.0050000000000000044,0.324,0.006000000000000005,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.075|bi=0|fe=5,abf_fr_estimated,estimated,0.05,0.075,0.0,5,5,0.0135080571117314,0.0016390268027496012,0.0787017526602758,0.008619149650898106,14.9953813322079,0.9353830955700513,41.79728940682183,0.7076097689236676,0.0267555623620843,0.0032002498798531995,0.0267571365382538,0.0032003169335773976,8.0502517585046e-06,1.100000081351026e-06,0.0020000000949949,0.0010000000474975,505325.0,27651.0,0.333,0.01100000000000001,0.172,0.010999999999999982,0.328,0.007000000000000006,0.0
abf_fr_estimated|tt=estimated|g=0.05|eta=0.15|bi=0.2|fe=5,abf_fr_estimated,estimated,0.05,0.15,0.2,5,5,0.0121921850499077,0.000318126359748901,0.0738626659510436,0.003978907510414506,15.658326840640186,1.995556401851701,39.298753626631765,6.111718041711526,0.0201224532922861,0.002226248251825099,0.0201255975472165,0.0022359811610312003,5.625000341069608e-06,5.003140756798528e-07,0.0010000000474974,0.0,485554.0,33048.0,0.334,0.013000000000000012,0.18,0.024999999999999994,0.332,0.01200000000000001,0.0
