kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,final_neff_frac,final_n_kernels,final_l2_F_reweight,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,2,1.4019107812701326,97.16577652192761,10.077546588306262,488.41104223806406,4.554421829249744,2.137094102536148,0.23404255319148937,5572102.043222029,4877242,9172,3463,1580,0,78,896.2188034188034,896.2188034188034,0.0029296875,0.228515625,0.1044921875,0.0707975610913106,0.27318091943130385,0.02398991917695378,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.15235664589523326,0.14092669373014205,5.600461363135063e-06,9.749376039933444e-06,13601.0,0.005734872435850305
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,3,1.542746501814954,101.82862978835666,10.299477121114574,498.73250411531905,4.167294469624094,2.3342729308115926,0.2127659574468085,5478187.517776467,4824009,9032,3445,302,0,103,794.3757575757576,794.3757575757576,0.0087890625,0.2099609375,0.1103515625,0.07309387166321417,0.2838604462488386,0.02930314420575218,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.15385088779696982,0.15508416560399557,7.395481030806558e-06,1.07421875e-05,13601.0,0.0075729725755459155
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,4,1.5462473605637712,102.59547587502234,10.303734836727983,500.0666722078262,4.275258104715263,2.342086949091228,0.22340425531914893,5508280.067307513,4826262,8968,3237,171,0,99,789.5903614457832,789.5903614457832,0.01171875,0.205078125,0.10546875,0.07297745221094808,0.2817379523245003,0.024051881471772216,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.1600588697555056,0.155436088461911,7.108277883979119e-06,1.1374272046589018e-05,13601.0,0.007278876553194618
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,5,1.512348544523947,101.85409179538098,10.232607377066195,498.46478723815864,4.472589334959291,2.302336120253258,0.22340425531914893,5551043.070412875,4830319,8967,3737,1504,0,108,740.5197740112994,740.5197740112994,0.0146484375,0.2314453125,0.1005859375,0.07204108774314072,0.27707616922623185,0.025393055902743048,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.15746543997942392,0.1520284193508064,7.754484964340857e-06,1.46484375e-05,13601.0,0.007940592603485038
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,6,1.588577689315757,102.29832950961818,10.388818087577699,500.550862705079,4.146115234539588,2.3679868922714844,0.2127659574468085,5448705.377418736,4836000,9027,3018,973,0,110,820.4820031298905,820.4820031298905,0.0048828125,0.21875,0.115234375,0.0719065219668923,0.28674972221835354,0.024679633732383764,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.15636252578487458,0.15969133305752115,7.898086537754577e-06,1.1374272046589018e-05,13601.0,0.008087640614660687
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,7,1.5206334336324032,100.44049896791356,10.25276595899186,495.80303162664114,4.26543773115038,2.289075582210455,0.2127659574468085,5524178.025351897,4833100,8949,3565,399,0,97,817.9219968798752,817.9219968798752,0.0087890625,0.2255859375,0.103515625,0.07223971137379924,0.28120933622066924,0.024567852285636325,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.15571591967307505,0.15286125553808347,6.9646763105654e-06,1.624896006655574e-05,13601.0,0.007131828542018969
dist,pentane,fr_estimated,fr_estimated,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_estimated__trans__b2__N1024__T80000__ns8__76cef4957641,1239.4892572220415,8,1.4347432698475282,97.83243786151493,10.116529814940623,489.8930175695657,4.477018319405343,2.187493422285469,0.22340425531914893,5567991.24784685,4860961,9153,3687,1465,0,85,872.3594009983361,872.3594009983361,0.00390625,0.2060546875,0.115234375,0.0726967027577919,0.2733817958072023,0.030260523717503165,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.1533763567824753,0.14422717056787132,6.1030668700830824e-06,1.2999168053244593e-05,13601.0,0.006249540474965076
dist,pentane,fr_oracle,fr_oracle,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_oracle__trans__b2__N1024__T80000__ns8__547a209d9c44,1103.8470796979964,1,1.5922912498449162,102.60545420925206,10.367094208380662,500.06937129089226,4.022524709400758,2.379785339354388,0.2127659574468085,5524301.585093567,4813036,8861,3520,562,0,97,815.3779160186625,815.3779160186625,0.0087890625,0.2060546875,0.1083984375,0.07337763442417847,0.2866486456565381,0.026864714893807706,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.1567176113093841,0.16006463770310425,6.9646763105654e-06,1.1374272046589018e-05,13601.0,0.007131828542018969
dist,pentane,fr_oracle,fr_oracle,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_oracle__trans__b2__N1024__T80000__ns8__547a209d9c44,1103.8470796979964,2,1.4063321578657062,97.19082156759696,10.08381251133407,488.4467916499807,4.554421829248853,2.1369404673993997,0.22340425531914893,5565751.092570312,4868208,9124,3463,1580,0,84,878.2043551088777,878.2043551088777,0.00390625,0.22265625,0.1162109375,0.07065024109458284,0.2731971885408489,0.023931122364179023,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.14980852334038683,0.1413711513901263,6.0312660833762225e-06,9.765625e-06,13601.0,0.006176016469377252
dist,pentane,fr_oracle,fr_oracle,trans,2.0,2.3,False,production,80000,1024,production__dist__pentane__fr_oracle__trans__b2__N1024__T80000__ns8__547a209d9c44,1103.8470796979964,3,1.5597124798461215,102.18260100670315,10.331458498567832,499.52425136769426,4.167294469624373,2.343562579172652,0.2127659574468085,5462733.747731155,4816068,8972,3445,302,0,105,776.7229629629629,776.7229629629629,0.009765625,0.212890625,0.109375,0.07317267490298025,0.2852381578638329,0.029226983731231206,0.8333333333333334,,,,production_dist_pentane_b2_trans_g256,9.947801542514195,0.151617603509725,0.15678966585534854,7.539082604220278e-06,1.26953125e-05,13601.0,0.007720020586721565
