step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,chi2,hold_max,n_clones,cooldown_until,row,seed
12500,A4a,0.0,31,True,0.2916485143456013,0.0,19,50.0,False,,2.6032793371503042,678.0,19.0,13178.0,12,5212
12500,A4a,0.0,31,True,0.2702100680788854,0.0,29,60.0,False,,3.8182818973141557,648.0,29.0,13148.0,13,5213
12500,A4a,0.1804663879105278,32,True,0.2896082250579967,0.0,18,44.0,False,,2.2295150162337665,632.0,18.0,13132.0,14,5214
12500,A4a,0.0,31,False,0.1806444162039473,0.0,0,0.0,False,,1.5287587860168508,,,,15,5215
13000,A4a,0.0,31,True,0.20321554733961972,0.0,14,32.0,False,,2.0279628078015177,648.0,14.0,13648.0,0,5200
13000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,1,5201
13000,A4a,0.1110603897909969,32,False,0.0,0.0,0,0.0,True,,,,,,2,5202
13000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,2.4421560846560846,,,,3,5203
13000,A4a,0.0,31,True,0.4157432542491535,0.0,19,82.0,False,,2.3946702043476233,716.0,19.0,13716.0,4,5204
13000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.729123376623377,,,,5,5205
13000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.4617664742664744,,,,6,5206
13000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,7,5207
13000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,8,5208
13000,A4a,0.0,31,True,0.272952262412658,0.0,26,64.0,False,,3.3235546711353154,694.0,26.0,13694.0,9,5209
13000,A4a,0.0,30,True,0.19508225854934774,0.0,20,40.0,False,,2.931253006253006,576.0,20.0,13576.0,10,5210
13000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,11,5211
13000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,12,5212
13000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,13,5213
13000,A4a,0.18912723258405176,32,False,0.0,0.0,0,0.0,True,,,,,,14,5214
13000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,2.198380230880231,,,,15,5215
13500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,0,5200
13500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.8434634362053712,,,,1,5201
13500,A4a,0.0,31,True,0.19890750972174837,0.0,15,32.0,False,,2.595904901550063,648.0,15.0,14148.0,2,5202
13500,A4a,0.0,31,False,0.1763220425788026,0.0,0,0.0,False,,1.74633431085044,,,,3,5203
13500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,4,5204
13500,A4a,0.0,30,True,0.579060781717539,0.0,31,154.0,False,,3.7006072631072633,716.0,31.0,14216.0,5,5205
13500,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,2.9300986050986046,,,,6,5206
13500,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,1.2482756132756134,,,,7,5207
13500,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.2348624493785785,,,,8,5208
13500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,9,5209
13500,A4a,0.11033407848945696,32,False,0.0,0.0,0,0.0,True,,,,,,10,5210
13500,A4a,0.0961202469728803,32,True,0.3025165661964542,0.0,20,48.0,False,,2.312437996031746,632.0,20.0,14132.0,11,5211
13500,A4a,0.0,31,True,0.24288672724293023,0.0,19,40.0,False,,2.070172927430992,610.0,19.0,14110.0,12,5212
13500,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,2.34711038961039,,,,13,5213
13500,A4a,0.14385878983435516,32,True,0.2121048840643223,0.0,22,46.0,False,,2.2169699224386727,648.0,22.0,14148.0,14,5214
13500,A4a,0.0,31,False,0.1864778813912674,0.0,0,0.0,False,,1.6692757063724806,,,,15,5215
14000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,1.7804725829725832,,,,0,5200
14000,A4a,0.0,31,False,0.160683822231718,0.0,0,0.0,False,,1.5635071917329983,,,,1,5201
14000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,2,5202
14000,A4a,0.0,30,False,0.0,0.0,0,0.0,False,,3.756382876382877,,,,3,5203
14000,A4a,0.0,31,False,0.20072651114968373,0.0,0,0.0,False,,1.953103616813294,,,,4,5204
14000,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,5,5205
14000,A4a,0.0,28,False,0.0,0.0,0,0.0,False,,3.83767908678623,,,,6,5206
14000,A4a,0.0,31,True,0.26705550796536004,0.0,18,48.0,False,,2.169693478564446,678.0,18.0,14678.0,7,5207
14000,A4a,0.0,31,True,0.26652145353460405,0.0,24,52.0,False,,3.619411860540893,648.0,24.0,14648.0,8,5208
14000,A4a,0.0,30,True,0.2672525645582137,0.0,19,42.0,False,,2.360414862914863,648.0,19.0,14648.0,9,5209
14000,A4a,0.0,31,False,0.1476895564200285,0.0,0,0.0,False,,1.7661011031978775,,,,10,5210
14000,A4a,0.06795754289034948,32,False,0.0,0.0,0,0.0,True,,,,,,11,5211
14000,A4a,0.13309804131979228,32,False,0.0,0.0,0,0.0,True,,,,,,12,5212
14000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,3.1976423218358705,,,,13,5213
14000,A4a,0.18223866331231173,32,False,0.0,0.0,0,0.0,True,,,,,,14,5214
14000,A4a,0.0,31,False,0.0,0.0,0,0.0,False,,2.0991132523390585,,,,15,5215
14500,A4a,0.0,30,False,0.20689431252072038,0.0,0,0.0,False,,1.9086556036556037,,,,0,5200
14500,A4a,0.0,30,False,0.16101061325280638,0.0,0,0.0,False,,1.2877549302549303,,,,1,5201
14500,A4a,0.0,31,True,0.2525075049711636,0.0,15,36.0,False,,2.111946655495043,648.0,15.0,15148.0,2,5202
14500,A4a,0.0,31,True,0.26059626688058896,0.0,21,46.0,False,,2.9191837732160315,632.0,21.0,15132.0,3,5203
14500,A4a,0.0,31,False,0.2121299458166664,0.0,0,0.0,False,,1.928744821486757,,,,4,5204
14500,A4a,0.0,30,True,0.3092965725879682,0.0,24,60.0,False,,3.1666209716209712,694.0,24.0,15194.0,5,5205
14500,A4a,0.0,29,False,0.0,0.0,0,0.0,False,,3.442353336318854,,,,6,5206
14500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,7,5207
14500,A4a,0.0,31,False,0.0,0.0,0,0.0,True,,,,,,8,5208
14500,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,9,5209
14500,A4a,0.1262438121797376,32,False,0.26760114414351993,0.0,0,0.0,False,,1.8697510822510823,,,,10,5210
14500,A4a,0.0,31,False,0.18404716245898342,0.0,0,0.0,False,,1.8593189964157706,,,,11,5211
14500,A4a,0.10929477047826455,32,True,0.25108915897430883,0.0,18,40.0,False,,2.250443046536797,632.0,18.0,15132.0,12,5212
14500,A4a,0.16979376599135523,32,False,0.1269527528933559,0.0,0,0.0,False,,1.2262671356421357,,,,13,5213
14500,A4a,0.0,30,False,0.14207126478601173,0.0,0,0.0,False,,1.4215416065416067,,,,14,5214
14500,A4a,0.07688224734077997,32,True,0.23060714685141848,0.0,17,34.0,False,,2.1989594606782106,576.0,17.0,15076.0,15,5215
15000,A4a,0.0,31,False,0.1499581641009131,0.0,0,0.0,False,,1.3146976679234745,,,,0,5200
15000,A4a,0.08538061002860355,32,False,0.17173467124211103,0.0,0,0.0,False,,1.5222943722943723,,,,1,5201
15000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,2,5202
15000,A4a,0.17791605144954517,32,False,0.0,0.0,0,0.0,True,,,,,,3,5203
15000,A4a,0.0,31,True,0.25561589703236254,0.0,20,42.0,False,,2.621278452730065,622.0,20.0,15622.0,4,5204
15000,A4a,0.0,30,False,0.0,0.0,0,0.0,True,,,,,,5,5205
15000,A4a,0.0,31,True,0.5269843371630839,0.0,29,124.0,False,,3.2578189731415534,716.0,29.0,15716.0,6,5206
