physics_tag,n_replicas,n_steps,budget,method,name,beta,h,M,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,fr_score_std_median,fr_score_std_q25,fr_score_std_q75,fr_score_clip_fraction_median,fr_score_clip_fraction_q25,fr_score_clip_fraction_q75
b2_h6_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,2.0,6.0,100,12.0,8,0.01902880062032001,0.018081490925938176,0.019535426879891044,0.14965144328785435,0.14762575801497116,0.15258693286446456,42.65847015716275,36.87711096352945,60.14953375603712,0.01657122984372018,0.016098597813602802,0.017185363537659197,1.2788771904496032,1.2628317295015332,1.2878002353176572,1004632.0,1002371.0,1009121.25,6.103210464476776e-05,5.810256362181891e-05,6.20452375818709e-05,0.0005673828125,0.00014208984375,0.0009765625,267.6310513248657,259.1389681342283,273.5415026961201,0.0126953125,0.01220703125,0.0146484375,0.14788173716471045,0.1464351147154713,0.1497686192134947,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,2048,60000,122880000,abf,abf,2.0,6.0,100,12.0,8,0.026871495890630037,0.02558938373749539,0.027324423193341184,0.1860606832187946,0.18405365590312306,0.1896857788587144,27.4947232530078,24.47775065631891,30.08617983342002,0.01989525993811911,0.018993477647295264,0.02033016426756755,1.2872375283230326,1.2832871996245157,1.2893329341108817,922582.0,918014.75,926520.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2_h6_w2_n10_a1.5,2048,60000,122880000,fr_estimated,fr_estimated,2.0,6.0,100,12.0,8,0.021193531945670904,0.020140934982531878,0.022821726366401306,0.17933836952558443,0.17593140847323738,0.1814322001887213,27.558408720016786,26.057391921835972,30.701305384262355,0.017594211467942697,0.01640523824466874,0.01891732625744283,1.2930862194611845,1.2912482723162366,1.294871207594829,927852.0,926333.0,931716.5,6.938829911886014e-05,6.832031738220222e-05,7.073090473065867e-05,0.00015576171875,0.0001455078125,0.00048828125,841.0483690001956,831.968496663831,860.5266284019023,0.00439453125,0.00439453125,0.0054931640625,0.1705649424680151,0.16695670418616387,0.17216064102959144,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,2048,120000,245760000,abf,abf,2.0,6.0,100,12.0,8,0.02582636305148526,0.02472178183155115,0.02659496416761521,0.1625327172209623,0.16107297591504616,0.16435754145506987,29.463266489684763,29.013929866053026,33.094646156361904,0.018131952152886995,0.016885754115594762,0.018431593724324312,1.2921257557789394,1.2816212217980059,1.3025633410362945,2000522.0,1994962.5,2009155.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4_h1_w2_n10_a1.5,512,240000,122880000,abf,abf,4.0,1.0,100,4.0,8,0.004075944154239251,0.003735950906413031,0.005196087791895074,0.025467780909229545,0.02405979499823594,0.027646460872596416,14.054089146991778,13.313988295751791,14.339141686497499,0.0045272552068243675,0.0036687712627856434,0.004739103692661853,0.842852351693043,0.8199353882208982,0.8526704344829921,702055.5,697710.25,706599.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4_h1_w2_n10_a1.5,512,240000,122880000,fr_estimated,fr_estimated,4.0,1.0,100,4.0,8,0.017162600789522187,0.016533759615051043,0.019037192741796688,0.04930881221596521,0.04737460241841915,0.05483416213209755,21.725708562452837,20.518852545691544,22.332154028486627,0.009382545298018475,0.008724277680173587,0.010625884355427252,0.8568841178510095,0.8389016506539968,0.8741473392697302,721605.5,718018.25,725333.25,7.046626070998386e-05,6.885718861503148e-05,7.134292757550964e-05,0.00013867187500000001,0.0001318359375,0.0006083984375,65.19405950881846,59.6963924963925,68.96233213924471,0.0419921875,0.0390625,0.044921875,0.1795719125885506,0.17654778268418722,0.18228851590809236,0.0,0.0,0.0
b4_h1_w2_n10_a1.5,1024,120000,122880000,abf,abf,4.0,1.0,100,4.0,8,0.004562441101100188,0.0035481972571958943,0.006542262290322655,0.026332804152327888,0.02398795187523997,0.03341797970098711,12.284619891280656,11.940581105199257,12.64577898056066,0.004894581612316139,0.003838894113988306,0.0070794304324974045,0.8394023124485153,0.8318462459264506,0.8491639595911421,677916.5,676801.25,682603.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4_h1_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,4.0,1.0,100,4.0,8,0.023249366360352564,0.02183479208272783,0.025241293938984114,0.06498245685219384,0.06218577673536611,0.06978102380395695,16.013903023829528,15.607736888136742,16.36341580708431,0.012000203303536704,0.011525043475506484,0.012743134781649276,0.8499004502009112,0.8296729557544006,0.8626724298762061,697128.5,688994.75,707938.75,7.028457170891455e-05,6.792873246962651e-05,7.228642474126293e-05,0.00014160156250000002,0.00013037109375,0.00016455078125,211.20049319864466,200.57030147511912,220.33308712417374,0.015625,0.015625,0.017822265625,0.18174063832073728,0.1788178225427788,0.1875433010101866,0.0,0.0,0.0
b4_h1_w2_n10_a1.5,2048,60000,122880000,abf,abf,4.0,1.0,100,4.0,8,0.011201358343033317,0.010360252902268594,0.012879247266067949,0.037836836225387194,0.036783974755271204,0.04273894376567644,11.497188473473859,11.167331180710875,11.879728293784659,0.0076828180188537884,0.007591565397166908,0.00853614982804289,0.8163403083363565,0.8045509022923844,0.823741026572615,626073.5,622793.5,629183.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4_h1_w2_n10_a1.5,2048,60000,122880000,fr_estimated,fr_estimated,4.0,1.0,100,4.0,8,0.03594365396770253,0.03483300143679488,0.0369862410295162,0.09935758562727776,0.09646788548807814,0.10114627531850923,12.568904498793088,12.01955724671648,13.130545378095789,0.017637969784320758,0.01704482083977124,0.01855102111742138,0.8469202989545319,0.8459237904870371,0.8566546826155079,645418.0,643596.0,647349.25,7.988503390201225e-05,7.787112548431447e-05,8.179214414604424e-05,0.00015234375,0.000138671875,0.0002421875,718.2111631070923,706.0825115909439,729.7662640494401,0.005615234375,0.0052490234375,0.0059814453125,0.20652029980855013,0.2050783418056405,0.21014696533357918,0.0,0.0,0.0
