run_id,study,stage,mode,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,fr_rate,adaptive_support_mode,adaptive_base_fr_rate,l2_f,l2_fp,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,fr_score_std,fr_score_absmax,fr_score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,had_nan,runtime_seconds,wall_seconds,physics_tag
equal_compute__abf__b1_h2_w2_n10_a1.5__seed6__N512__T240000__ad95ddfa5659,wca_equal_compute,equal_compute,sample,abf,abf,6,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08623747866959533,0.32191475530957037,62.429963616959895,0.04438786036957192,0.3883701806468735,0.10919728454400827,nan,0.46609327286329494,1564201,781958,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,388.7214469872415,388.72631672769785,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed7__N1024__T120000__e1fcd92b541d,wca_equal_compute,equal_compute,sample,abf,abf,7,120000,1024,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.08976664585582064,0.3282828317293345,39.305666552307265,0.04738094048487202,0.404684523757828,0.12048962456873974,nan,0.514273117247606,1564349,781876,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,199.26628710981458,199.26990382093936,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed7__N2048__T60000__86c95d95b66d,wca_equal_compute,equal_compute,sample,abf,abf,7,60000,2048,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.10983344385641654,0.37121187762412516,26.627916020859743,0.05692737645921649,0.45862773856876915,0.16276289640899463,nan,0.4810864184304946,1522836,760788,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,131.84207093250006,131.84499000385404,b1_h2_w2_n10_a1.5
equal_compute__abf__b1_h2_w2_n10_a1.5__seed7__N512__T240000__b5b0721a2fd4,wca_equal_compute,equal_compute,sample,abf,abf,7,240000,512,122880000,1.0,2.0,2.0,10,100,1.5,2.0,0.0,marginal_uniform,0.2,0.07673313712568362,0.3132750801732281,55.15500079975157,0.04265069494433359,0.4116354532753818,0.12023824047702933,nan,0.5094821961668576,1586798,793247,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,400.8765389872715,400.8814701978117,b1_h2_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed0__N1024__T120000__8b267ef958d8,wca_equal_compute,equal_compute,sample,abf,abf,0,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.028738381867025743,0.16219464973583111,50.640317550138306,0.020702442022791378,0.08141417411630694,0.08687650040533855,nan,1.2713224587337566,990390,494916,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,192.71069923322648,192.7143053440377,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed0__N2048__T60000__89035798c72d,wca_equal_compute,equal_compute,sample,abf,abf,0,60000,2048,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.025521774322447604,0.17931597103904928,23.946562418155388,0.019815095757089334,0.06046073195458999,0.10131060854345289,nan,1.2887526491271335,920512,459670,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,135.3347973106429,135.3376956107095,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed0__N512__T240000__f08a2c95b229,wca_equal_compute,equal_compute,sample,abf,abf,0,240000,512,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.023843970825923454,0.14148269455968238,52.07182896651242,0.016770730693833693,0.05969527492549985,0.07706095556338122,nan,1.2950957561951275,1045990,522857,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,388.33029841445386,388.3362414557487,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed1__N1024__T120000__fd68e3e35f44,wca_equal_compute,equal_compute,sample,abf,abf,1,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.025164426142236764,0.16181697133506553,28.057829632359336,0.017453514695845933,0.06229955427081135,0.08061176406305288,nan,1.3066162015319047,996572,498020,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,199.2323100278154,199.23596242815256,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed1__N2048__T60000__37ae51fdccde,wca_equal_compute,equal_compute,sample,abf,abf,1,60000,2048,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.02976646637484253,0.1892103251266645,27.19465495462947,0.020506323337137734,0.08852934153374524,0.08671840209615345,nan,1.2913579769356403,926484,462668,0.0,0.0,nan,nan,nan,nan,nan,2048,nan,False,132.03950996045023,132.04242659080774,b2_h6_w2_n10_a1.5
equal_compute__abf__b2_h6_w2_n10_a1.5__seed1__N512__T240000__2315f2c52f5d,wca_equal_compute,equal_compute,sample,abf,abf,1,240000,512,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.026934775955761867,0.14183496942793705,37.953564946073726,0.01978382725715671,0.06915500294642801,0.05587400936871916,nan,1.3090623109899,1024341,512037,0.0,0.0,nan,nan,nan,nan,nan,512,nan,False,396.7353958999738,396.7405158309266,b2_h6_w2_n10_a1.5
