init,seed,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,S6_dI_raw,S6_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Fc_dI_raw,V_Fc_dF_raw,V_Tc_dI_raw,V_Tc_dF_raw,V_Pc_dI_raw,V_Pc_dF_raw,S7_dI_raw,S7_dF_raw,PRIMARY_dI_0.0175,PRIMARY_dF_0.0175,S1_dI_0.0175,S1_dF_0.0175,S2_dI_0.0175,S2_dF_0.0175,S3_dI_0.0175,S3_dF_0.0175,S4_dI_0.0175,S4_dF_0.0175,S5_dI_0.0175,S5_dF_0.0175,S6_dI_0.0175,S6_dF_0.0175,V_F0_dI_0.0175,V_F0_dF_0.0175,V_T0_dI_0.0175,V_T0_dF_0.0175,V_Fc_dI_0.0175,V_Fc_dF_0.0175,V_Tc_dI_0.0175,V_Tc_dF_0.0175,V_Pc_dI_0.0175,V_Pc_dF_0.0175,S7_dI_0.0175,S7_dF_0.0175,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,S6_dI_raw,S6_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Fc_dI_raw,V_Fc_dF_raw,V_Tc_dI_raw,V_Tc_dF_raw,V_Pc_dI_raw,V_Pc_dF_raw,S7_dI_raw,S7_dF_raw
left,810,-20.916,-6.421,-14.180,12.080,-7.849,-16.507,-42.112,-82.674,-56.968,-81.772,-68.891,-4.827,-66.241,13.990,-36.952,-78.115,6.386,-11.049,-46.656,-85.534,-54.220,-83.786,-81.991,-83.510,-15.391,-33.899,-19.460,1.489,-13.692,7.726,-6.684,-5.790,-43.024,-83.520,-57.482,-81.644,-68.672,5.732,-66.429,12.230,-36.606,-75.920,7.927,-8.882,-46.833,-84.474,-54.112,-83.274,-82.151,-82.575,-16.132,-35.524,-20.916,-6.421,-14.180,12.080,-7.849,-16.507,-42.112,-82.674,-56.968,-81.772,-68.891,-4.827,-66.241,13.990,-36.952,-78.115,6.386,-11.049,-46.656,-85.534,-54.220,-83.786,-81.991,-83.510,-15.391,-33.899
left,811,-31.528,-18.421,-4.188,-0.832,-28.535,-17.737,-31.151,-75.223,-57.515,-84.574,-77.320,-22.532,-68.264,-5.829,-32.432,-61.632,10.963,31.032,-50.797,-79.618,-52.858,-79.787,-84.385,-80.806,-27.180,-46.877,-31.245,-3.106,-5.525,1.736,-27.224,-4.759,-31.651,-77.942,-57.811,-84.182,-77.227,-7.279,-68.709,-2.646,-32.648,-59.755,11.385,35.118,-50.259,-78.992,-53.007,-78.627,-84.435,-79.547,-26.147,-47.799,-31.528,-18.421,-4.188,-0.832,-28.535,-17.737,-31.151,-75.223,-57.515,-84.574,-77.320,-22.532,-68.264,-5.829,-32.432,-61.632,10.963,31.032,-50.797,-79.618,-52.858,-79.787,-84.385,-80.806,-27.180,-46.877
left,812,-38.067,-9.334,-15.345,11.994,-26.841,-19.043,-32.701,-78.372,-58.021,-83.386,-79.186,-8.899,-71.549,12.530,-38.743,-50.808,-0.714,18.026,-50.765,-82.491,-58.320,-80.391,-85.992,-80.297,-19.626,-64.407,-38.583,1.435,-16.676,2.554,-26.291,-1.091,-32.669,-80.537,-58.738,-83.800,-78.869,9.797,-71.332,11.008,-38.152,-47.495,0.219,21.866,-50.371,-80.749,-58.647,-80.257,-85.773,-78.630,-19.757,-63.335,-38.067,-9.334,-15.345,11.994,-26.841,-19.043,-32.701,-78.372,-58.021,-83.386,-79.186,-8.899,-71.549,12.530,-38.743,-50.808,-0.714,18.026,-50.765,-82.491,-58.320,-80.391,-85.992,-80.297,-19.626,-64.407
left,813,-44.851,-8.084,-20.553,25.476,-30.585,-26.746,-26.676,-73.945,-58.069,-75.823,-77.350,-18.365,-67.370,11.440,-47.763,-59.711,-3.563,-0.943,-49.102,-80.914,-59.563,-76.051,-83.392,-78.730,-2.563,-52.627,-42.167,-2.402,-18.884,14.744,-28.703,-14.943,-27.588,-74.911,-58.092,-76.013,-76.265,-8.977,-66.709,7.014,-44.320,-54.547,-0.071,2.082,-48.372,-78.660,-58.122,-75.514,-82.813,-77.163,-7.277,-53.050,-44.851,-8.084,-20.553,25.476,-30.585,-26.746,-26.676,-73.945,-58.069,-75.823,-77.350,-18.365,-67.370,11.440,-47.763,-59.711,-3.563,-0.943,-49.102,-80.914,-59.563,-76.051,-83.392,-78.730,-2.563,-52.627
left,814,-40.146,-16.772,-17.045,-3.337,-27.848,-13.899,-35.358,-74.134,-61.621,-84.010,-76.891,-22.713,-67.971,-10.237,-50.060,-53.758,0.813,34.629,-53.359,-77.729,-61.309,-78.472,-85.062,-80.009,-6.606,-51.839,-36.697,-5.057,-16.667,-1.369,-24.036,-3.739,-38.906,-76.572,-62.672,-84.048,-75.032,-5.858,-67.131,-2.201,-48.900,-50.156,3.608,39.443,-53.591,-77.448,-61.325,-77.756,-84.746,-77.944,-9.180,-54.754,-40.146,-16.772,-17.045,-3.337,-27.848,-13.899,-35.358,-74.134,-61.621,-84.010,-76.891,-22.713,-67.971,-10.237,-50.060,-53.758,0.813,34.629,-53.359,-77.729,-61.309,-78.472,-85.062,-80.009,-6.606,-51.839
left,815,-20.326,-9.178,-14.767,9.124,-6.522,-16.772,-35.750,-78.898,-58.219,-84.027,-70.912,-14.102,-68.882,3.208,-26.794,-64.224,22.520,19.990,-39.940,-82.437,-48.810,-80.835,-81.311,-81.874,-17.958,-50.908,-19.930,-1.425,-15.333,10.172,-5.430,-10.526,-35.130,-79.486,-57.994,-83.501,-71.403,-5.855,-69.761,5.221,-27.943,-61.254,23.652,22.564,-38.653,-81.645,-48.059,-79.778,-81.449,-80.687,-14.863,-52.628,-20.326,-9.178,-14.767,9.124,-6.522,-16.772,-35.750,-78.898,-58.219,-84.027,-70.912,-14.102,-68.882,3.208,-26.794,-64.224,22.520,19.990,-39.940,-82.437,-48.810,-80.835,-81.311,-81.874,-17.958,-50.908
left,816,-30.988,-11.976,6.331,9.116,-35.097,-19.330,-35.015,-72.345,-60.121,-80.920,-76.185,-9.644,-63.306,12.008,-31.726,-55.769,12.459,27.585,-57.823,-77.691,-55.153,-75.657,-84.524,-75.012,-38.224,-49.562,-32.365,-4.971,5.047,5.600,-35.615,-10.011,-33.489,-74.513,-61.051,-81.365,-76.480,-0.921,-63.470,10.101,-29.766,-53.763,15.495,29.971,-57.177,-77.064,-55.016,-75.780,-84.357,-74.747,-39.028,-50.395,-30.988,-11.976,6.331,9.116,-35.097,-19.330,-35.015,-72.345,-60.121,-80.920,-76.185,-9.644,-63.306,12.008,-31.726,-55.769,12.459,27.585,-57.823,-77.691,-55.153,-75.657,-84.524,-75.012,-38.224,-49.562
left,817,-37.762,4.241,-20.552,18.951,-21.662,-12.367,-24.931,-81.776,-57.086,-82.526,-77.544,-3.917,-71.335,9.642,-50.520,-76.855,8.873,8.716,-41.192,-84.030,-53.278,-81.003,-83.143,-82.490,18.852,-30.999,-34.255,14.174,-18.263,9.301,-19.565,4.459,-25.859,-83.639,-57.558,-83.186,-76.652,10.542,-70.973,5.824,-48.647,-74.263,14.848,11.101,-40.364,-82.909,-51.256,-81.320,-82.690,-81.914,16.129,-33.594,-37.762,4.241,-20.552,18.951,-21.662,-12.367,-24.931,-81.776,-57.086,-82.526,-77.544,-3.917,-71.335,9.642,-50.520,-76.855,8.873,8.716,-41.192,-84.030,-53.278,-81.003,-83.143,-82.490,18.852,-30.999
left,818,-32.996,-5.582,1.081,-1.470,-33.713,-4.173,-30.474,-78.036,-53.925,-82.482,-76.174,-1.681,-64.056,2.601,-24.356,-55.293,1.108,18.382,-53.913,-78.953,-53.415,-79.262,-83.435,-78.405,-39.074,-52.922,-30.802,-0.825,-0.355,-10.212,-30.555,10.455,-31.783,-79.226,-54.476,-83.062,-75.023,12.137,-64.034,1.523,-17.856,-52.545,3.692,21.636,-52.627,-77.055,-52.795,-79.398,-82.962,-76.705,-42.329,-51.648,-32.996,-5.582,1.081,-1.470,-33.713,-4.173,-30.474,-78.036,-53.925,-82.482,-76.174,-1.681,-64.056,2.601,-24.356,-55.293,1.108,18.382,-53.913,-78.953,-53.415,-79.262,-83.435,-78.405,-39.074,-52.922
left,819,-43.303,0.344,-20.958,18.103,-28.270,-15.036,-17.851,-77.494,-57.944,-81.675,-77.797,-7.134,-69.047,9.301,-31.165,-72.762,10.748,23.240,-41.075,-80.878,-53.424,-77.417,-81.761,-79.100,-14.396,-29.798,-41.736,12.639,-22.964,11.316,-24.367,1.189,-20.268,-79.533,-59.037,-81.744,-76.937,8.579,-69.507,7.303,-29.130,-69.490,13.407,26.277,-39.697,-79.290,-53.545,-76.946,-81.612,-77.777,-14.911,-32.120,-43.303,0.344,-20.958,18.103,-28.270,-15.036,-17.851,-77.494,-57.944,-81.675,-77.797,-7.134,-69.047,9.301,-31.165,-72.762,10.748,23.240,-41.075,-80.878,-53.424,-77.417,-81.761,-79.100,-14.396,-29.798
left,820,-26.040,-3.467,-12.339,7.681,-15.630,-10.353,-35.706,-81.049,-52.646,-79.969,-74.671,-0.671,-69.979,10.800,-38.234,-68.608,0.418,-8.671,-45.755,-83.011,-52.448,-81.706,-83.715,-81.176,-12.177,-45.882,-26.601,7.729,-11.349,9.323,-17.204,-1.457,-35.482,-82.101,-53.603,-79.394,-74.681,8.340,-69.420,9.942,-38.419,-64.855,2.066,-6.423,-46.582,-82.362,-52.644,-80.717,-83.665,-80.608,-13.256,-49.813,-26.040,-3.467,-12.339,7.681,-15.630,-10.353,-35.706,-81.049,-52.646,-79.969,-74.671,-0.671,-69.979,10.800,-38.234,-68.608,0.418,-8.671,-45.755,-83.011,-52.448,-81.706,-83.715,-81.176,-12.177,-45.882
left,821,-46.123,1.613,-19.024,9.785,-33.465,-7.444,-25.244,-82.341,-54.117,-81.368,-80.930,9.207,-71.339,17.989,-38.087,-71.792,-12.219,-3.694,-50.262,-83.656,-59.724,-82.056,-85.744,-80.716,-19.664,-42.058,-45.106,14.238,-17.540,7.193,-33.430,6.572,-26.094,-84.071,-54.975,-81.566,-80.683,25.732,-70.983,17.978,-38.461,-70.700,-9.895,-1.286,-50.801,-83.024,-59.430,-81.803,-85.724,-79.972,-20.053,-42.062,-46.123,1.613,-19.024,9.785,-33.465,-7.444,-25.244,-82.341,-54.117,-81.368,-80.930,9.207,-71.339,17.989,-38.087,-71.792,-12.219,-3.694,-50.262,-83.656,-59.724,-82.056,-85.744,-80.716,-19.664,-42.058
left,822,-19.612,-7.309,-16.854,5.207,-3.317,-11.896,-42.095,-81.505,-54.534,-82.027,-74.042,-12.638,-73.151,-0.842,-23.989,-68.715,2.381,-4.618,-44.016,-83.705,-53.451,-82.857,-84.969,-83.842,-26.347,-47.915,-17.330,-1.528,-17.458,5.752,0.154,-6.884,-43.306,-81.869,-55.306,-81.701,-73.418,-6.667,-73.459,0.232,-23.323,-67.868,4.866,-2.433,-43.218,-83.117,-53.131,-82.146,-84.930,-83.078,-25.947,-47.458,-19.612,-7.309,-16.854,5.207,-3.317,-11.896,-42.095,-81.505,-54.534,-82.027,-74.042,-12.638,-73.151,-0.842,-23.989,-68.715,2.381,-4.618,-44.016,-83.705,-53.451,-82.857,-84.969,-83.842,-26.347,-47.915
left,823,-43.847,-10.148,-13.252,8.282,-35.269,-17.020,-22.927,-77.978,-54.525,-79.662,-81.918,-15.235,-72.065,2.151,-38.560,-69.219,-4.830,-2.710,-50.110,-81.726,-56.721,-80.213,-86.063,-81.333,-18.798,-40.634,-43.051,4.320,-14.619,7.097,-33.300,-2.592,-23.561,-79.951,-55.953,-79.518,-80.958,7.936,-71.452,10.809,-36.124,-65.240,-1.172,2.114,-49.015,-80.471,-56.469,-79.085,-85.445,-78.360,-20.181,-43.816,-43.847,-10.148,-13.252,8.282,-35.269,-17.020,-22.927,-77.978,-54.525,-79.662,-81.918,-15.235,-72.065,2.151,-38.560,-69.219,-4.830,-2.710,-50.110,-81.726,-56.721,-80.213,-86.063,-81.333,-18.798,-40.634
left,824,-35.803,3.234,-4.230,38.251,-32.967,-25.328,-30.297,-77.349,-56.952,-80.630,-76.826,-20.422,-65.429,6.571,-32.292,-48.428,3.950,20.721,-53.276,-83.086,-55.252,-76.616,-83.847,-81.975,-30.992,-67.204,-35.063,12.736,-5.067,28.640,-31.597,-12.363,-31.447,-79.697,-58.181,-81.408,-75.989,-1.050,-64.898,12.910,-30.770,-47.068,6.451,23.111,-53.108,-82.207,-55.484,-77.111,-83.540,-79.910,-32.266,-66.385,-35.803,3.234,-4.230,38.251,-32.967,-25.328,-30.297,-77.349,-56.952,-80.630,-76.826,-20.422,-65.429,6.571,-32.292,-48.428,3.950,20.721,-53.276,-83.086,-55.252,-76.616,-83.847,-81.975,-30.992,-67.204
left,825,-36.504,-28.116,10.698,13.049,-42.641,-36.414,-34.252,-74.198,-59.972,-82.617,-73.829,-20.543,-54.374,24.960,-39.967,-72.659,4.296,6.702,-62.287,-83.594,-58.253,-81.453,-82.793,-79.499,-37.180,-39.992,-35.932,-21.668,11.753,9.364,-42.670,-28.375,-35.378,-75.831,-60.930,-82.740,-73.178,-13.240,-53.215,21.131,-38.802,-70.853,5.969,9.690,-62.952,-82.689,-58.598,-81.068,-82.667,-79.031,-39.463,-40.608,-36.504,-28.116,10.698,13.049,-42.641,-36.414,-34.252,-74.198,-59.972,-82.617,-73.829,-20.543,-54.374,24.960,-39.967,-72.659,4.296,6.702,-62.287,-83.594,-58.253,-81.453,-82.793,-79.499,-37.180,-39.992
left,826,-39.299,-16.482,-2.518,32.214,-37.731,-36.831,-32.722,-77.335,-57.347,-82.893,-80.783,-31.715,-69.138,8.099,-43.423,-65.193,-4.256,10.653,-58.107,-85.683,-59.162,-81.071,-87.071,-84.523,-25.954,-58.866,-38.521,-8.043,-1.119,29.086,-37.826,-28.763,-33.445,-79.019,-58.391,-82.973,-80.390,-18.904,-68.459,13.840,-42.712,-63.789,-1.663,13.310,-58.620,-85.054,-59.083,-80.707,-86.948,-82.985,-27.769,-58.725,-39.299,-16.482,-2.518,32.214,-37.731,-36.831,-32.722,-77.335,-57.347,-82.893,-80.783,-31.715,-69.138,8.099,-43.423,-65.193,-4.256,10.653,-58.107,-85.683,-59.162,-81.071,-87.071,-84.523,-25.954,-58.866
left,827,-36.624,-22.175,-7.124,9.117,-31.763,-28.678,-31.738,-73.291,-58.269,-84.032,-76.559,-22.352,-65.647,8.869,-37.421,-63.349,3.669,30.177,-53.420,-80.951,-56.738,-79.214,-83.998,-79.261,-25.566,-48.025,-35.490,-8.923,-9.494,4.562,-28.723,-12.896,-33.691,-76.058,-59.927,-83.844,-75.870,-9.440,-66.146,3.968,-35.888,-61.151,6.745,34.967,-52.737,-79.146,-57.224,-78.195,-83.999,-78.318,-26.281,-46.320,-36.624,-22.175,-7.124,9.117,-31.763,-28.678,-31.738,-73.291,-58.269,-84.032,-76.559,-22.352,-65.647,8.869,-37.421,-63.349,3.669,30.177,-53.420,-80.951,-56.738,-79.214,-83.998,-79.261,-25.566,-48.025
left,828,-37.450,2.380,-22.705,42.232,-19.077,-28.019,-27.524,-78.908,-58.282,-79.797,-75.461,-17.177,-69.676,15.061,-35.481,-74.568,8.667,6.886,-41.350,-84.817,-54.666,-78.406,-82.215,-82.531,-9.097,-40.302,-35.084,18.892,-22.131,40.761,-16.634,-15.536,-29.683,-81.388,-59.295,-79.647,-74.739,-2.523,-69.698,15.407,-36.110,-71.511,12.141,8.725,-41.380,-84.279,-54.353,-77.872,-82.237,-81.857,-8.248,-44.818,-37.450,2.380,-22.705,42.232,-19.077,-28.019,-27.524,-78.908,-58.282,-79.797,-75.461,-17.177,-69.676,15.061,-35.481,-74.568,8.667,6.886,-41.350,-84.817,-54.666,-78.406,-82.215,-82.531,-9.097,-40.302
left,829,-28.081,-10.825,-32.151,-1.592,5.999,-9.383,-37.332,-79.464,-59.516,-81.802,-73.623,-11.179,-75.116,-1.982,-22.925,-60.305,11.327,0.634,-33.573,-81.391,-54.930,-81.687,-83.470,-81.760,-13.814,-53.119,-27.321,-3.751,-34.407,-0.644,10.803,-3.127,-41.426,-80.407,-62.435,-81.660,-72.081,0.346,-74.803,3.585,-23.816,-58.071,13.326,2.825,-35.098,-81.020,-57.429,-81.142,-83.647,-80.339,-14.809,-54.733,-28.081,-10.825,-32.151,-1.592,5.999,-9.383,-37.332,-79.464,-59.516,-81.802,-73.623,-11.179,-75.116,-1.982,-22.925,-60.305,11.327,0.634,-33.573,-81.391,-54.930,-81.687,-83.470,-81.760,-13.814,-53.119
left,830,-27.427,9.043,-18.856,24.431,-10.562,-12.367,-30.396,-78.388,-55.187,-81.190,-72.454,20.028,-69.201,36.966,-21.072,-49.618,12.720,25.282,-37.748,-81.061,-49.486,-76.434,-80.827,-74.060,-21.128,-62.409,-28.029,24.185,-20.146,19.065,-9.871,4.300,-31.086,-79.925,-56.202,-80.458,-72.151,33.209,-69.101,27.717,-20.932,-47.798,13.242,27.569,-37.889,-79.062,-50.402,-75.070,-80.808,-73.258,-21.446,-59.890,-27.427,9.043,-18.856,24.431,-10.562,-12.367,-30.396,-78.388,-55.187,-81.190,-72.454,20.028,-69.201,36.966,-21.072,-49.618,12.720,25.282,-37.748,-81.061,-49.486,-76.434,-80.827,-74.060,-21.128,-62.409
left,831,-38.719,-11.526,-6.409,0.707,-34.523,-12.147,-22.939,-77.298,-59.687,-82.691,-76.729,-17.044,-64.460,-5.574,-28.901,-65.766,17.141,16.043,-49.543,-80.055,-52.777,-79.914,-82.067,-81.167,-29.033,-41.741,-37.836,9.723,-7.559,5.288,-32.752,4.212,-23.634,-80.453,-60.378,-82.128,-76.022,7.099,-64.343,2.770,-28.482,-61.293,19.814,20.003,-48.646,-79.630,-52.528,-78.553,-81.689,-79.066,-28.193,-47.374,-38.719,-11.526,-6.409,0.707,-34.523,-12.147,-22.939,-77.298,-59.687,-82.691,-76.729,-17.044,-64.460,-5.574,-28.901,-65.766,17.141,16.043,-49.543,-80.055,-52.777,-79.914,-82.067,-81.167,-29.033,-41.741
