run_id,study,stage,mode,name,method,seed,n_steps,n_replicas,budget,beta,h,w,n_dim,M,a,beta_h,fr_rate,adaptive_support_mode,adaptive_base_fr_rate,l2_f,l2_fp,integrated_l2_f,l2_f_transition,l2_fp_transition,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,fr_score_std,fr_score_absmax,fr_score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,had_nan,runtime_seconds,wall_seconds,physics_tag
representative__abf__b2_h6_w2_n10_a1.5__seed2__N1024__T120000__1ec37e7aaf2a,wca_representative,representative,sample,abf,abf,2,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.023091995569760243,0.15956373364710322,73.94470198719063,0.016472525476314722,0.04817293234655159,0.07694324544867824,nan,1.2948068344251986,989930,494695,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,251.5348024079576,251.53859625943005,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed3__N1024__T120000__0a1f18edd53b,wca_representative,representative,sample,abf,abf,3,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.027336278233292294,0.16622151269686636,242.27097194619668,0.01716051641847739,0.07222180039417095,0.06748603158216032,nan,1.3075930304701997,997418,498437,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,237.21966139413416,237.22330444585532,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed4__N1024__T120000__06de2bdb4e31,wca_representative,representative,sample,abf,abf,4,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.025527176368606457,0.15332586617297597,41.2768636650538,0.01856403298151207,0.06867307127033369,0.08251418754778067,nan,1.2994447335568797,980840,490151,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,251.7260087924078,251.7297339439392,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed5__N1024__T120000__7a750d1e8ee2,wca_representative,representative,sample,abf,abf,5,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.02707817675437724,0.1608575470390501,35.3321072357097,0.015661061851951312,0.07574925907665196,0.0761701901800726,nan,1.2709550414554112,996340,497903,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,237.83616736438125,237.83984706457704,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed6__N1024__T120000__5eefdcc32afe,wca_representative,representative,sample,abf,abf,6,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.027886013056089922,0.16700569194866252,41.39247035673499,0.018301729817254034,0.07582747875434553,0.07390856239627581,nan,1.2852535598836496,1006477,502972,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,250.52852745726705,250.53226648829877,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed7__N1024__T120000__a9339c8f6d49,wca_representative,representative,sample,abf,abf,7,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.025189065731359206,0.16496500048561055,51.91413343609075,0.01761698971822582,0.05394685557442321,0.07955083849065162,nan,1.302085004793238,996032,497734,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,234.4789090435952,234.48271153401583,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed8__N1024__T120000__64645d5d03fb,wca_representative,representative,sample,abf,abf,8,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.024925495471851543,0.1634195510513075,33.77637673697558,0.019648187203874734,0.05789615646435415,0.06618426547675535,nan,1.2934802839790402,1003429,501455,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,249.07681275252253,249.08059107419103,b2_h6_w2_n10_a1.5
representative__abf__b2_h6_w2_n10_a1.5__seed9__N1024__T120000__d3f9eb96a8b6,wca_representative,representative,sample,abf,abf,9,120000,1024,122880000,2.0,6.0,2.0,10,100,1.5,12.0,0.0,marginal_uniform,0.2,0.028155467070726133,0.1640548479221828,27.720208607444935,0.020051698149030524,0.06593227476156323,0.0761089088930762,nan,1.2960667422926657,993305,496379,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,236.24436507280916,236.24822940584272,b2_h6_w2_n10_a1.5
representative__abf__b4_h1_w2_n10_a1.5__seed0__N1024__T120000__a64611956fc4,wca_representative,representative,sample,abf,abf,0,120000,1024,122880000,4.0,1.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.004944777430702974,0.027521640164435465,12.440796869513637,0.00515437046910276,0.029526588528257014,0.06682858154117609,nan,0.8477624876972728,668346,333923,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,248.1662319228053,248.17000070493668,b4_h1_w2_n10_a1.5
representative__abf__b4_h1_w2_n10_a1.5__seed1__N1024__T120000__1c8c1d8587ee,wca_representative,representative,sample,abf,abf,1,120000,1024,122880000,4.0,1.0,2.0,10,100,1.5,4.0,0.0,marginal_uniform,0.2,0.005122727961453407,0.02527805738980426,12.582897127932501,0.004776745201941093,0.02911015121348898,0.07336818812012645,nan,0.8433589750004931,675585,337520,0.0,0.0,nan,nan,nan,nan,nan,1024,nan,False,239.43864220846444,239.44237581081688,b4_h1_w2_n10_a1.5
