physics_tag,n_replicas,n_steps,budget,method,name,beta,h,M,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,fr_score_std_median,fr_score_std_q25,fr_score_std_q75,fr_score_clip_fraction_median,fr_score_clip_fraction_q25,fr_score_clip_fraction_q75
b2_h4_w2_n10_a1.5,1024,120000,122880000,abf,abf,2.0,4.0,100,8.0,10,0.015443961661710418,0.013119863283195827,0.016182283314090738,0.09593736432395654,0.09315282745993711,0.09860434812800414,22.42321539115727,21.75442874800057,24.031698994478514,0.009939400435837943,0.008947295411651606,0.010724131913683127,1.1143294147227578,1.1063021853878356,1.1293147384455058,974966.5,969050.75,978443.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2_h4_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,2.0,4.0,100,8.0,10,0.021375669283228815,0.020617608667461363,0.023712531061695154,0.09714842049027803,0.09657173132869065,0.10027694626915877,24.673039079770795,24.12145057699561,25.104215087547296,0.01196515332820741,0.011336794964919043,0.0126285426257733,1.132959417071583,1.1221822926652054,1.1423170347571987,994966.5,992351.25,1000242.25,7.406856219689017e-05,7.157845232738362e-05,7.51305208177091e-05,0.00016015625,0.00015087890625,0.0001728515625,224.02238661009648,213.73197786234346,236.11548600592312,0.015625,0.013916015625,0.019287109375,0.1914804207297302,0.18985980198442637,0.19654983834329925,0.0,0.0,0.0
b2_h4_w2_n10_a1.5,1024,120000,122880000,fr_estimated_adaptive,fr_estimated_adaptive,2.0,4.0,100,8.0,10,0.015040056120776748,0.013231866475772496,0.01694139476739715,0.09054854613262636,0.08776717566174973,0.09247604630633485,23.6797807958255,22.558419688749012,24.712173832929736,0.009364293803932267,0.009001535489961719,0.010958755084520827,1.1144222490925533,1.1079752028319168,1.12532337542186,986244.5,982905.25,987505.5,4.999750012499375e-05,4.6457638055597214e-05,5.41110639780511e-05,0.00015624999999999998,0.00013330078125,0.00017138671875,322.14319476765695,302.50387135199526,340.0635553040307,0.01025390625,0.009765625,0.011474609375,0.21216807573550225,0.21146537582948582,0.21330791915573366,0.0,0.0,0.0
b2_h4_w2_n10_a1.5,1024,120000,122880000,fr_oracle,fr_oracle,2.0,4.0,100,8.0,10,0.0109973740951144,0.0099914104477675,0.011643410261815371,0.08629068825172369,0.0818812865580112,0.08808959167093157,22.939154134738956,20.518989385446343,23.620922237235995,0.0061501464917052984,0.005297047816027648,0.0065897722899085605,1.1304091364259383,1.1186071190503908,1.1378460827537884,994276.5,992968.25,1000215.25,8.49078639818009e-05,8.379707967726614e-05,8.557921713289336e-05,0.0001162109375,0.00011181640625,0.0001279296875,223.3874646357262,213.61717257930366,229.5884084928807,0.0146484375,0.013671875,0.016357421875,0.223251285101273,0.22185111206606778,0.22412521897859644,0.0,0.0,0.0
b2_h4_w2_n10_a1.5,1024,120000,122880000,fr_uniform,fr_uniform,2.0,4.0,100,8.0,10,0.023631241207934833,0.022614280179287963,0.025670489567940765,0.10194966060697805,0.09902878742888732,0.10415055971173813,25.521774811724413,23.92612466536946,28.168931679978932,0.01341407363103084,0.013060262775306343,0.014261434973559575,1.1407540941639125,1.1290272642818515,1.1540923790452955,990505.0,984960.25,997383.25,7.441034198290086e-05,7.38976723038848e-05,7.519155292235388e-05,0.00016699218749999999,0.00016259765625,0.0001904296875,224.3920640241501,216.37851110796436,233.26906425888794,0.013671875,0.011474609375,0.01904296875,0.1918272339737433,0.18918577991549956,0.1931251836742355,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,1024,120000,122880000,abf,abf,2.0,6.0,100,12.0,10,0.02647603935573654,0.02527359339067102,0.027748579350390514,0.16373719948674514,0.16010279204131173,0.1659073846440524,41.33466701089439,34.16530936165911,51.26881165310453,0.017765342503637642,0.01725010555379103,0.018498457190447563,1.2941435592021193,1.2859801692344506,1.2986002357408262,996462.5,993986.75,1000708.25,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b2_h6_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,2.0,6.0,100,12.0,10,0.01835740178386797,0.018099166925090646,0.021453780488632418,0.15144012343569224,0.1472302156645703,0.15397068568875028,40.362009122544634,33.95625722778351,51.72919085159134,0.015505579791501915,0.014961294791242773,0.01732613928091832,1.27980652959313,1.278835343404876,1.2849206844169982,1007799.0,1005530.25,1009103.75,5.9249967189140546e-05,5.6869715107994596e-05,6.106872390755462e-05,0.00015722656249999998,0.0001328125,0.0007763671874999999,271.08699975262454,261.55672372534883,278.8395308063841,0.01123046875,0.0107421875,0.0126953125,0.14591238035625262,0.14250144898305844,0.14834866573976263,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,1024,120000,122880000,fr_estimated_adaptive,fr_estimated_adaptive,2.0,6.0,100,12.0,10,0.01989883127816392,0.0195256287830642,0.02003782493245852,0.15441803142619775,0.15270477881275923,0.15553740559321996,39.056931344248284,31.401171756328168,50.336032666475816,0.017206364454039294,0.016223779016310724,0.018002160820558517,1.2854620187449575,1.268775736699296,1.2989401637703204,1007002.5,1004984.5,1015451.5,3.5154492275386235e-05,2.958836433178341e-05,3.893848276336184e-05,0.0001181640625,0.000111328125,0.0001298828125,422.98352990184594,377.2697375217167,439.75501808168275,0.00830078125,0.007080078125,0.009765625,0.15984908808540585,0.15661979795919054,0.16241889424409137,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,1024,120000,122880000,fr_oracle,fr_oracle,2.0,6.0,100,12.0,10,0.016631190089044234,0.016020662981239067,0.017113432225892816,0.1498257789810084,0.14762029889753758,0.15182356749757694,36.35056343460556,30.938394908466766,56.14205987918156,0.012125676075354709,0.011132516276961648,0.013021509392783664,1.3058314462473624,1.297200401786304,1.3126418552211647,1018689.5,1015645.0,1022576.75,6.361986588170591e-05,6.022648086345683e-05,6.42545997700115e-05,9.765625e-05,9.5703125e-05,0.00010595703125,278.25489182753205,266.2442498443661,289.2226004779888,0.01220703125,0.01171875,0.014404296875,0.16071658958382526,0.15782442475290479,0.163347840714957,0.0,0.0,0.0
b2_h6_w2_n10_a1.5,1024,120000,122880000,fr_uniform,fr_uniform,2.0,6.0,100,12.0,10,0.019834144677131522,0.019420236627496625,0.02034312951862545,0.15432940335865808,0.15201857441568256,0.15642783335366642,37.96123031955151,36.551826648196325,46.656620491601444,0.0170618036250156,0.01668722367124408,0.01775827633625893,1.2891526770812396,1.2819962559609588,1.3056371353153937,1012795.0,1011045.75,1014522.5,5.7980499412529374e-05,5.588099501274936e-05,5.967719192165392e-05,0.0001533203125,0.00013964843750000002,0.00015966796875,267.35774877604234,263.2960317892989,278.94597927999956,0.0126953125,0.0126953125,0.014404296875,0.14449613324933108,0.14116087514787734,0.1454780094099901,0.0,0.0,0.0
b4_h1_w2_n10_a1.5,1024,120000,122880000,abf,abf,4.0,1.0,100,4.0,10,0.005307336022502647,0.004989265063390582,0.005756493834880232,0.02763798835336826,0.02562913356373122,0.02937532145066459,12.267774364638717,11.901862485621521,12.668668221558846,0.005000431648565234,0.004784449283081807,0.005625590612546474,0.8372331974281536,0.8149557949501074,0.8451988451470811,675355.0,671567.75,677600.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4_h1_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,4.0,1.0,100,4.0,10,0.0241847443451771,0.02335246172377444,0.02565682325889508,0.06889005531548062,0.06633578378223948,0.0721812182122414,15.863753132161856,15.628474828576921,16.89656907151886,0.012500627171742286,0.012196991882281325,0.013794957728491698,0.8525172626824509,0.8426097774462568,0.8610191304463793,700432.0,699440.0,703115.75,7.1480800959952e-05,7.11390211739413e-05,7.251834673891305e-05,0.00016210937499999998,0.00013818359375000001,0.00077587890625,213.95144738923722,211.4738327609851,216.58087406159294,0.0166015625,0.015869140625,0.01806640625,0.18576356019845774,0.18304248653622757,0.18799662123181002,0.0,0.0,0.0
b4_h1_w2_n10_a1.5,1024,120000,122880000,fr_estimated_adaptive,fr_estimated_adaptive,4.0,1.0,100,4.0,10,0.013563873582930285,0.011642321279115997,0.014541008388414461,0.041528430864975055,0.03769157179264196,0.04266158780776935,13.430886798436372,13.095852563095649,14.513866918552141,0.007749113382801548,0.006820843219179207,0.008244398393276757,0.8317744365053069,0.8272195648923945,0.8381889986168984,690714.5,688286.25,693526.25,4.108681284685766e-05,3.8328161716914155e-05,4.63843995300235e-05,0.000193359375,0.00017236328125,0.0002041015625,343.14922547361675,305.97498336950235,365.1310506639852,0.0107421875,0.009765625,0.013916015625,0.22514011410284307,0.2228646786753783,0.22990164920450865,0.0,0.0,0.0
b4_h1_w2_n10_a1.5,1024,120000,122880000,fr_oracle,fr_oracle,4.0,1.0,100,4.0,10,0.00934484739105338,0.007822894673253552,0.010012440512697843,0.03458145868741031,0.03292742039334859,0.03597318150265074,12.904695910921475,12.78969874220477,13.150136751711736,0.005412559174578212,0.004702910531830447,0.005919988305192446,0.8547495526604434,0.8389568753822958,0.8644737509424701,707144.0,698913.0,709787.25,7.255496600169992e-05,7.199347063896805e-05,7.376340167366632e-05,0.000103515625,0.00010009765625,0.000111328125,254.73027849647684,249.27755519478458,262.45781745232125,0.0126953125,0.01171875,0.013671875,0.2137468212258649,0.21064349890776135,0.21564486434557717,0.0,0.0,0.0
b4_h1_w2_n10_a1.5,1024,120000,122880000,fr_uniform,fr_uniform,4.0,1.0,100,4.0,10,0.023796498375235592,0.022328282332775826,0.02573819951013371,0.06658077865964498,0.06419385682750983,0.07149001171555634,16.01407150044266,15.169102580402642,16.61522047566288,0.012084643161773384,0.011546895627750117,0.01308906932387377,0.8522876619225659,0.8504149591397584,0.858917514286779,697935.5,689774.25,702125.75,7.089489275536223e-05,6.961321855782211e-05,7.176154864131794e-05,0.00015234375,0.00013720703125,0.0001748046875,212.74558803771407,205.70261994468552,226.44985134867966,0.015625,0.0146484375,0.01904296875,0.18498770776116225,0.18088654525555906,0.18728601888666346,0.0,0.0,0.0
b4_h2_w2_n10_a1.5,1024,120000,122880000,abf,abf,4.0,2.0,100,8.0,10,0.008843917225649606,0.008391438826308578,0.009383708070331299,0.04609651918770997,0.04389552452877141,0.047222681759116855,17.304301892607562,15.884137620156292,17.486636083899075,0.008279600586400107,0.00804066213493372,0.008533424960003843,1.1475071828495187,1.1365122251383455,1.1609462524398984,646307.5,642215.75,649694.25,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
b4_h2_w2_n10_a1.5,1024,120000,122880000,fr_estimated,fr_estimated,4.0,2.0,100,8.0,10,0.03004393533818043,0.029408559963015182,0.030553634508997153,0.0870651060085066,0.08514053716838024,0.08931577837189299,21.25572205596611,20.387412643281635,22.262927737545823,0.01449652245221535,0.01394556195596594,0.015254968527667098,1.1572954170308507,1.1561336928248553,1.1622278371024257,673096.0,667440.0,678452.0,7.411738788060598e-05,7.265261736913155e-05,7.538685565721714e-05,0.000189453125,0.00017431640625,0.0009765625,212.44695101337902,205.91328549684715,215.53683989325947,0.01611328125,0.015625,0.017333984375,0.19182545843973348,0.18802142205099504,0.19501793109142934,0.0,0.0,0.0
b4_h2_w2_n10_a1.5,1024,120000,122880000,fr_estimated_adaptive,fr_estimated_adaptive,4.0,2.0,100,8.0,10,0.01932538272067515,0.018354381977414822,0.01962041142485322,0.06287438613028196,0.06193747887298016,0.06383167404374353,19.011801659096527,18.26712824034955,19.158660571371474,0.010637765667402724,0.01049889614747233,0.010956258643289023,1.137973611565413,1.1217760756906072,1.1535259681018288,659527.5,658543.75,661802.0,4.3357207139643015e-05,3.630189584270787e-05,4.645763805559722e-05,0.0002177734375,0.00019384765625,0.00023828125,320.6731206986784,305.63145092367364,366.3531674379305,0.01220703125,0.0107421875,0.013427734375,0.23373310559505198,0.2303234055492375,0.23725760312764022,0.0,0.0,0.0
b4_h2_w2_n10_a1.5,1024,120000,122880000,fr_oracle,fr_oracle,4.0,2.0,100,8.0,10,0.011639379867751667,0.011217795862245639,0.012383846582750609,0.046611781631014065,0.04576750917937178,0.04983097246959066,17.82246977588925,17.455070507118304,18.138765143277592,0.005477577686059188,0.005089245736784673,0.006353876996547365,1.1652909842562145,1.1557751782102197,1.1769951000158863,673288.0,670477.75,682065.75,7.892671772661368e-05,7.777931415929203e-05,8.055017171016449e-05,0.0001181640625,0.000115234375,0.00012109375,222.8670965764781,219.52846048632483,224.89585060333974,0.0146484375,0.013671875,0.015380859375,0.22212480698753573,0.22032164934225648,0.2233448529551666,0.0,0.0,0.0
b4_h2_w2_n10_a1.5,1024,120000,122880000,fr_uniform,fr_uniform,4.0,2.0,100,8.0,10,0.0291864390355126,0.027347679004733498,0.031250867281092096,0.08548709695907734,0.08200112452531974,0.09070597695845775,21.73212349082518,20.31478355820837,22.524756898406984,0.014417562672118025,0.013659437258573881,0.01491064182600745,1.1564408988480328,1.1390237729250776,1.164117651953011,674356.0,670435.0,675308.0,7.309204852257387e-05,7.167610369481526e-05,7.527699786885656e-05,0.000169921875,0.0001552734375,0.00017578125,203.5304347170869,191.9375376545766,214.72168789828055,0.01611328125,0.013916015625,0.018798828125,0.18933423743491978,0.18816432845728254,0.19076973081124618,0.0,0.0,0.0
