cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
butane_b1_s2.3_full_trans,fr_r010,integrated_l2_F,3,4.370671806395351,4.393345231119747,0.027235744282094743,0.022673424724396263,0.028223412118326685,0.005616416332958415,0.005187629208676697,0.006525781478120297,0.0
butane_b1_s2.3_full_trans,fr_r020,integrated_l2_F,3,4.370671806395351,4.415372744647372,0.03444584884839941,0.03330327692885593,0.044700938252020705,0.007700341363116661,0.00710324733816629,0.01022747537040242,0.0
butane_b1_s2.3_full_trans,fr_r040,integrated_l2_F,3,4.370671806395351,4.429942658558126,0.05927085216277472,0.05887550295960953,0.06984836553836793,0.013613118963718536,0.013561039306599758,0.014403773841350193,0.0
butane_b1_s2.3_full_trans,opes_b12_s30,integrated_l2_F,3,4.370671806395351,6.615400694697307,2.290491530491546,1.3680516318938167,2.6513346804651636,0.5296045404718179,0.28211263294721656,0.606619485037888,0.0
butane_b1_s2.3_full_trans,opes_b4_s15,integrated_l2_F,3,4.370671806395351,5.756879063694045,1.3775708051662265,0.9075689934506466,1.7672941847694004,0.31852017068182925,0.18715425087369045,0.4043529834894995,0.0
butane_b1_s2.3_full_trans,opes_b8_s15,integrated_l2_F,3,4.370671806395351,6.041553585474972,1.621627563264541,1.4937039824899374,1.7166444212692111,0.37102478408278267,0.30802402008807095,0.3969203412355276,0.0
butane_b1_s2.3_full_trans,opes_b8_s30,integrated_l2_F,3,4.370671806395351,6.26804660126369,1.9431374370579295,1.1670975640025771,2.1436524942845443,0.4492897684741948,0.2406729095679373,0.4904629286389936,0.0
pentane_b1_s2.3_full_trans,fr_r002,integrated_l2_F,3,6.9282253489387475,6.942355554268492,0.01366744731404168,0.011019541134842825,0.014130205329744072,0.0018812976168039934,0.0016431767818728936,0.0020395129514527858,0.0
pentane_b1_s2.3_full_trans,fr_r005,integrated_l2_F,3,6.9282253489387475,6.991907141844458,0.0342272667650656,0.015186246000708614,0.06368179290571074,0.005103792378204841,0.002090357310540364,0.009191645724321799,0.0
pentane_b1_s2.3_full_trans,fr_r010,integrated_l2_F,3,6.9282253489387475,7.012549171705555,0.06722106355056123,0.03569306092585567,0.08432382276680706,0.009252849032516487,0.00532236399589221,0.012171056586622665,0.0
pentane_b1_s2.3_full_trans,fr_r020,integrated_l2_F,3,6.9282253489387475,7.1022244114462,0.17399906250745278,0.16096948915878428,0.1849284171441914,0.025114521214888837,0.022157138006411312,0.027575565773699035,0.0
pentane_b1_s2.3_full_trans,fr_r040,integrated_l2_F,3,6.9282253489387475,7.156619366669801,0.22839401773105372,0.22064499088784917,0.24924910390311084,0.03296573165970109,0.0329014358789488,0.03430865577083309,0.0
pentane_b1_s2.3_full_trans,opes_b12_s30,integrated_l2_F,3,6.9282253489387475,9.777633290638253,2.777932586432568,2.6200461518102056,3.071391298658091,0.4009587515593855,0.36064427160827334,0.4579899297298094,0.0
pentane_b1_s2.3_full_trans,opes_b4_s15,integrated_l2_F,3,6.9282253489387475,8.8591354046615,1.932320950240534,1.5942310152856365,2.0470596432797707,0.2789056147742832,0.2194428074809941,0.30524690962953643,0.0
pentane_b1_s2.3_full_trans,opes_b8_s15,integrated_l2_F,3,6.9282253489387475,9.745187316419461,2.6771376483859095,2.5214186649775705,2.8169619674807134,0.3992008716040125,0.3470683893190491,0.40659213948810285,0.0
pentane_b1_s2.3_full_trans,opes_b8_s30,integrated_l2_F,3,6.9282253489387475,9.654044057672305,2.753141252082081,2.3891396682964423,2.8879079208726757,0.3973804420931259,0.3288604419612598,0.43062984072544014,0.0
butane_b1_s2.3_full_trans,fr_r002,final_l2_Fp,3,0.2840710793858248,0.2845929594359638,0.0005218800501389786,0.000372874264918166,0.0009814836204394828,0.0018371460103130109,0.001326929715697647,0.0034348360292084487,0.0
