cell,seed,j,C,a,V,pi_star,occ0,f_ref
K3,8002,21,145377.0,0.0005577366502777776,0.1530259837466068,0.00390625,0.05078125,-0.11939669396034924
K3,8002,22,149613.0,0.0005545690905208532,0.18139840619180772,0.00390625,0.06640625,2.3566676671297633
K3,8002,23,138089.0,0.00045853047568898827,0.13153137069603446,0.00390625,0.06640625,4.739356923226084
K3,8002,24,116351.0,0.0004305103403020531,0.12155850026463985,0.00390625,0.0546875,6.729879356794805
K3,8002,25,84853.0,0.0003287051114123004,0.196608374066459,0.00390625,0.03515625,8.282174936728236
K3,8002,26,55395.0,0.0002732808012546973,0.37625079209053536,0.00390625,0.0078125,9.536218308969232
K3,8002,27,35291.0,0.00016826055744771585,0.6110501768355009,0.00390625,0.015625,10.762180863513906
K3,8002,28,28287.0,8.288047337878629e-05,0.7279462886916624,0.00390625,0.01953125,12.251816073352863
K3,8002,29,24832.0,3.615601467227656e-06,0.6480335458035834,0.00390625,0.0078125,14.228240678469687
K3,8002,30,21243.0,0.0,0.527435034298937,0.00390625,0.0,16.82835293200227
K3,8002,31,18314.0,0.0,0.5145073422937076,0.00390625,0.0,20.20578082012556
K3,8003,0,49522.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.04296875,-20.001447663525564
K3,8003,1,54275.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.01953125,-16.736926222184675
K3,8003,2,58148.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.0234375,-14.119694821265368
K3,8003,3,65189.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.05078125,-12.112613681448535
K3,8003,4,73491.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.05078125,-10.612314324874749
K3,8003,5,89782.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.03515625,-9.37970088141536
K3,8003,6,112044.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.02734375,-8.130169058873427
K3,8003,7,125994.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.03125,-6.598728030372591
K3,8003,8,135909.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.046875,-4.620588418274956
K3,8003,9,136514.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.046875,-2.252863240698835
K3,8003,10,138314.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.046875,0.22605911217101549
K3,8003,11,130629.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.05078125,2.355230571581429
K3,8003,12,95938.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.046875,3.6060840625782453
K3,8003,13,53257.0,0.0006483694517539563,3.081559448889604,0.13078850231026737,0.02734375,3.275144141174126
K3,8003,14,46323.0,0.0007190962031104933,11.419147589547167,0.36871327199517206,0.01171875,0.6855115062732063
K3,8003,15,50333.0,0.0006716400359167596,0.18262001103462636,0.00390625,0.015625,-0.08397731392047976
K3,8003,16,52714.0,0.0007277206082059181,0.23035181068127758,0.00390625,0.01171875,0.27399170958044256
K3,8003,17,49782.0,0.0006642914303916642,6.234667423308631,0.23349055042125344,0.0234375,-0.3699228766684197
K3,8003,18,51986.0,0.0007031742244727865,3.514616106962375,0.15763267527330724,0.01171875,-2.9743058338938515
K3,8003,19,82249.0,0.0006263236351786695,0.5224564293374221,0.00390625,0.0390625,-3.436226280277556
K3,8003,20,119878.0,0.0006454570519110974,0.1504324590547868,0.00390625,0.04296875,-2.215293491858746
K3,8003,21,140862.0,0.0005577366502777776,0.1530259837466068,0.00390625,0.05078125,-0.11939669396034924
K3,8003,22,150691.0,0.0005545690905208532,0.18139840619180772,0.00390625,0.04296875,2.3566676671297633
K3,8003,23,139855.0,0.00045853047568898827,0.13153137069603446,0.00390625,0.04296875,4.739356923226084
K3,8003,24,118111.0,0.0004305103403020531,0.12155850026463985,0.00390625,0.05078125,6.729879356794805
K3,8003,25,84678.0,0.0003287051114123004,0.196608374066459,0.00390625,0.04296875,8.282174936728236
K3,8003,26,50042.0,0.0002732808012546973,0.37625079209053536,0.00390625,0.0390625,9.536218308969232
K3,8003,27,30946.0,0.00016826055744771585,0.6110501768355009,0.00390625,0.01171875,10.762180863513906
K3,8003,28,23439.0,8.288047337878629e-05,0.7279462886916624,0.00390625,0.01171875,12.251816073352863
K3,8003,29,19369.0,3.615601467227656e-06,0.6480335458035834,0.00390625,0.0,14.228240678469687
K3,8003,30,16334.0,0.0,0.527435034298937,0.00390625,0.00390625,16.82835293200227
K3,8003,31,13402.0,0.0,0.5145073422937076,0.00390625,0.0,20.20578082012556
K3,8004,0,40160.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.04296875,-20.001447663525564
K3,8004,1,43321.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.0078125,-16.736926222184675
K3,8004,2,54351.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.0234375,-14.119694821265368
K3,8004,3,64513.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.02734375,-12.112613681448535
K3,8004,4,74706.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.0390625,-10.612314324874749
K3,8004,5,86848.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.03515625,-9.37970088141536
K3,8004,6,99527.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.046875,-8.130169058873427
K3,8004,7,109514.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.03125,-6.598728030372591
K3,8004,8,125877.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.05078125,-4.620588418274956
K3,8004,9,128338.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.046875,-2.252863240698835
K3,8004,10,125266.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.03515625,0.22605911217101549
K3,8004,11,115973.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.0390625,2.355230571581429
K3,8004,12,91363.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.0390625,3.6060840625782453
K3,8004,13,54731.0,0.0006483694517539563,3.081559448889604,0.12701261805888245,0.01953125,3.275144141174126
K3,8004,14,50311.0,0.0007190962031104933,11.419147589547167,0.35937874352706306,0.01953125,0.6855115062732063
K3,8004,15,47454.0,0.0006716400359167596,0.18262001103462636,0.00390625,0.015625,-0.08397731392047976
K3,8004,16,46587.0,0.0007277206082059181,0.23035181068127758,0.00390625,0.0078125,0.27399170958044256
K3,8004,17,45638.0,0.0006642914303916642,6.234667423308631,0.2385820865111076,0.01953125,-0.3699228766684197
K3,8004,18,46353.0,0.0007031742244727865,3.514616106962375,0.16565155190294703,0.0078125,-2.9743058338938515
K3,8004,19,78490.0,0.0006263236351786695,0.5224564293374221,0.00390625,0.046875,-3.436226280277556
K3,8004,20,128194.0,0.0006454570519110974,0.1504324590547868,0.00390625,0.0625,-2.215293491858746
K3,8004,21,158657.0,0.0005577366502777776,0.1530259837466068,0.00390625,0.046875,-0.11939669396034924
K3,8004,22,166747.0,0.0005545690905208532,0.18139840619180772,0.00390625,0.06640625,2.3566676671297633
K3,8004,23,156560.0,0.00045853047568898827,0.13153137069603446,0.00390625,0.078125,4.739356923226084
K3,8004,24,133331.0,0.0004305103403020531,0.12155850026463985,0.00390625,0.0546875,6.729879356794805
K3,8004,25,95948.0,0.0003287051114123004,0.196608374066459,0.00390625,0.04296875,8.282174936728236
K3,8004,26,57719.0,0.0002732808012546973,0.37625079209053536,0.00390625,0.0390625,9.536218308969232
K3,8004,27,37695.0,0.00016826055744771585,0.6110501768355009,0.00390625,0.0,10.762180863513906
K3,8004,28,28239.0,8.288047337878629e-05,0.7279462886916624,0.00390625,0.0,12.251816073352863
K3,8004,29,24082.0,3.615601467227656e-06,0.6480335458035834,0.00390625,0.0,14.228240678469687
K3,8004,30,23056.0,0.0,0.527435034298937,0.00390625,0.0,16.82835293200227
K3,8004,31,20451.0,0.0,0.5145073422937076,0.00390625,0.0078125,20.20578082012556
K3,8005,0,44246.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.01953125,-20.001447663525564
K3,8005,1,51331.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.046875,-16.736926222184675
K3,8005,2,57273.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.03125,-14.119694821265368
K3,8005,3,66053.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.03125,-12.112613681448535
K3,8005,4,74817.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.046875,-10.612314324874749
K3,8005,5,88156.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.03515625,-9.37970088141536
K3,8005,6,108306.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.046875,-8.130169058873427
K3,8005,7,121507.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.04296875,-6.598728030372591
K3,8005,8,127406.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.02734375,-4.620588418274956
K3,8005,9,127679.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.0390625,-2.252863240698835
K3,8005,10,127274.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.0546875,0.22605911217101549
K3,8005,11,116889.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.0234375,2.355230571581429
K3,8005,12,83039.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.0390625,3.6060840625782453
K3,8005,13,49739.0,0.0006483694517539563,3.081559448889604,0.12896110660936524,0.00390625,3.275144141174126
K3,8005,14,44370.0,0.0007190962031104933,11.419147589547167,0.3563073989384749,0.01953125,0.6855115062732063
K3,8005,15,43647.0,0.0006716400359167596,0.18262001103462636,0.00390625,0.01171875,-0.08397731392047976
K3,8005,16,43101.0,0.0007277206082059181,0.23035181068127758,0.00390625,0.01171875,0.27399170958044256
K3,8005,17,42150.0,0.0006642914303916642,6.234667423308631,0.2351722655109879,0.01953125,-0.3699228766684197
K3,8005,18,39393.0,0.0007031742244727865,3.514616106962375,0.17018422894117202,0.015625,-2.9743058338938515
K3,8005,19,68497.0,0.0006263236351786695,0.5224564293374221,0.00390625,0.0234375,-3.436226280277556
K3,8005,20,119944.0,0.0006454570519110974,0.1504324590547868,0.00390625,0.05859375,-2.215293491858746
K3,8005,21,150049.0,0.0005577366502777776,0.1530259837466068,0.00390625,0.08203125,-0.11939669396034924
K3,8005,22,165178.0,0.0005545690905208532,0.18139840619180772,0.00390625,0.0625,2.3566676671297633
K3,8005,23,153739.0,0.00045853047568898827,0.13153137069603446,0.00390625,0.0703125,4.739356923226084
K3,8005,24,129514.0,0.0004305103403020531,0.12155850026463985,0.00390625,0.0546875,6.729879356794805
K3,8005,25,96117.0,0.0003287051114123004,0.196608374066459,0.00390625,0.05078125,8.282174936728236
K3,8005,26,64483.0,0.0002732808012546973,0.37625079209053536,0.00390625,0.015625,9.536218308969232
K3,8005,27,42511.0,0.00016826055744771585,0.6110501768355009,0.00390625,0.00390625,10.762180863513906
K3,8005,28,34547.0,8.288047337878629e-05,0.7279462886916624,0.00390625,0.0078125,12.251816073352863
K3,8005,29,28484.0,3.615601467227656e-06,0.6480335458035834,0.00390625,0.0,14.228240678469687
K3,8005,30,26466.0,0.0,0.527435034298937,0.00390625,0.00390625,16.82835293200227
K3,8005,31,24095.0,0.0,0.5145073422937076,0.00390625,0.0,20.20578082012556
K3,8006,0,34108.0,5.758094411151144e-32,0.3985075956955805,0.00390625,0.046875,-20.001447663525564
K3,8006,1,41384.0,5.640582280311324e-32,0.24543906313089434,0.00390625,0.02734375,-16.736926222184675
K3,8006,2,52978.0,3.6156014672276936e-06,0.19231786721630642,0.00390625,0.02734375,-14.119694821265368
K3,8006,3,63268.0,7.272868562147565e-05,0.12558318082497283,0.00390625,0.015625,-12.112613681448535
K3,8006,4,80835.0,0.00017841234520502852,0.06599504212621561,0.00390625,0.046875,-10.612314324874749
K3,8006,5,94312.0,0.0002490952182237675,0.03168747133902263,0.00390625,0.0390625,-9.37970088141536
K3,8006,6,108855.0,0.00035289069444323373,0.016507216822824144,0.00390625,0.02734375,-8.130169058873427
K3,8006,7,116484.0,0.0003948425611381609,0.010861165158631923,0.00390625,0.0390625,-6.598728030372591
K3,8006,8,123549.0,0.0004941982548528808,0.009772223385321098,0.00390625,0.0390625,-4.620588418274956
K3,8006,9,129702.0,0.0005099707143646579,0.013009896739930372,0.00390625,0.03125,-2.252863240698835
K3,8006,10,126020.0,0.0006023350264339747,0.014277091645669778,0.00390625,0.05859375,0.22605911217101549
K3,8006,11,112526.0,0.0005944796779032567,0.019282302426960735,0.00390625,0.04296875,2.355230571581429
K3,8006,12,90528.0,0.0006773010091865126,0.059303581822130524,0.00390625,0.046875,3.6060840625782453
K3,8006,13,59025.0,0.0006483694517539563,3.081559448889604,0.12883806517094726,0.0,3.275144141174126
