cell,seed,arm,R_s,tv_future,n_future_total,empty_live_cells,ess_anc_final,p90,s90,dtau,n_events,n_replacements,kl_pre,kl_post,tv_pre,tv_post,ess_anc,wmax_family,local_ess_min,local_ess_median,n_gaining_occupied
K3,8002,p0.02,0.018800997021702643,0.8445362903225806,595200.0,0,0.9846153846153847,0.02,0.7550795675749689,0.026755733018181054,2.0,2.0,2.1029334950702414,2.0692662891030698,0.8444959531616345,0.8381380642749294,0.9846153846153847,0.0078125,0.6,1.0,3.0
K3,8002,p0.05,0.01893447732222433,0.8409307795698925,595200.0,0,0.9411764705882353,0.05,0.7550795675749689,0.06793097918446571,8.0,8.0,2.1029334950702414,2.034791324316006,0.8444959531616345,0.8308174479789974,0.9411764705882353,0.0078125,0.5,0.5555555555555555,3.0
K3,8002,p0.1,0.018864925682983386,0.8410517473118281,595200.0,0,0.8888888888888888,0.1,0.7550795675749689,0.13953564654941542,14.0,14.0,2.102933495070241,2.0402220247002694,0.8444959531616345,0.8321376610069088,0.8888888888888888,0.01171875,0.4444444444444444,0.6,3.0
K3,8002,p0.2,0.01897947825002013,0.835085685483871,595200.0,0,0.8,0.2,0.7550795675749689,0.2955232281425158,30.0,28.0,2.102933495070241,1.9718579513131598,0.8444959531616345,0.8225439907577763,0.8,0.015625,0.5,0.5384615384615385,3.0
K3,8003,abf,0.008488849090364584,0.837755376344086,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8003,p0.02,0.008600782089208999,0.8330426747311828,595200.0,0,0.9624060150375939,0.02,0.8516004937460697,0.02372322170534522,5.0,5.0,1.9439034542511426,1.914943124256899,0.8178487503260422,0.8120385179732029,0.9624060150375939,0.0078125,0.6,0.788888888888889,4.0
K3,8003,p0.05,0.008691031410584037,0.8291078629032259,595200.0,0,0.920863309352518,0.05,0.8516004937460697,0.06023164002866961,11.0,11.0,1.9439034542511426,1.8419060521832766,0.8178487503260421,0.7973574294948842,0.920863309352518,0.0078125,0.6666666666666666,0.6666666666666666,4.0
K3,8003,p0.1,0.008768912895105,0.8250000000000002,595200.0,0,0.8648648648648649,0.1,0.8516004937460697,0.12372059014944944,19.0,18.0,1.9439034542511426,1.8211541661411401,0.8178487503260422,0.7921115300137203,0.8648648648648649,0.01171875,0.42857142857142855,0.6666666666666666,4.0
K3,8003,p0.2,0.008948944612137784,0.8145110887096775,595200.0,0,0.8,0.2,0.8516004937460697,0.26202844285896654,35.0,30.0,1.9439034542511422,1.7368262447097031,0.8178487503260422,0.7732070398419527,0.8,0.01171875,0.4782608695652174,0.5505050505050504,4.0
K3,8004,abf,0.00972921834456552,0.8371706989247312,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8004,p0.02,0.009860301041945432,0.8354116263440861,595200.0,0,0.9770992366412213,0.02,0.8816409132137268,0.022914893143827976,3.0,3.0,2.0346576988434553,2.01840227847919,0.8288860108495274,0.8273924773349247,0.9770992366412213,0.0078125,0.75,0.9999999999999998,4.0
K3,8004,p0.05,0.009767851560974547,0.835766129032258,595200.0,0,0.9552238805970149,0.05,0.8816409132137268,0.0581793490056831,6.0,6.0,2.034657698843455,2.0162000981398,0.8288860108495274,0.826972399668447,0.9552238805970149,0.0078125,0.75,0.9999999999999998,4.0
K3,8004,p0.1,0.00998972167670371,0.8313457661290322,595200.0,0,0.8951048951048951,0.1,0.8816409264483764,0.11950501899028568,14.0,14.0,2.0346580656368616,1.965065564227919,0.8288860620441667,0.8176901102422554,0.8951048951048951,0.01171875,0.5714285714285714,0.8749999999999999,4.0
K3,8004,p0.2,0.010297064511060897,0.8252486559139787,595200.0,0,0.8050314465408805,0.2,0.8816409132137268,0.25310026788663265,31.0,29.0,2.034657698843455,1.9216826347612364,0.8288860108495274,0.8117933538672619,0.8050314465408805,0.01171875,0.5,0.5339366515837105,4.0
K3,8005,abf,0.012625968380682508,0.8338524865591399,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8005,p0.02,0.012823568391646122,0.8292254704301076,595200.0,0,0.9696969696969697,0.02,0.9593868659666651,0.02105793609876397,4.0,4.0,2.081359099308347,2.0353347232555627,0.8394095893564802,0.830148532878345,0.9696969696969697,0.0078125,0.6363636363636365,0.857142857142857,4.0
K3,8005,p0.05,0.012928061955791005,0.8296690188172043,595200.0,0,0.9343065693430657,0.05,0.9593868802665706,0.05346466106905534,9.0,9.0,2.0813588516642225,2.020628809594602,0.8394095541662385,0.829229203014372,0.9343065693430657,0.0078125,0.6363636363636365,0.857142857142857,4.0
K3,8005,p0.1,0.012923492404411898,0.8255510752688173,595200.0,0,0.9078014184397163,0.1,0.9593868659666651,0.10982067755499911,13.0,13.0,2.0813590993083464,1.9883706810745583,0.8394095893564804,0.8231799366926335,0.9078014184397163,0.0078125,0.5,0.6428571428571428,4.0
K3,8005,p0.2,0.013320745492359695,0.8196454973118279,595200.0,0,0.8366013071895425,0.2,0.9593868802665706,0.23258974653917314,24.0,24.0,2.0813588516642225,1.9512808018732817,0.8394095541662386,0.8214244655513787,0.8366013071895425,0.01171875,0.5294117647058824,0.7321428571428571,4.0
K3,8006,abf,0.0037712912696454648,0.8071387768817204,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8006,p0.02,0.0038196088566635846,0.8047412634408604,595200.0,0,0.9922480620155039,0.02,2.547873878749978,0.00792924150838706,1.0,1.0,1.8697934812984358,1.8553012401286295,0.7966233367414649,0.7929918316626963,0.9922480620155039,0.0078125,0.8333333333333333,0.9999999999999999,3.0
K3,8006,p0.05,0.0038310994418221766,0.8022059811827957,595200.0,0,0.9770992366412213,0.05,2.547873878749978,0.020131802761255896,3.0,3.0,1.8697934812984356,1.8448260923016164,0.7966233367414651,0.7904778261983273,0.9770992366412213,0.0078125,0.7333333333333333,0.9999999999999999,3.0
K3,8006,p0.1,0.003900416978770073,0.8003091397849462,595200.0,0,0.9552238805970149,0.1,2.5478738522316644,0.04135232816394806,6.0,6.0,1.8697931334937257,1.82840453464046,0.79662328825016,0.7862722212856141,0.9552238805970149,0.0078125,0.7333333333333333,0.75,3.0
K3,8006,p0.2,0.003744328628014442,0.8032375672043011,595200.0,0,0.9411764705882353,0.2,2.547873852231665,0.08758029802721977,9.0,8.0,1.8697931334937261,1.8277959718652448,0.7966232882501599,0.7841117128325669,0.9411764705882353,0.0078125,0.6842105263157894,0.7333333333333333,3.0
K3,8007,abf,0.007909833809171958,0.8182526881720431,595200.0,0,1.0,,,,,,,,,,,,,,
K3,8007,p0.02,0.007931301028125495,0.8183400537634409,595200.0,0,0.9846153846153847,0.02,0.9868714526397404,0.020471467954088756,2.0,2.0,2.086739682442828,2.081706706416628,0.8359003681600754,0.8359003687747483,0.9846153846153847,0.0078125,0.9999999999999998,0.9999999999999999,4.0
K3,8007,p0.05,0.007939118522850317,0.8161021505376345,595200.0,0,0.9481481481481482,0.05,0.9868714526397406,0.05197565929214825,7.0,7.0,2.0867396824428286,2.0471376451978953,0.8359003681600753,0.8289627882190708,0.9481481481481482,0.0078125,0.5,0.8749999999999999,4.0
K3,8007,p0.1,0.007980686339997036,0.8134979838709677,595200.0,0,0.9014084507042254,0.1,0.9868714526397406,0.10676214756846183,15.0,14.0,2.0867396824428286,2.0141844381624785,0.8359003681600753,0.8232483738628129,0.9014084507042254,0.0078125,0.5,0.7857142857142856,4.0
K3,8007,p0.2,0.008392340770036694,0.8022832661290322,595200.0,0,0.7950310559006211,0.2,0.9868714526397404,0.22611207439158618,32.0,29.0,2.086739682442828,1.9243970555958931,0.8359003681600754,0.8077383029661055,0.7950310559006211,0.01171875,0.40740740740740744,0.5681818181818182,4.0
