cell,method,metric,n_pairs,abf_med,method_med,delta_med,delta_lo,delta_hi,rel_med,rel_lo,rel_hi,win_rate
pentane_b1_s2.3_full_dispersed,fr_active,final_l2_F,16,0.2553002642904306,0.27179640171260677,0.012805550680261735,0.01029923552212183,0.017366783285001592,0.050944902802908004,0.039689104909393313,0.06815959391384313,0.0625
pentane_b1_s2.3_full_dispersed,fr_estimated,final_l2_F,16,0.2553002642904306,0.2564102123687338,0.0019256926631767424,-0.000914992680648588,0.003519950168301379,0.0072304320612342765,-0.0033575262060426283,0.013966556680822325,0.375
pentane_b1_s2.3_full_dispersed,fr_oracle,final_l2_F,16,0.2553002642904306,0.25425335664462956,0.0004974851254861828,-0.0018936084735345139,0.0016486711133760587,0.002025773285824803,-0.007430418994223388,0.0066388273402615446,0.4375
pentane_b1_s2.3_full_dispersed,fr_uniform,final_l2_F,16,0.2553002642904306,0.2570599460240564,0.002124955540028034,-0.0014184947775606259,0.0030132443410190047,0.00802466856890216,-0.005301530841856813,0.012052393820637922,0.375
pentane_b1_s2.3_full_dispersed,opes,final_l2_F,16,0.2553002642904306,0.3203731591251587,0.06104675256231311,0.05681967822062594,0.06941738526294815,0.23646673608873864,0.22081027624396893,0.27501773086169023,0.0
pentane_b1_s2.3_full_trans,fr_active,final_l2_F,16,0.28437143905315776,0.30067706524002324,0.016382901138079053,0.012180214572523758,0.01993506752620081,0.05879485870681733,0.042874738090078884,0.06988872105355684,0.0
pentane_b1_s2.3_full_trans,fr_estimated,final_l2_F,16,0.28437143905315776,0.2872971658464776,0.0011270365793742965,-0.0006701489792189051,0.0035715083932014707,0.003933038699537517,-0.002402283476188928,0.012640152235021667,0.375
pentane_b1_s2.3_full_trans,fr_oracle,final_l2_F,16,0.28437143905315776,0.28524253612450357,-0.0008393288493869777,-0.0021999012425934802,0.001534695863615547,-0.0029790455048082603,-0.007301956504121314,0.005470736366360196,0.5
pentane_b1_s2.3_full_trans,fr_uniform,final_l2_F,16,0.28437143905315776,0.2873229403692145,0.0012762476231620301,-0.0007346718173692242,0.003542137679331406,0.004443629674677053,-0.002491418685324119,0.0120067509342091,0.375
pentane_b1_s2.3_full_trans,opes,final_l2_F,16,0.28437143905315776,0.3934512990265784,0.10646468448487564,0.10258340860912864,0.11148570710999944,0.3728379950504767,0.35660554494189095,0.3918816065398602,0.0
pentane_b2_s2.3_full_trans,fr_active,final_l2_F,16,0.19403560337109255,0.1994504318226071,0.0041133311379050325,0.0028210818898920056,0.004549713963350749,0.02103016477654087,0.014518697389311164,0.023663354973030456,0.0
pentane_b2_s2.3_full_trans,fr_estimated,final_l2_F,16,0.19403560337109255,0.1957236554161369,0.0005235097257845905,0.0003805847284128697,0.0013508148040962517,0.002669403426329429,0.0020551320809566115,0.007016241410875747,0.125
pentane_b2_s2.3_full_trans,fr_oracle,final_l2_F,16,0.19403560337109255,0.1945917853311725,-0.0005649309037116662,-0.0008586935999557341,-0.0001004421532132812,-0.0029593679578115576,-0.004404611073343283,-0.0004983910139680854,0.6875
pentane_b2_s2.3_full_trans,fr_uniform,final_l2_F,16,0.19403560337109255,0.19565251103598363,0.0005607389963752929,0.00023322345665455677,0.0012115382612484112,0.002872503055653665,0.001230773486058683,0.006320099350418403,0.25
pentane_b2_s2.3_full_trans,opes,final_l2_F,16,0.19403560337109255,0.3102048111039378,0.11457568032934871,0.11188874125153984,0.11928735850794676,0.5851950098851019,0.57271643163855,0.614086922980071,0.0
butane_b0.5_s2.3_full_trans,fr_estimated,integrated_l2_F,12,8.432183861822754,8.432402462018487,0.0038778882961958416,-0.0026787335524297387,0.009674144227801494,0.0004581309325548089,-0.00031183455730459243,0.001152528942278546,0.4166666666666667
butane_b0.5_s2.3_full_trans,fr_oracle,integrated_l2_F,12,8.432183861822754,8.421457972751965,0.0011816149314922697,-0.005480111356139461,0.00973213462686025,0.000140043269455646,-0.0006277716732917183,0.001180865249900835,0.4166666666666667
butane_b0.5_s2.3_full_trans,fr_uniform,integrated_l2_F,12,8.432183861822754,8.4324535302255,0.0031364374117170968,-0.0027107815224382474,0.009726038464968712,0.0003689453608538728,-0.00031859744882773875,0.001166355316478422,0.5
butane_b0.5_s2.3_full_trans,opes,integrated_l2_F,12,8.432183861822754,9.572990380557847,1.2017492370159895,1.1582453044597751,1.2419785984432494,0.14517744927259835,0.13764408613565213,0.14906665427430257,0.0
butane_b1_s2.3_full_dispersed,fr_estimated,integrated_l2_F,16,7.462953728788598,7.461929790827904,0.0004022337803637477,-0.0026874961098660066,0.01424384396479116,5.142200025743604e-05,-0.00033741225380562315,0.001867452196647918,0.5
butane_b1_s2.3_full_dispersed,fr_oracle,integrated_l2_F,16,7.462953728788598,7.466261582981527,4.623426457595059e-05,-0.002304596834859515,0.005435895901564591,6.335892162361867e-06,-0.000311127993359478,0.000695968613110352,0.5
