system,cell,method,seed,stage,n_replicas,n_steps,dt,t_phys,l2_f,int_l2_f,n_cross,n_roundtrips,p_a,p_b,cv_coverage,low_support_fraction,support_min_over_median,f_range,spectral_gap_matrix,n_states_visited_frac,fpt_frac,sweep,orphan,cross_per_replica,log10_cross_per_replica,cross_rate_per_time,roundtrips_per_replica,roundtrip_rate_per_time,n_relax,log10_n_relax,min_state_occupancy
edb_slow,phi0.9_muy1,fr,7,main,512.0,80000.0,0.0005,40.0,0.036410754766280695,2.882425716155748,124946.0,nan,0.5006731538551625,0.49932684614483747,1.0,0.0,0.8001935514853336,1.9953057241598087,nan,1.0,nan,physics,True,244.03515625,2.3892283989360927,6.10087890625,nan,nan,488.07119715074003,2.6893720866879085,0.49932684614483747
edb_slow,phi0.9_muy1,fr,8,main,512.0,80000.0,0.0005,40.0,0.03014383849013027,2.2404737006585473,126188.0,nan,0.48624127170400067,0.5137587282959993,1.0,0.0,0.8530259692458468,1.9953057241598087,nan,1.0,nan,physics,True,246.4609375,2.3935066539076106,6.1615234375,nan,nan,493.29540341827084,2.693986571862026,0.48624127170400067
edb_slow,phi0.9_muy1,fr,9,main,512.0,80000.0,0.0005,40.0,0.028207738002803996,2.276120487843504,125154.0,nan,0.49717125198818113,0.502828748011819,1.0,0.0,0.878515448759511,1.9953057241598087,nan,1.0,nan,physics,True,244.44140625,2.389947830554682,6.11103515625,nan,nan,488.89846080076313,2.690106074959933,0.49717125198818113
eb,om25_b8_g15,abf,0,stage1_seeds,256.0,40000.0,0.001,40.0,0.21335700362235466,10.502223367479171,nan,nan,0.4914623797355532,0.5085376202644468,1.0,0.07947019867549669,0.023404527229814346,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4914623797355532
eb,om25_b8_g15,abf,1,stage1_seeds,256.0,40000.0,0.001,40.0,0.2131760724991455,10.826753168945723,nan,nan,0.5107389377960716,0.48926106220392834,1.0,0.08609271523178808,0.010960173404844542,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48926106220392834
eb,om25_b8_g15,abf,10,stage1_seeds,256.0,40000.0,0.001,40.0,0.174855965151581,8.74019243815157,nan,nan,0.5031379236248988,0.4968620763751012,1.0,0.0728476821192053,0.02228592859818535,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4968620763751012
eb,om25_b8_g15,abf,11,stage1_seeds,256.0,40000.0,0.001,40.0,0.20590353174186604,11.337516089106808,nan,nan,0.5115250041776024,0.4884749958223977,1.0,0.09271523178807947,0.024943588866736092,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4884749958223977
eb,om25_b8_g15,abf,12,stage1_seeds,256.0,40000.0,0.001,40.0,0.18844815907895135,10.451397235287587,nan,nan,0.506961419017944,0.49303858098205605,1.0,0.059602649006622516,0.043818783287033244,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.49303858098205605
eb,om25_b8_g15,abf,13,stage1_seeds,256.0,40000.0,0.001,40.0,0.20791786303726867,10.048819405003536,nan,nan,0.48213994419313755,0.5178600558068625,1.0,0.10596026490066225,0.004489978671905665,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48213994419313755
eb,om25_b8_g15,abf,14,stage1_seeds,256.0,40000.0,0.001,40.0,0.1981738283703872,10.732582219494173,nan,nan,0.5344119253774218,0.4655880746225783,1.0,0.07947019867549669,0.026341497566682966,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4655880746225783
eb,om25_b8_g15,abf,15,stage1_seeds,256.0,40000.0,0.001,40.0,0.20464392511314675,10.073961661811136,nan,nan,0.5124243657900056,0.4875756342099944,1.0,0.08609271523178808,0.017314402069795527,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4875756342099944
eb,om25_b8_g15,abf,16,stage1_seeds,256.0,40000.0,0.001,40.0,0.18823359475278678,9.111118029426304,nan,nan,0.5362840067594711,0.46371599324052887,1.0,0.08609271523178808,0.026897110816589496,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.46371599324052887
eb,om25_b8_g15,abf,17,stage1_seeds,256.0,40000.0,0.001,40.0,0.19879262152565974,9.954920735471354,nan,nan,0.5126166621003156,0.4873833378996844,1.0,0.07947019867549669,0.01806231929348952,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4873833378996844
eb,om25_b8_g15,abf,18,stage1_seeds,256.0,40000.0,0.001,40.0,0.18531163290093092,9.392034998288091,nan,nan,0.5101434666100315,0.48985653338996854,1.0,0.06622516556291391,0.041791838360179974,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.48985653338996854
eb,om25_b8_g15,abf,19,stage1_seeds,256.0,40000.0,0.001,40.0,0.20822514871342257,10.838477301769315,nan,nan,0.5550902322047289,0.4449097677952711,1.0,0.0728476821192053,0.04795185271203256,3.9052476874582007,nan,nan,nan,physics,False,nan,nan,nan,nan,nan,nan,nan,0.4449097677952711
