kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,2,0.8872976396401872,33.937318353863795,10.393799796935738,344.83815901834356,2.775146847694842,0.9061974072882641,0.02262443438914027,2641223.2703973134,1357389,16906,1699,544,0,0,,,,0.296875,0.4440104365348816,screen_dist_butane_b2_trans_g256,9.639211442945937,0.1343956159404124,0.0920508534221977
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,3,0.8916390473943617,33.20984991203378,10.408082371863026,343.6808478369552,2.662587245823445,0.8358199980063286,0.03167420814479638,2685892.7712046257,1360869,16737,545,99,0,0,,,,0.3424479365348816,0.3828125,screen_dist_butane_b2_trans_g256,9.639211442945937,0.08828667013288762,0.09250124376583432
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,4,0.8806233580169767,33.58181876304975,10.388737362749591,344.8271879266393,2.7665709739807793,0.8480436519902667,0.03167420814479638,2672155.2174743605,1361654,16840,2126,26,0,0,,,,0.30859375,0.37109375,screen_dist_butane_b2_trans_g256,9.639211442945937,0.08610741938350275,0.0913584439172589
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,5,0.8547921931446862,31.93581755791056,10.325047136304676,339.88810283993575,2.4414010194536533,0.8108551476200473,0.03167420814479638,2670331.210097905,1362509,16878,783,565,0,0,,,,0.3125,0.3971354365348816,screen_dist_butane_b2_trans_g256,9.639211442945937,0.09552178096809168,0.08867864328987522
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,6,0.8705805814443608,32.6724862135402,10.363051292535314,342.0211401752819,2.5717996171168562,0.8669803164106039,0.027149321266968326,2639613.397610491,1362746,17022,1335,618,0,0,,,,0.33203125,0.4075520932674408,screen_dist_butane_b2_trans_g256,9.639211442945937,0.08857294157631208,0.09031657688985126
dist,butane,abf,abf,trans,2.0,2.3,False,screen,60000,768,screen__dist__butane__abf__trans__b2__N768__T60000__ns8__30f469400758,515.6296022441238,7,0.8720264543317625,32.447876922379415,10.365992573980465,341.61813167204696,2.498948936441323,0.8091523885743788,0.027149321266968326,2660520.787826438,1366696,16873,1727,883,0,0,,,,0.3177083432674408,0.3854166865348816,screen_dist_butane_b2_trans_g256,9.639211442945937,0.09322707404044377,0.09046657597390079
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,0,1.4075232402560123,72.63830028941615,17.688037688362208,734.4390183851262,4.572960432170263,1.213624962741356,0.16796875,3922215.481862466,1511974,13295,3793,2509,0,0,,,,0.3776041865348816,0.265625,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.09261176155173485,0.14184306857485823
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,1,1.4015983229812972,72.64436478476287,17.67497761491417,731.9244400338706,4.643293240686201,1.2169674598129405,0.16796875,3912429.3626512038,1504123,13326,4189,2795,0,0,,,,0.390625,0.23828125,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.09848266316131776,0.14124598539835242
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,2,1.3974702446297378,68.06980448345305,17.670799739356884,721.7822465566354,3.707337193438471,1.2045670406243554,0.15234375,3828038.3020489966,1515434,13983,3902,2738,0,0,,,,0.3763020932674408,0.2513020932674408,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.0857140352369453,0.14082997855458898
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,3,1.4086970268495067,70.89723123069278,17.693797202734288,729.1018001096156,4.152305524444542,1.2121969698235593,0.16796875,3901670.1222094437,1518170,13616,4023,2933,0,0,,,,0.3776041865348816,0.2604166865348816,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.09807691023380147,0.14196135684713074
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,4,1.3730386802170076,68.1068635750376,17.624353493009057,722.1145104642519,3.677010772843085,1.2134766803576715,0.15625,3875708.7644757396,1495054,13834,3604,2843,0,0,,,,0.3763020932674408,0.2252604216337204,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.08611191398763633,0.1383678891430098
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,5,1.3584562450273678,66.27004040252437,17.58346793970721,716.925284174145,3.019223264654116,1.2260087473583765,0.15625,3828320.9774722075,1514662,13842,2371,1741,0,0,,,,0.41796875,0.1940104216337204,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.0923516536138049,0.13689834512736976
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,6,1.357242423233067,66.48149781602633,17.586121222840468,717.8900497036964,3.1131621248495747,1.2321232795512522,0.16015625,3835249.8197102365,1509732,14125,3673,2295,0,0,,,,0.3984375,0.1744791716337204,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.0973806477463958,0.13677602231018107
dist,butane,abf,abf,trans,3.0,2.3,False,screen,80000,768,screen__dist__butane__abf__trans__b3__N768__T80000__ns8__81af78226b95,674.3253715196624,7,1.3849068521889254,71.63070616597118,17.64314107085325,730.1476484873303,4.155348301501226,1.2281159124578684,0.16796875,3895119.586320206,1502678,13151,3339,2849,0,0,,,,0.390625,0.234375,screen_dist_butane_b3_trans_g256,9.923102019702757,-0.09413569520883021,0.13956390344865263
