step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,row,seed
11000,A2,0.0,31,False,0.0,0.0,0,0.0,False,2,5202
11000,A2,0.13982006852496834,32,False,0.0,0.0,0,0.0,False,3,5203
11000,A2,0.0,30,False,0.0,0.0,0,0.0,False,4,5204
11000,A2,0.0,29,False,0.0,0.0,0,0.0,False,5,5205
11000,A2,0.0,30,False,0.0,0.0,0,0.0,False,6,5206
11000,A2,0.0,30,False,0.0,0.0,0,0.0,False,7,5207
11000,A2,0.0,29,False,0.0,0.0,0,0.0,False,8,5208
11000,A2,0.0,29,False,0.0,0.0,0,0.0,False,9,5209
11000,A2,0.0,29,False,0.0,0.0,0,0.0,False,10,5210
11000,A2,0.0,31,False,0.0,0.0,0,0.0,False,11,5211
11000,A2,0.0,28,False,0.0,0.0,0,0.0,False,12,5212
11000,A2,0.0,29,False,0.0,0.0,0,0.0,False,13,5213
11000,A2,0.0,30,False,0.0,0.0,0,0.0,False,14,5214
11000,A2,0.0,30,False,0.0,0.0,0,0.0,False,15,5215
11500,A2,0.0,29,False,0.0,0.0,0,0.0,False,0,5200
11500,A2,0.1713488197834558,32,False,0.0,0.0,0,0.0,False,1,5201
11500,A2,0.0,30,False,0.0,0.0,0,0.0,False,2,5202
11500,A2,0.0,31,False,0.0,0.0,0,0.0,False,3,5203
11500,A2,0.0,31,False,0.0,0.0,0,0.0,False,4,5204
11500,A2,0.0,29,False,0.0,0.0,0,0.0,False,5,5205
11500,A2,0.0,28,False,0.0,0.0,0,0.0,False,6,5206
11500,A2,0.0,31,False,0.0,0.0,0,0.0,False,7,5207
11500,A2,0.3598905372956305,32,False,0.0,0.0,0,0.0,False,8,5208
11500,A2,0.0,30,False,0.0,0.0,0,0.0,False,9,5209
11500,A2,0.0,28,False,0.0,0.0,0,0.0,False,10,5210
11500,A2,0.2309039432414783,32,False,0.0,0.0,0,0.0,False,11,5211
11500,A2,0.0,28,False,0.0,0.0,0,0.0,False,12,5212
11500,A2,0.0,29,False,0.0,0.0,0,0.0,False,13,5213
11500,A2,0.23467632636405208,32,False,0.0,0.0,0,0.0,False,14,5214
11500,A2,0.0,31,False,0.0,0.0,0,0.0,False,15,5215
12000,A2,0.0,30,False,0.0,0.0,0,0.0,False,0,5200
12000,A2,0.0,31,False,0.0,0.0,0,0.0,False,1,5201
12000,A2,0.0,29,False,0.0,0.0,0,0.0,False,2,5202
12000,A2,0.0,30,False,0.0,0.0,0,0.0,False,3,5203
12000,A2,0.25499060951250135,32,False,0.0,0.0,0,0.0,False,4,5204
12000,A2,0.0,31,False,0.0,0.0,0,0.0,False,5,5205
12000,A2,0.0,31,False,0.0,0.0,0,0.0,False,6,5206
12000,A2,0.0,31,False,0.0,0.0,0,0.0,False,7,5207
12000,A2,0.0,29,False,0.0,0.0,0,0.0,False,8,5208
12000,A2,0.0,31,False,0.0,0.0,0,0.0,False,9,5209
12000,A2,0.0,28,False,0.0,0.0,0,0.0,False,10,5210
12000,A2,0.0,31,False,0.0,0.0,0,0.0,False,11,5211
12000,A2,0.0,30,False,0.0,0.0,0,0.0,False,12,5212
12000,A2,0.0,30,False,0.0,0.0,0,0.0,False,13,5213
12000,A2,0.0,30,False,0.0,0.0,0,0.0,False,14,5214
12000,A2,0.0,30,False,0.0,0.0,0,0.0,False,15,5215
12500,A2,0.0,28,False,0.0,0.0,0,0.0,False,0,5200
12500,A2,0.0,31,False,0.0,0.0,0,0.0,False,1,5201
12500,A2,0.0,30,False,0.0,0.0,0,0.0,False,2,5202
12500,A2,0.0,31,False,0.0,0.0,0,0.0,False,3,5203
12500,A2,0.0,31,False,0.0,0.0,0,0.0,False,4,5204
12500,A2,0.0,31,False,0.0,0.0,0,0.0,False,5,5205
12500,A2,0.0,31,False,0.0,0.0,0,0.0,False,6,5206
12500,A2,0.27629931806314695,32,False,0.0,0.0,0,0.0,False,7,5207
