study,stage,name,beta,h,n_dim,a,opes_barrier,opes_pace,opes_sigma,opes_gamma,n_seeds,n_nan,l2_f_common_mean,l2_f_common_std,l2_f_common_sem,l2_f_common_ci95,l2_fp_common_mean,l2_fp_common_std,l2_fp_common_sem,l2_fp_common_ci95,l2_f_native_mean,l2_f_native_std,l2_f_native_sem,l2_f_native_ci95,l2_fp_native_mean,l2_fp_native_std,l2_fp_native_sem,l2_fp_native_ci95,integrated_l2_f_mean,integrated_l2_f_std,integrated_l2_f_sem,integrated_l2_f_ci95,normalized_anytime_l2_f_mean,normalized_anytime_l2_f_std,normalized_anytime_l2_f_sem,normalized_anytime_l2_f_ci95,tau_abs_mean,tau_abs_std,tau_abs_sem,tau_abs_ci95,tau_rel_mean,tau_rel_std,tau_rel_sem,tau_rel_ci95,marginal_kl_mean,marginal_kl_std,marginal_kl_sem,marginal_kl_ci95,marginal_tv_mean,marginal_tv_std,marginal_tv_sem,marginal_tv_ci95,covered_fraction_mean,covered_fraction_std,covered_fraction_sem,covered_fraction_ci95,n_round_trips_mean,n_round_trips_std,n_round_trips_sem,n_round_trips_ci95,first_passage_step_mean,first_passage_step_std,first_passage_step_sem,first_passage_step_ci95,opes_neff_frac_min_mean,opes_neff_frac_min_std,opes_neff_frac_min_sem,opes_neff_frac_min_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_sem,runtime_seconds_ci95
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,200,0.12,32.0,2,0,0.46980705925499633,0.0258321317690883,0.018266075546426782,0.03580150807099649,3.6718274766287995,0.3096637018982105,0.2189653034995542,0.4291719948591262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.86412129411474,0.002854668611371111,0.0020185555331408978,0.00395636884495616
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,50,0.03,32.0,2,0,0.2239559097817436,0.025468757615279947,0.018009131218160973,0.0352978971875955,1.9527799957017304,0.04026737926170895,0.028473336936564952,0.055807740395667306,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.410193835385144,0.02646340953866613,0.018712456338107582,0.03667641442269086
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,50,0.05,32.0,2,0,0.3012449741761383,0.024414219961529333,0.017263460492177363,0.03383638256466763,2.4511771941298446,0.24905271077710214,0.17610686066338085,0.3451694469002265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.39687862014398,0.01768623021314076,0.012506053317338228,0.024511864501982925
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,50,0.08,32.0,2,0,0.41795343297367216,0.004544677646953314,0.0032135723824676106,0.0062986018696365165,3.1340352424980353,0.036911261991766905,0.026100203656531647,0.05115639916680203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.369645326398313,0.01932494512281537,0.013664799742400644,0.026783007495105263
opes_closure_eb,tune_r1,opes,8.0,None,None,None,4.0,50,0.12,32.0,2,0,0.47077967904396334,0.025441906351672372,0.01799014450758063,0.03526068323485804,3.6717582262977646,0.30988424240155155,0.21912124918499296,0.4294776484025862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.21391654293984,0.17488725866333857,0.12366396654397248,0.24238137442618604
opes_closure_eb,tune_r1,opes,8.0,None,None,None,6.0,100,0.03,48.0,2,0,0.27279882098012465,0.0633980144272168,0.044829165915247576,0.08786516519388525,2.369095974565003,0.45156488306942216,0.3193045909640988,0.6258369982896337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.852141660172492,0.2307723735987291,0.16318071028217673,0.3198341921530664
opes_closure_eb,tune_r1,opes,8.0,None,None,None,6.0,100,0.05,48.0,2,0,0.3028590644895126,0.025844615582786303,0.01827490293574771,0.03581880975406551,2.499163542855759,0.2667339746736306,0.188609402264565,0.36967442843854736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.111171127762645,0.6787034450657006,0.47991580842062825,0.9406349845044314
opes_closure_eb,tune_r1,opes,8.0,None,None,None,6.0,100,0.08,48.0,2,0,0.4190050338079965,0.003566807560825465,0.002522113813447135,0.004943343074356385,3.1359074630268333,0.033690842826387776,0.023823023426428943,0.04669312591580073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.632237300276756,0.016360193552945358,0.011568403802812098,0.02267407145351171
opes_closure_eb,tune_r1,opes,8.0,None,None,None,6.0,100,0.12,48.0,2,0,0.4609791277479004,0.011346446293325874,0.00802314911637969,0.015725372268104193,3.6008349212717663,0.21312889860802134,0.150704889472552,0.2953815833662019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.638652972411364,0.010314825433926351,0.007293683011084795,0.014295618701726198
opes_closure_eb,tune_r1,opes,8.0,None,None,None,6.0,200,0.03,48.0,2,0,0.24663836349144264,0.013591066556548627,0.009610335325693234,0.018836257238358738,2.0972058123461936,0.0907104342892844,0.06414196321032971,0.12571824789224623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.50292087160051,0.010868835879434434,0.00768542755395174,0.015063438005745411
