init,seed,PRIMARY_dI_raw,PRIMARY_dF_raw,S1_dI_raw,S1_dF_raw,S2_dI_raw,S2_dF_raw,S3_dI_raw,S3_dF_raw,S4_dI_raw,S4_dF_raw,S5_dI_raw,S5_dF_raw,V_F0_dI_raw,V_F0_dF_raw,V_T0_dI_raw,V_T0_dF_raw,V_Ar_dI_raw,V_Ar_dF_raw,V_Fr_dI_raw,V_Fr_dF_raw,V_Tr_dI_raw,V_Tr_dF_raw,V_Tm_dI_raw,V_Tm_dF_raw,PRIMARY_dI_0.0175,PRIMARY_dF_0.0175,S1_dI_0.0175,S1_dF_0.0175,S2_dI_0.0175,S2_dF_0.0175,S3_dI_0.0175,S3_dF_0.0175,S4_dI_0.0175,S4_dF_0.0175,S5_dI_0.0175,S5_dF_0.0175,V_F0_dI_0.0175,V_F0_dF_0.0175,V_T0_dI_0.0175,V_T0_dF_0.0175,V_Ar_dI_0.0175,V_Ar_dF_0.0175,V_Fr_dI_0.0175,V_Fr_dF_0.0175,V_Tr_dI_0.0175,V_Tr_dF_0.0175,V_Tm_dI_0.0175,V_Tm_dF_0.0175
left,1311,-17.770,-8.113,-6.127,76.037,0.730,32.786,-12.402,-47.802,-39.095,-73.091,-48.322,-72.578,-41.686,-62.387,-3.087,-9.833,-39.095,-73.091,-46.648,-85.954,-49.917,-75.274,-49.552,-67.168,-14.852,4.241,-6.409,54.592,1.251,30.664,-9.021,-32.570,-42.199,-73.225,-49.283,-69.582,-41.824,-59.419,-2.959,-8.244,-42.199,-73.225,-47.413,-81.946,-50.783,-72.090,-50.167,-63.531
left,1312,-14.173,0.385,27.978,117.288,1.068,4.322,-32.936,-53.801,-24.807,-63.134,-43.507,-63.292,-30.725,-65.278,14.238,0.817,-24.807,-63.134,-49.573,-82.968,-35.464,-62.992,-34.775,-61.392,-12.534,3.699,28.214,76.996,1.790,6.791,-31.782,-41.412,-26.615,-63.547,-44.791,-63.072,-31.402,-65.808,16.261,2.365,-26.615,-63.547,-49.938,-78.643,-35.814,-62.199,-34.665,-59.631
left,1313,-12.955,35.588,17.373,214.855,1.647,11.590,-25.839,-56.936,-30.823,-72.124,-40.404,-63.655,-37.397,-70.978,1.039,3.993,-30.823,-72.124,-48.698,-87.996,-39.785,-62.203,-38.793,-57.823,-11.686,39.535,19.729,144.687,0.842,9.510,-26.238,-42.974,-31.568,-71.379,-40.887,-62.278,-36.943,-69.342,2.237,5.868,-31.568,-71.379,-49.523,-83.679,-39.565,-60.064,-39.056,-56.266
left,1314,-14.565,1.491,1.660,74.048,0.825,-15.107,-15.959,-41.688,-32.266,-69.248,-49.623,-72.488,-33.005,-59.294,14.872,13.440,-32.266,-69.248,-43.076,-82.068,-42.131,-68.790,-41.654,-73.505,-9.763,7.401,2.873,59.055,1.023,-15.594,-12.283,-32.476,-34.588,-66.945,-49.914,-69.712,-33.613,-55.205,17.850,17.211,-34.588,-66.945,-42.623,-77.680,-40.974,-64.499,-40.370,-70.035
left,1315,-23.687,7.606,1.248,119.527,-0.756,7.632,-24.628,-50.983,-24.333,-67.030,-50.169,-76.541,-28.757,-40.893,15.879,51.237,-24.333,-67.030,-42.968,-83.839,-42.256,-64.522,-42.693,-61.814,-21.848,14.404,1.855,70.539,-0.768,9.742,-23.271,-32.916,-24.498,-64.794,-50.022,-74.513,-26.995,-36.904,18.066,58.028,-24.498,-64.794,-42.068,-76.382,-40.993,-59.723,-41.447,-55.799
left,1316,-15.283,32.577,0.951,94.720,2.667,27.411,-16.081,-31.914,-29.423,-72.152,-43.559,-66.847,-32.434,-64.980,5.934,11.362,-29.423,-72.152,-40.773,-81.039,-40.210,-63.080,-38.615,-52.960,-13.993,45.826,1.598,59.418,2.664,25.952,-15.346,-8.526,-29.628,-73.417,-44.462,-65.867,-30.801,-62.157,8.980,13.568,-29.628,-73.417,-40.427,-75.684,-39.475,-61.236,-37.863,-51.176
left,1317,-21.328,31.773,33.293,68.517,0.782,17.403,-40.978,-21.805,-24.083,-78.271,-46.373,-74.983,-34.439,-67.814,11.370,14.453,-24.083,-78.271,-55.193,-83.009,-40.275,-71.367,-39.808,-66.384,-20.015,40.173,32.509,51.985,0.718,18.147,-39.638,-7.772,-24.767,-77.814,-46.520,-73.539,-34.917,-66.079,12.519,17.525,-24.767,-77.814,-54.588,-79.539,-39.825,-68.902,-39.393,-63.258
left,1318,-30.422,39.062,33.984,213.353,-3.956,-16.691,-48.070,-55.621,-13.900,-70.940,-40.580,-62.548,-46.694,-55.753,0.819,7.901,-13.900,-70.940,-55.288,-87.104,-40.093,-59.589,-42.463,-66.334,-28.660,48.749,32.672,123.585,-4.372,-15.962,-46.228,-33.471,-14.242,-70.921,-40.827,-60.635,-45.992,-52.393,3.390,9.883,-14.242,-70.921,-53.887,-80.654,-38.821,-56.745,-41.496,-63.649
left,1319,-19.216,17.406,3.358,142.627,0.483,-5.931,-21.840,-51.611,-27.007,-70.025,-45.368,-68.167,-23.435,-51.367,7.935,10.553,-27.007,-70.025,-42.949,-85.496,-41.033,-64.808,-40.748,-66.895,-17.668,23.593,4.349,107.460,0.338,-5.539,-21.099,-40.426,-28.357,-69.180,-45.784,-66.455,-21.849,-48.482,8.798,13.553,-28.357,-69.180,-43.473,-81.639,-41.014,-61.909,-40.815,-64.018
left,1320,-9.850,59.035,1.977,193.298,-2.112,-23.177,-11.597,-45.777,-34.225,-72.625,-46.887,-65.468,-33.627,-67.086,11.642,26.072,-34.225,-72.625,-41.853,-85.157,-40.704,-56.465,-41.956,-66.555,-6.454,66.114,6.723,146.186,-2.782,-22.830,-12.347,-32.525,-34.390,-71.600,-46.254,-63.610,-31.088,-64.084,14.194,29.642,-34.390,-71.600,-42.491,-80.837,-38.625,-52.823,-40.332,-63.594
left,1321,-27.705,23.376,8.123,49.043,-1.834,-0.545,-33.136,-17.221,-20.638,-73.910,-44.680,-71.339,-38.210,-63.613,3.716,12.306,-20.638,-73.910,-46.935,-78.403,-42.625,-67.812,-43.677,-67.987,-28.586,20.791,6.324,29.937,-1.270,2.697,-32.834,-7.039,-19.006,-70.975,-45.864,-69.046,-38.761,-62.689,6.844,13.262,-19.006,-70.975,-45.599,-73.018,-42.159,-64.940,-42.893,-63.995
left,1322,-16.518,-5.799,1.531,79.894,5.302,48.717,-17.777,-47.635,-32.371,-69.931,-49.249,-78.308,-36.021,-74.400,11.244,30.576,-32.371,-69.931,-44.394,-84.254,-43.542,-71.675,-40.548,-57.876,-12.482,-0.015,1.885,52.253,5.286,47.029,-14.101,-34.329,-33.932,-69.683,-49.302,-77.515,-35.646,-71.921,14.053,34.811,-33.932,-69.683,-43.248,-80.091,-42.178,-69.688,-39.122,-55.432
left,1323,2.025,8.676,-1.577,125.525,-0.899,-1.496,3.660,-51.812,-40.171,-73.566,-46.897,-70.769,-38.541,-83.194,14.948,-1.723,-40.171,-73.566,-37.981,-87.262,-38.959,-71.273,-39.508,-71.702,7.966,19.681,1.639,91.364,-2.093,-2.048,6.225,-37.459,-40.395,-73.348,-45.335,-68.625,-36.798,-81.316,17.723,1.667,-40.395,-73.348,-36.685,-83.331,-35.647,-68.102,-36.993,-68.755
left,1324,-11.944,13.232,17.447,146.735,-2.290,-6.423,-25.025,-54.108,-31.275,-67.785,-40.305,-58.426,-40.303,-68.148,1.375,-12.259,-31.275,-67.785,-48.474,-85.216,-39.484,-63.523,-40.869,-65.865,-12.060,16.664,15.109,78.075,-2.359,-5.148,-23.603,-34.486,-32.412,-67.240,-40.861,-57.484,-40.844,-65.610,0.503,-10.107,-32.412,-67.240,-48.365,-78.538,-40.563,-61.781,-41.966,-63.748
left,1325,-19.386,-7.524,14.750,81.105,1.250,6.015,-29.748,-48.938,-20.943,-61.852,-45.270,-70.511,-21.438,-50.222,16.447,19.632,-20.943,-61.852,-44.461,-80.521,-36.269,-64.722,-35.472,-62.600,-18.415,-3.103,12.059,54.166,0.590,5.428,-27.195,-37.148,-21.090,-61.555,-45.588,-69.441,-19.519,-48.683,18.317,21.900,-21.090,-61.555,-42.549,-75.836,-35.621,-62.748,-35.242,-60.726
left,1326,-13.789,18.434,17.202,153.338,-1.445,-4.946,-26.443,-53.251,-30.137,-68.381,-40.810,-65.742,-35.007,-63.429,1.756,9.310,-30.137,-68.381,-48.611,-85.218,-39.770,-62.553,-40.641,-64.405,-10.303,25.359,16.623,124.945,-1.281,-4.967,-23.088,-44.272,-32.706,-68.023,-41.417,-64.154,-34.676,-58.923,3.035,11.827,-32.706,-68.023,-48.242,-82.180,-39.639,-59.914,-40.412,-61.905
left,1327,-32.084,11.669,13.739,201.959,1.881,25.757,-40.288,-63.018,-17.905,-68.047,-43.155,-69.425,-35.633,-71.792,-1.917,16.704,-17.905,-68.047,-50.980,-88.183,-44.244,-64.318,-43.196,-55.127,-28.921,23.440,14.850,119.715,1.212,20.960,-38.111,-43.818,-19.492,-69.032,-43.514,-68.338,-34.318,-70.842,1.307,20.734,-19.492,-69.032,-50.175,-82.602,-42.776,-61.773,-42.082,-53.761
left,1328,-21.195,60.708,6.565,138.352,-0.733,19.867,-26.050,-32.575,-23.646,-79.004,-42.861,-73.040,-39.294,-68.160,5.304,25.153,-23.646,-79.004,-43.537,-85.844,-39.830,-66.258,-40.270,-59.555,-21.106,55.696,3.604,78.410,-0.281,21.450,-23.851,-12.731,-23.024,-76.616,-43.643,-71.856,-37.953,-65.642,7.759,29.366,-23.024,-76.616,-41.383,-79.593,-39.270,-63.592,-39.441,-55.782
left,1329,-30.342,16.008,-6.674,144.451,0.255,-6.510,-25.361,-52.544,-16.336,-67.443,-45.350,-70.393,-25.045,-57.269,6.640,27.563,-16.336,-67.443,-37.554,-84.550,-41.722,-62.232,-41.573,-64.691,-26.889,19.883,-7.781,95.657,0.391,-4.111,-20.720,-38.728,-18.977,-66.742,-46.076,-69.444,-23.359,-52.249,9.853,30.487,-18.977,-66.742,-35.765,-79.622,-40.763,-60.129,-40.531,-61.768
left,1330,-19.201,-18.566,4.720,108.379,-1.166,-31.797,-22.843,-60.920,-28.341,-66.492,-43.036,-64.015,-36.578,-72.583,1.643,-24.172,-28.341,-66.492,-44.711,-86.905,-42.101,-72.713,-42.776,-81.390,-17.574,-16.188,3.474,58.889,-1.356,-22.689,-20.342,-47.251,-28.416,-66.521,-43.005,-63.387,-35.442,-70.530,3.525,-23.363,-28.416,-66.521,-42.977,-82.340,-40.996,-71.941,-41.796,-78.307
left,1331,-16.760,50.754,0.816,114.385,5.745,36.789,-17.433,-29.681,-28.392,-78.235,-49.241,-71.904,-29.154,-76.790,17.431,16.784,-28.392,-78.235,-40.876,-84.695,-40.394,-67.188,-36.969,-55.117,-11.800,61.010,5.534,89.359,5.948,32.566,-16.425,-14.971,-28.977,-77.355,-48.970,-69.768,-28.055,-72.978,22.756,20.603,-28.977,-77.355,-40.642,-80.745,-37.358,-63.539,-33.631,-51.666
one_right,1300,-2.758,14.870,31.633,139.343,2.711,9.061,-26.127,-52.006,-41.266,-68.866,-48.329,-67.773,-43.596,-66.822,10.534,10.974,-41.266,-68.866,-56.611,-85.057,-42.886,-64.236,-41.337,-60.995,1.100,24.204,29.657,91.396,3.209,5.216,-22.025,-35.106,-43.354,-69.185,-50.325,-66.296,-43.158,-65.534,15.287,13.559,-43.354,-69.185,-55.830,-80.003,-42.731,-61.726,-40.893,-59.730
one_right,1301,-22.251,20.517,38.612,130.754,1.371,11.745,-43.909,-47.773,-22.114,-71.095,-43.934,-65.266,-41.040,-79.982,8.008,0.293,-22.114,-71.095,-56.313,-84.904,-39.444,-65.165,-38.613,-61.073,-19.464,39.231,36.429,105.858,1.318,10.085,-40.969,-32.365,-22.753,-72.621,-44.539,-63.223,-40.268,-74.918,12.172,3.650,-22.753,-72.621,-54.400,-81.483,-37.788,-61.880,-36.968,-58.036
one_right,1302,-14.413,3.451,5.252,162.543,0.288,11.555,-18.684,-60.596,-29.765,-67.052,-46.452,-65.913,-43.749,-75.552,12.258,-0.008,-29.765,-67.052,-42.888,-87.017,-39.888,-65.915,-39.715,-61.977,-10.737,13.295,11.969,109.987,0.394,8.980,-20.279,-46.047,-31.555,-67.681,-46.871,-63.761,-44.948,-72.088,14.996,1.038,-31.555,-67.681,-45.435,-82.563,-38.904,-63.384,-38.663,-60.096
one_right,1303,-10.979,62.979,17.053,70.321,0.783,1.527,-23.948,-4.311,-38.633,-76.359,-50.576,-65.598,-55.166,-73.032,10.533,11.999,-38.633,-76.359,-53.329,-77.378,-45.371,-61.470,-44.943,-60.882,-3.697,62.210,16.363,53.072,0.803,0.436,-17.240,5.970,-41.783,-74.686,-51.185,-64.144,-54.639,-69.317,14.850,14.516,-41.783,-74.686,-51.820,-73.175,-43.936,-58.938,-43.486,-58.759
one_right,1304,-15.449,43.986,29.034,153.677,-5.057,-14.508,-34.474,-43.241,-25.679,-68.930,-44.324,-62.476,-29.516,-66.916,12.867,19.220,-25.679,-68.930,-51.300,-82.365,-37.161,-55.264,-40.338,-61.754,-9.592,51.555,34.383,115.974,-4.059,-12.572,-32.723,-29.827,-27.339,-68.510,-44.483,-60.998,-27.067,-65.849,18.328,22.366,-27.339,-68.510,-51.116,-77.903,-34.308,-52.275,-36.975,-58.275
one_right,1305,-13.592,34.154,30.705,185.365,-1.197,-8.220,-33.891,-52.989,-29.778,-67.230,-46.425,-60.827,-36.951,-71.223,13.257,12.224,-29.778,-67.230,-53.577,-84.595,-39.323,-56.038,-40.049,-59.652,-3.915,45.231,28.645,118.875,-0.861,-7.006,-25.310,-33.647,-32.659,-67.702,-47.547,-58.854,-31.012,-67.252,23.358,13.999,-32.659,-67.702,-49.703,-78.569,-35.295,-53.093,-35.852,-56.380
one_right,1306,-23.600,1.727,28.365,101.798,2.050,-2.318,-40.482,-49.590,-17.736,-68.435,-45.689,-71.577,-32.626,-48.382,15.723,12.972,-17.736,-68.435,-51.038,-84.088,-37.150,-67.889,-35.862,-68.634,-20.596,12.070,26.038,71.874,1.396,-0.918,-37.000,-34.795,-19.768,-68.675,-46.409,-69.921,-33.183,-45.757,18.877,16.712,-19.768,-68.675,-49.454,-79.575,-36.292,-64.894,-35.403,-65.217
one_right,1307,-11.843,5.848,48.803,154.206,-0.596,11.666,-40.756,-58.361,-39.734,-71.989,-45.650,-67.160,-45.205,-80.843,-2.247,-9.715,-39.734,-71.989,-64.296,-88.337,-46.871,-70.351,-47.188,-66.892,-7.974,16.519,44.498,86.373,0.340,9.559,-36.313,-37.481,-40.988,-72.207,-45.800,-64.680,-46.629,-77.494,0.197,-8.313,-40.988,-72.207,-62.417,-82.624,-45.693,-67.616,-45.509,-64.521
one_right,1308,-24.614,0.557,9.713,92.682,-3.309,-13.629,-31.288,-47.812,-17.281,-57.737,-49.582,-73.486,-21.801,-29.230,23.684,60.285,-17.281,-57.737,-43.162,-77.944,-37.641,-57.502,-39.704,-63.294,-17.496,13.815,10.628,54.459,-3.316,-8.622,-25.422,-26.314,-20.768,-57.087,-50.787,-71.129,-17.980,-25.814,32.829,69.171,-20.768,-57.087,-40.910,-68.379,-34.630,-51.158,-36.798,-55.369
one_right,1309,-20.961,18.265,44.034,261.272,1.216,-12.468,-45.125,-67.264,-25.534,-66.400,-44.233,-60.868,-42.262,-71.893,5.541,1.546,-25.534,-66.400,-59.137,-89.001,-41.143,-60.263,-40.427,-65.217,-17.954,23.025,46.994,143.751,2.443,-11.528,-44.184,-49.528,-26.901,-66.090,-44.449,-59.487,-42.361,-69.379,7.964,2.975,-26.901,-66.090,-59.199,-82.885,-40.025,-58.281,-38.560,-63.091
one_right,1310,-2.524,-8.628,9.168,134.319,2.082,11.258,-10.710,-61.005,-44.378,-65.008,-54.506,-67.662,-32.208,-70.717,19.177,-1.128,-44.378,-65.008,-50.335,-86.355,-45.782,-68.027,-44.653,-64.427,5.234,0.814,10.096,99.410,1.412,10.881,-4.415,-49.444,-47.563,-65.603,-55.685,-65.866,-31.931,-67.358,24.521,1.592,-47.563,-65.603,-49.878,-82.610,-44.818,-65.322,-44.039,-61.549
one_right,1311,-28.892,-8.510,46.844,104.540,4.859,8.621,-51.576,-55.270,-28.270,-63.906,-52.097,-71.494,-41.169,-69.831,6.478,15.845,-28.270,-63.906,-65.265,-83.855,-48.994,-66.977,-46.516,-64.130,-23.759,-0.290,49.449,75.653,4.770,8.596,-48.985,-43.235,-31.576,-64.014,-53.630,-69.752,-37.705,-67.778,12.501,18.625,-31.576,-64.014,-65.094,-79.573,-47.833,-64.119,-45.345,-61.035
one_right,1312,-12.617,27.944,-0.441,167.114,0.256,-17.451,-12.230,-52.101,-29.148,-69.082,-42.493,-63.741,-38.992,-61.623,7.662,9.097,-29.148,-69.082,-37.813,-85.191,-38.087,-60.442,-37.928,-67.346,-7.786,37.325,1.794,107.104,1.245,-15.622,-9.411,-33.693,-32.002,-69.254,-43.544,-61.856,-35.266,-59.330,11.066,10.689,-32.002,-69.254,-38.401,-79.613,-37.296,-57.778,-36.516,-64.374
one_right,1313,5.969,11.575,31.660,139.497,2.723,29.086,-19.513,-53.413,-39.737,-69.425,-47.257,-70.944,-28.731,-71.339,21.078,17.407,-39.737,-69.425,-51.496,-85.756,-36.140,-65.886,-34.401,-55.964,10.182,15.281,30.405,75.055,2.406,27.487,-15.508,-34.146,-41.288,-68.359,-47.785,-69.693,-26.487,-66.421,23.890,20.355,-41.288,-68.359,-50.393,-79.163,-35.310,-63.524,-33.754,-53.498
one_right,1314,5.760,-0.545,17.266,97.806,0.034,-6.020,-9.812,-49.721,-42.555,-60.971,-49.246,-64.251,-29.052,-60.442,19.703,8.583,-42.555,-60.971,-48.191,-80.376,-39.246,-61.183,-39.225,-63.520,8.887,6.710,26.431,79.472,0.170,-6.271,-13.876,-40.542,-42.868,-59.562,-49.537,-61.833,-29.500,-56.087,23.276,13.062,-42.868,-59.562,-50.796,-75.956,-37.791,-56.848,-37.685,-59.554
one_right,1315,-6.184,2.411,8.077,72.809,3.426,47.243,-13.195,-40.737,-36.599,-75.820,-47.616,-77.829,-24.856,-30.461,13.547,11.691,-36.599,-75.820,-44.965,-85.670,-40.520,-75.237,-38.482,-63.539,-3.641,17.029,8.361,29.158,2.482,38.914,-11.075,-9.391,-37.043,-76.198,-48.006,-75.681,-20.174,-26.929,16.676,14.541,-37.043,-76.198,-44.016,-78.433,-39.335,-72.145,-37.829,-61.305
one_right,1316,-22.311,38.980,44.274,200.100,-1.915,-17.854,-46.152,-53.689,-23.018,-72.581,-40.701,-59.301,-45.471,-70.059,0.856,-6.367,-23.018,-72.581,-58.547,-87.302,-40.194,-61.893,-41.339,-68.696,-17.551,40.746,44.408,112.566,-1.754,-16.493,-42.906,-33.787,-25.962,-71.609,-41.512,-58.196,-41.717,-66.978,4.368,-4.412,-25.962,-71.609,-57.729,-81.201,-38.957,-60.040,-40.027,-66.631
one_right,1317,-16.339,8.847,8.583,64.837,0.304,1.327,-22.952,-33.967,-28.127,-66.100,-47.773,-66.264,-43.578,-69.728,15.131,9.376,-28.127,-66.100,-44.623,-77.615,-39.870,-63.101,-39.687,-62.611,-10.701,20.958,9.337,45.505,0.126,-0.610,-18.326,-16.870,-31.235,-66.578,-48.755,-63.984,-40.618,-62.713,19.828,12.245,-31.235,-66.578,-43.838,-72.216,-38.594,-59.573,-38.516,-59.820
one_right,1318,20.169,44.554,9.356,156.915,0.858,10.189,9.888,-43.735,-48.455,-75.775,-54.558,-70.513,-19.462,-69.415,36.309,18.760,-48.455,-75.775,-43.358,-86.370,-38.058,-64.982,-37.527,-61.414,27.929,46.710,11.530,96.206,0.812,7.892,14.704,-25.226,-51.021,-74.304,-54.899,-68.717,-21.344,-67.443,38.929,20.507,-51.021,-74.304,-43.819,-80.786,-37.341,-62.302,-36.832,-59.327
one_right,1319,22.411,37.841,10.698,146.156,-2.164,1.937,10.580,-44.002,-47.030,-72.739,-48.829,-59.230,-18.648,-56.223,26.714,-7.834,-47.030,-72.739,-41.426,-84.735,-35.159,-62.424,-36.562,-61.696,29.188,54.052,14.915,73.656,-1.525,1.582,12.421,-11.289,-48.829,-73.794,-48.982,-57.124,-17.653,-52.604,29.576,-5.844,-48.829,-73.794,-42.473,-76.752,-33.893,-59.629,-34.902,-58.991
one_right,1320,1.536,37.283,24.448,107.718,0.821,1.751,-18.412,-33.909,-37.931,-71.930,-47.888,-67.508,-27.849,-57.617,20.935,18.601,-37.931,-71.930,-49.359,-81.448,-36.978,-61.464,-36.461,-60.790,3.747,41.693,28.810,95.301,1.671,1.480,-19.457,-27.449,-38.912,-70.326,-49.722,-65.595,-26.381,-54.469,26.052,22.212,-38.912,-70.326,-50.798,-78.471,-36.623,-57.953,-35.564,-57.331
one_right,1321,-13.551,9.868,15.897,88.994,-0.138,-7.443,-25.409,-41.867,-32.802,-72.260,-50.145,-71.054,-34.195,-68.612,16.521,5.291,-32.802,-72.260,-49.877,-83.874,-41.908,-69.523,-41.989,-71.791,-7.041,20.936,14.231,51.560,-0.369,-7.302,-18.622,-20.206,-37.059,-72.887,-51.769,-69.405,-33.964,-65.479,21.311,7.171,-37.059,-72.887,-48.780,-78.366,-41.491,-67.211,-41.707,-69.605
one_right,1322,-18.852,36.756,33.451,137.048,-0.205,1.322,-39.193,-42.309,-32.183,-77.263,-45.084,-70.501,-42.659,-64.318,0.211,5.409,-32.183,-77.263,-58.763,-86.883,-44.968,-68.906,-45.081,-68.494,-14.581,57.408,36.703,88.780,-0.938,-0.034,-37.515,-16.618,-34.015,-78.308,-46.096,-68.164,-41.642,-63.088,4.563,7.253,-34.015,-78.308,-58.769,-81.912,-43.636,-65.854,-44.165,-65.866
