kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_F_eqw,early_l2_F,mid_l2_F,meanforce_vec_err,basin_occupancy_tv,cond_tv_weighted,cond_kl_weighted,n_basins_visited,n_transitions,n_round_trips,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,gram_lam_min_min,curl_pre_final,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_application,final_neff_frac,final_n_kernels,final_l2_F_reweight
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,1376.8346192250028,5,0.5039541084804674,15.479566644888928,0.45385022897577193,0.5735333315083687,0.5170503787361517,1.9651493336690276,0.14699482260557184,0.15035441819330034,0.07222689791877754,9,4172299,730743,74,1906.5018181818182,1906.5018181818182,0.00146484375,1.6275046646348974,1.8536425135618897,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.007790141177077265,0.05040123532872114,4.4059032435068895e-06,7.2877798507462685e-06,8201.0,0.00902328984270211,,,
joint2d,pentane,fr_estimated,fr_estimated,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__fr_estimated__dispersed__b1__N2048__T50000__ns6__274b051c06f9,1376.8346192250028,6,0.5034365896121077,15.513256691529769,0.4506036332176652,0.5807899100820602,0.5164929124769182,1.9666097388166717,0.14559002683159228,0.14869496300803386,0.07065911997504357,9,4162386,732850,81,1897.875113122172,1897.875113122172,0.00146484375,1.6025710770432378,1.8647278301421735,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,0.006153248647137852,0.05034947746062895,4.822677874649433e-06,6.8359375e-06,8201.0,0.00987684428728204,,,
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,2210.8605138016865,1,0.6411217950913022,22.099679146426084,0.6219057987153849,2.337546784970817,0.6265805222149429,2.5746361455175006,0.20182450869653445,0.20610058450009183,0.12914017239743492,9,1476355,0,0,,,,,,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,-0.0074984294600190385,0.06411958931379816,,,,,0.603789424022232,2151.0,1.2093146553104166
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,2210.8605138016865,2,0.6339685462969974,21.916817947945148,0.6151147197601844,2.337546784970817,0.6192258066563681,2.5750613394264135,0.19924202386172438,0.20405079995559927,0.12649111244607653,9,1444742,0,0,,,,,,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,-0.007936569772804106,0.06340418176025378,,,,,0.6044253693632643,2150.0,1.2098067088172213
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,2210.8605138016865,3,0.6289061808112666,21.98222422881167,0.6059451091278883,2.337546784970817,0.6165134992456436,2.56876523528507,0.19606173008091887,0.19779289424319974,0.12070177239061947,9,1460502,0,0,,,,,,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,-0.005299008328364448,0.06289788670307954,,,,,0.6174162675487666,2152.0,1.2095649983174905
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,2210.8605138016865,4,0.6419920520599266,22.096431930973566,0.6214056484298676,2.337546784970817,0.6238040377911641,2.5727959090969263,0.20170968078602472,0.2048870038714633,0.1288729081916206,9,1447127,0,0,,,,,,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,-0.008818197341497276,0.06420662506870917,,,,,0.6079803899464713,2146.0,1.2144180758944403
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,2210.8605138016865,5,0.6398864448798582,22.20010487957513,0.6175563317454421,2.337546784970817,0.6327883835913934,2.5781652120799716,0.20029898244979408,0.20502721718676017,0.1277316239669612,9,1447738,0,0,,,,,,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,-0.0022794736777445503,0.06399604001501755,,,,,0.6065302383182462,2150.0,1.2137256886808574
joint2d,pentane,opes,opes,dispersed,1.0,2.3,False,control,50000,2048,control__joint2d__pentane__opes__dispersed__b1__N2048__T50000__ns6__e92f4f9a15cc,2210.8605138016865,6,0.6374969894377974,21.994661992248645,0.6198765700214213,2.337546784970817,0.6215987232036161,2.576181783698001,0.200983467088539,0.20495348987949746,0.1275277550195684,9,1450391,0,0,,,,,,control_joint2d_pentane_b1_dispersed_g48,9.998844377397416,-0.007529263594862342,0.06375706685453289,,,,,0.6086777901654805,2150.0,1.2101615429008912
joint2d,pentane,abf,abf,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,1113.6269382406026,1,0.7306995960578125,18.833464009239677,0.5178311089206954,0.8267256406138288,0.738095705442129,3.120162945961906,0.4267176547627316,0.38956517819927017,0.4871556544805523,9,938588,238693,0,,,,1.9970025583688853,8.774900959168566,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.005910121606945592,0.07309222359136017,,,,,,,
joint2d,pentane,abf,abf,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,1113.6269382406026,2,0.7235242245075412,18.8798325870957,0.512853786115633,0.9185344874067997,0.7280594707440484,3.092300458322003,0.4218032804536714,0.3874662349419101,0.4851218671301921,9,936891,236264,0,,,,1.9822672864332065,10.355456073249732,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0015386343808105663,0.07237446780699537,,,,,,,
joint2d,pentane,abf,abf,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,1113.6269382406026,3,0.7185416241518189,18.75617924964017,0.5084556091961198,0.8906348418812392,0.7261235696379638,3.0904005699730246,0.4174848016324116,0.37026566226863544,0.431271352714624,9,939271,232182,0,,,,1.8550610910956689,10.439663164238677,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.007159958327755028,0.07187605595453003,,,,,,,
joint2d,pentane,abf,abf,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,1113.6269382406026,4,0.7145720431842663,18.668126949193393,0.5118648510279021,0.8943669842556873,0.7229345353222196,3.0688002693185568,0.42046762998117543,0.39087323244866934,0.49535939901035514,9,937889,234099,0,,,,1.985186841450385,9.971747026220925,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.00304086010006282,0.07147897690698475,,,,,,,
joint2d,pentane,abf,abf,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,1113.6269382406026,5,0.7235881953957756,19.043839826623675,0.5161378120780684,0.9566807846320838,0.7325568005457604,3.1041209544889665,0.4243944910726247,0.38364909852605944,0.4684624138279676,9,931345,237681,0,,,,1.9235625218021397,10.955032996476953,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.003903016073934814,0.07238086684497404,,,,,,,
joint2d,pentane,abf,abf,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__abf__trans__b2__N2048__T45000__ns6__5c0d3195688e,1113.6269382406026,6,0.7273306278964459,18.89720117126125,0.5177147307274451,0.8709825561371615,0.7382139780627562,3.1098047000865843,0.4261430003276869,0.3930231011123452,0.4974684313372476,9,929616,239479,0,,,,1.9668999499331572,9.46482204234973,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.004015889616137506,0.07275522412475131,,,,,,,
joint2d,pentane,fr_estimated,fr_active,trans,2.0,2.3,False,production,45000,2048,production__joint2d__pentane__fr_active__trans__b2__N2048__T45000__ns6__fc1ab4fc8c8f,1216.1269153049216,1,0.734287759367199,18.899850552445823,0.534031086192152,0.8267256406138398,0.7425632314875255,3.112332173420492,0.43979732787861225,0.40157035788754913,0.5166355513217,9,953587,234831,1660,725.9093111803393,725.9093111803393,0.0068359375,1.99625523944154,11.914160087952565,production_joint2d_pentane_b2_trans_g48,9.996953987102186,0.005163895301576704,0.07345114925151784,0.00011256032148312734,0.00012353515625,7201.0,0.2305235383974448,,,
