cell_id,system,stage,cell_label,abf_n_seeds,abf_mean_final_l2_F,equiv_margin_abs,estimated_n,uniform_n,oracle_n,estimated_final_l2_F_median,uniform_final_l2_F_median,oracle_final_l2_F_median,estimated_int_l2_F_median,uniform_int_l2_F_median,oracle_int_l2_F_median,estimated_final_l2_Fp_median,uniform_final_l2_Fp_median,oracle_final_l2_Fp_median,estimated_ancestor_ess_median,uniform_ancestor_ess_median,oracle_ancestor_ess_median,estimated_event_fraction_median,uniform_event_fraction_median,oracle_event_fraction_median,estimated_winrate_vs_abf,uniform_winrate_vs_abf,oracle_winrate_vs_abf,est_minus_uni_mean_diff,est_minus_uni_ci_lo,est_minus_uni_ci_hi,est_minus_uni_verdict,orc_minus_uni_mean_diff,orc_minus_uni_ci_lo,orc_minus_uni_ci_hi,orc_minus_uni_verdict,orc_minus_est_mean_diff,orc_minus_est_ci_lo,orc_minus_est_ci_hi,orc_minus_est_verdict,verdict_triple,classification,classification_note,oracle_direction_vs_estimated,oracle_effect_pct_of_abf
twodim|prod|g0.02_eta0.075_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.075_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0129854732750663,0.0159364033763199,0.0135679295288776,15.004838123018654,16.87425089647993,16.65520304264887,0.0689206711604792,0.0773645033144827,0.0726341907225442,974.0,970.0,972.0,2.2500001402174047e-06,2.500000164218364e-06,2.416666817831962e-06,0.8,0.2,0.4,-0.0028024936240835996,-0.004999755431086439,-0.00016213122421845986,UNDERPOWERED,-0.0017804915428971794,-0.004089624201345898,0.00039935153660168067,UNDERPOWERED,0.0010220020811864202,-0.00149719742004802,0.00402341383268996,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,7.37310407398378
twodim|prod|g0.02_eta0.1_bi0_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.1_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.012398737118458,0.0121292826446774,0.0130257971376839,14.720626526953254,14.83166840910078,14.70713328550211,0.072502957406892,0.070968635621454,0.0701081397986011,944.0,945.0,937.0,2.9000001813983544e-06,2.950000180135248e-06,3.350251463416498e-06,0.8,0.8,0.6,-0.0007152059945845397,-0.0035085553637021994,0.0015593213830498802,UNDERPOWERED,0.00018589123632710007,-0.0031472492040158797,0.0024713641164279196,UNDERPOWERED,0.0009010972309116399,-0.00082518181829726,0.0030862244536190592,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,6.500851403920208
twodim|prod|g0.02_eta0.1_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.1_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0131770863155524,0.014325628488896,0.0131530747611755,16.13365622662046,16.06000997449944,16.006559571114586,0.0712888971249811,0.0816094938503464,0.0787718463880154,962.0,963.0,960.0,2.3753142158966512e-06,2.312500146217644e-06,2.6253142380028294e-06,0.8,0.4,0.6,-0.00112729832674868,-0.0038026600119248,0.00154806335842744,UNDERPOWERED,-0.0008797770925769204,-0.004234905411509821,0.0029048414441714193,UNDERPOWERED,0.0002475212341717596,-0.0007176577488065404,0.0017711025572607797,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,1.785710473261161
twodim|prod|g0.02_eta0.1_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.1_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0141718238529187,0.0123918638857682,0.0147065419557699,15.51182474828633,15.804776119965608,15.87578303284632,0.0746683458261947,0.0739716473903388,0.0766546537608653,978.0,975.0,979.0,1.916666792567412e-06,2.1670855706664344e-06,1.83375221543732e-06,0.6,0.6,0.4,0.00021249668344153934,-0.002092548737338021,0.002289269805067559,UNDERPOWERED,0.0012236733624982205,-0.00024922331116588003,0.0032853980755914607,UNDERPOWERED,0.001011176679056681,-0.0001920349651519191,0.0024476747005332212,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,7.295005586696322
twodim|prod|g0.02_eta0.15_bi0_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.15_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0130063317965525,0.0151184079776833,0.0139365264815935,16.467687837056022,17.037471304813437,15.067972166499713,0.0783463416802077,0.0828628995419089,0.0666089403984734,943.0,945.0,953.0,2.950000180135248e-06,2.950000189230195e-06,2.350000149817788e-06,0.6,0.4,0.4,-0.00084407289757624,-0.0019525295395900998,0.00026438374443761987,UNDERPOWERED,-0.0009906614246662799,-0.0029481268169930606,0.0006589109029455007,UNDERPOWERED,-0.00014658852709003995,-0.0018907164870357804,0.0015975394328557005,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-1.057544290939372
twodim|prod|g0.02_eta0.15_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.15_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0133127061382351,0.0143471891322607,0.013334572461259,15.46346677788028,15.582608886082024,15.646795611502,0.0707086116924981,0.0725703528229264,0.0671471478668439,974.0,965.0,967.0,1.6875001108473952e-06,2.2503142133700747e-06,2.1253142108434986e-06,0.6,0.6,0.6,-4.4105196890159916e-05,-0.0016051186485583804,0.0009238457989079598,UNDERPOWERED,-0.00046166159402286007,-0.0019883668398666,0.0016701000452513197,UNDERPOWERED,-0.0004175563971327002,-0.0024826044004275802,0.0016474916061621798,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-3.012407537608064
twodim|prod|g0.02_eta0.15_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.02_eta0.15_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0150543818991318,0.0160259202875962,0.014457395975666,15.546000110179245,15.707518535490127,15.900732837803629,0.0736910823587111,0.0766455365914161,0.0723777878718062,979.0,975.0,985.0,1.7500001149528544e-06,2.1666668089892483e-06,1.250418843786368e-06,0.4,0.2,0.4,-0.00139824544466294,-0.004475980241373601,0.00186987669447804,UNDERPOWERED,-0.0024196330490638194,-0.005320936888822241,-0.00014611839877257913,UNDERPOWERED,-0.0010213876044008797,-0.003424053088301485,0.0017054374577586003,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-7.368671009341115
twodim|prod|g0.05_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.075_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0135080571117314,0.0130185748204894,0.0129234168981972,14.9953813322079,15.604386907728108,14.485156084078604,0.0787017526602758,0.0749506453678064,0.0664468841156969,855.0,843.0,857.0,8.0502517585046e-06,8.600503069828847e-06,8.350000471182283e-06,0.6,0.4,0.8,-0.0006044039969125798,-0.00183888387288282,0.0002865539752423405,UNDERPOWERED,-0.0004803794117012195,-0.0029265080350863795,0.0020685693218113403,UNDERPOWERED,0.00012402458521136028,-0.0020105968249067197,0.0023617374624911795,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,0.8947596011100761
twodim|prod|g0.05_eta0.075_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.075_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0130888296524476,0.0141081287064804,0.0119808678401275,16.56124488634162,15.042059012003236,14.34010708849431,0.0785112623516253,0.0766400094007117,0.0660630286899391,903.0,902.0,914.0,6.939070777889355e-06,6.688128536325166e-06,5.750314409169733e-06,0.4,0.6,0.8,0.00075308995893952,-0.0011280293908324606,0.0023349850594759996,UNDERPOWERED,-0.0013297175542914801,-0.0027377193156133,7.828420703033974e-05,UNDERPOWERED,-0.002082807513231,-0.0039440481512706006,-0.0004020555381106797,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-15.026149989146973
twodim|prod|g0.05_eta0.075_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.075_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0151045309930977,0.0151734026493963,0.0126298876337446,14.828638917420564,15.1167036895909,14.91066819506882,0.0717842079858921,0.0835525857414209,0.0691382897905919,940.0,934.0,936.0,5.417085768992062e-06,5.916667002262936e-06,5.833752425132843e-06,0.4,0.4,0.4,3.853919192191996e-05,-0.00144020046597994,0.0011662825996460202,UNDERPOWERED,-0.0009321261703931199,-0.003210495447926,0.00182123041851126,UNDERPOWERED,-0.0009706653623150398,-0.0025821838362344797,0.0011593899618934402,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-7.002741842806981
twodim|prod|g0.05_eta0.1_bi0_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.1_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0135610255711321,0.0118011113378734,0.013641971470452,14.64769277958001,14.97090992512817,14.28305071672855,0.0773558706852271,0.0680301069935279,0.0678013131512328,870.0,869.0,867.0,7.35025166250125e-06,7.250000421663571e-06,8.150251828737964e-06,0.6,0.6,0.8,0.00080009298242096,-0.0007162779972501799,0.0021670731833095406,UNDERPOWERED,0.0006693194062564193,-0.0012368721090557813,0.00279132806467046,UNDERPOWERED,-0.00013077357616454074,-0.001699782810370501,0.001322159980792979,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-0.9434493382526932
twodim|prod|g0.05_eta0.1_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.1_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0130510228265759,0.0137568375924629,0.0130341644363304,15.56935394990979,15.166519813506657,15.386171657764262,0.0730685376046661,0.0746246590544525,0.0740333434388406,907.0,917.0,927.0,6.313128540114121e-06,5.500628486743153e-06,4.81250028769864e-06,0.4,0.6,0.8,-0.0005927171266221206,-0.0022607004395655004,0.001084543184146079,UNDERPOWERED,-0.0004135889219933405,-0.0013329517408163804,0.0005268222669632197,UNDERPOWERED,0.00017912820462878017,-0.0013152323730750003,0.0016734887823325606,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,1.2922976573400429
twodim|prod|g0.05_eta0.1_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.1_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0126862356866446,0.0134642625395845,0.0125246987012693,15.567865195269794,17.001969839396452,14.32575322817652,0.0756368439123519,0.0782839644943161,0.0646106576832122,946.0,939.0,955.0,4.5837523581819065e-06,5.417085746254694e-06,3.917085670461044e-06,0.6,0.6,0.8,-0.0015390851211509397,-0.004851536486335998,0.0009672837663109995,UNDERPOWERED,-0.00203176231151632,-0.004873578358044459,5.61003352571969e-06,UNDERPOWERED,-0.0004926771903653801,-0.0015376342588977999,0.00022627452853867975,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-3.554356949278328
twodim|prod|g0.05_eta0.15_bi0_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.15_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0134133792355628,0.0123901430317224,0.0129686834620667,14.961284405510424,15.044132756065672,15.173744900490396,0.0774370924201394,0.0746256570850669,0.0713896462779676,876.0,880.0,876.0,6.750251650373684e-06,6.850000413578528e-06,6.750251654921157e-06,0.4,0.6,0.8,0.0007766899158793601,-0.0017115796740940399,0.0028159941650492803,UNDERPOWERED,0.0001143888394771999,-0.0011813935254728007,0.0015555934458309803,UNDERPOWERED,-0.0006623010764021601,-0.0021240216142017405,0.0009618113822639201,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-4.778086908546987
twodim|prod|g0.05_eta0.15_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.15_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0121921850499077,0.0124659709401209,0.0143259230575079,15.658326840640186,14.46256526891927,14.22604993203304,0.0738626659510436,0.0769331091754065,0.0670912661271228,918.0,921.0,929.0,5.625000341069608e-06,5.250314387694743e-06,4.625314340955811e-06,0.8,0.8,0.6,-6.678187075630018e-05,-0.0024126068709099803,0.0026073524280813398,UNDERPOWERED,0.00070466369327346,-0.00017759562191592068,0.0015869230084628407,UNDERPOWERED,0.0007714455640297601,-0.00178792684863942,0.0027076825575727804,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,5.5654959375440045
twodim|prod|g0.05_eta0.15_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.05_eta0.15_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0145047824280686,0.0145454652761339,0.013576770281818,14.58694283671768,14.964570816276732,15.68784243639988,0.0729977352470154,0.0740122371009842,0.072480532013306,949.0,948.0,963.0,4.417085695725594e-06,4.584589866378034e-06,3.16708563635378e-06,0.4,0.2,0.6,-0.0009971038158192592,-0.00319237718889132,0.0012769085345565412,UNDERPOWERED,-0.0003692410672781796,-0.002521293435512899,0.00242695873506,UNDERPOWERED,0.0006278627485410797,-0.0016520079213539803,0.0031588907613712388,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_WORSE,4.529635970796495
twodim|prod|g0.1_eta0.075_bi0_fe5,metastability_toy_2D,production_gpu,g0.1_eta0.075_bi0_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0126394139727194,0.0133382797353947,0.0113176817292962,14.081111206279628,15.835023654615126,13.267515252650862,0.0771296723289129,0.0822176311959124,0.0602371305578991,748.0,745.0,748.0,1.5800503492755526e-05,1.6350754817722192e-05,1.6651006130814495e-05,0.6,0.6,1.0,-0.0019190101186061597,-0.006290817668971199,0.0022055325909087604,UNDERPOWERED,-0.00426258717648916,-0.00863514752683526,-0.00028060284290321974,UNDERPOWERED,-0.002343577057883,-0.004428649309606019,-0.00030856678977140005,UNDERPOWERED,UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,U,underpowered:UNDERPOWERED/UNDERPOWERED/UNDERPOWERED,oracle_BETTER,-16.907438713933676
twodim|prod|g0.1_eta0.075_bi0.2_fe5,metastability_toy_2D,production_gpu,g0.1_eta0.075_bi0.2_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0149796791372924,0.0135663838366574,0.0135616466303989,16.334888158062462,15.46174052913783,15.830240958664264,0.0868735216006744,0.077723494631992,0.0738532673703769,833.0,833.0,834.0,1.26262570745439e-05,1.2375942958442463e-05,1.2562814845296089e-05,0.4,0.4,0.8,0.0021101981349136005,0.0008282872565730803,0.0032025402896154603,DIFFERENT,-0.0006481489000024997,-0.002120506224660419,0.0012373236977766603,UNDERPOWERED,-0.0027583470349161,-0.00493218149916372,-0.0007190042298365,DIFFERENT,DIFFERENT/UNDERPOWERED/DIFFERENT,U,underpowered:DIFFERENT/UNDERPOWERED/DIFFERENT,oracle_BETTER,-19.89974397800787
twodim|prod|g0.1_eta0.075_bi0.4_fe5,metastability_toy_2D,production_gpu,g0.1_eta0.075_bi0.4_fe5,5,0.013861218706956618,0.000693060935347831,5,5,5,0.0152258387207829,0.0133390556784953,0.0124892269457245,16.576898252014995,16.493482196567992,15.51179779047014,0.0858558336000516,0.0761512020209737,0.0695545660819408,881.0,878.0,883.0,1.1833752826836038e-05,1.1417504909635077e-05,1.0917086084797726e-05,0.4,0.6,0.8,0.00112602755404702,-0.002866064907000519,0.00511812001509456,UNDERPOWERED,-0.00271809715471136,-0.005166068440712018,-0.0006685811523581605,UNDERPOWERED,-0.00384412470875838,-0.0061311292891364595,-0.0015571201283802998,DIFFERENT,UNDERPOWERED/UNDERPOWERED/DIFFERENT,U,underpowered:UNDERPOWERED/UNDERPOWERED/DIFFERENT,oracle_BETTER,-27.73294895656689
