cell_id,role,seed,pair_key,final_l2_F,int_l2_F,final_l2_Fp,ancestor_ess,event_fraction,ancestor_ess_kind,event_fraction_kind
twodim|prod|POOLED_36cfg,oracle,4,0.1|0.075|0.0|5|s4,0.0112840069490968,13.267515252650862,0.0692546738000227,771.0,1.3850000882484892e-05,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,0,0.01|0.075|0.2|5|s0,0.0121579469433463,15.91920870608723,0.0688258333616121,980.0,1.2500000821091817e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,1,0.01|0.075|0.2|5|s1,0.0137455754324046,15.181394680509827,0.0649784470064423,984.0,1.0000000656873453e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,2,0.01|0.075|0.2|5|s2,0.0155348501793215,16.403753814401735,0.0731333828355371,975.0,1.5628141738943668e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,3,0.01|0.075|0.2|5|s3,0.017734895265457,14.332217649292971,0.0611497795699886,981.0,1.2500000764248397e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,4,0.01|0.075|0.2|5|s4,0.0117151367645397,15.1454553095401,0.0676269134261545,976.0,1.562500102636477e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,0,0.02|0.075|0.2|5|s0,0.0121321800888533,15.349663071360808,0.0645236661140397,960.0,2.562814239581712e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,1,0.02|0.075|0.2|5|s1,0.0125661652468716,14.7631146767667,0.0747426891451242,971.0,1.8753141944216624e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,2,0.02|0.075|0.2|5|s2,0.011742000362299,14.635509068650418,0.0731311559141505,953.0,3.000314262635584e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
twodim|prod|POOLED_36cfg,oracle,3,0.02|0.075|0.2|5|s3,0.0140275024898283,16.08831273640958,0.0797699727860738,964.0,2.4375001544285626e-06,n_unique_ancestors(proxy),mean_fr_event_fraction
