panel,label,arm,n_seeds,rel_integrated_pct,ci_lo,ci_hi,wins,rel_final_pct,tau_abf_final,speedup_abf_final,speedup_e0_over_8
pentane_phi1,"Pentane, xi = phi1",mfr_oracle,16,-0.05,-0.23,0.19,9/16,-0.3,inf,arm_never,neither_reaches
pentane_phi1,"Pentane, xi = phi1",mfr_active,16,2.89,1.65,3.73,0/16,5.88,inf,arm_never,neither_reaches
pentane_phi1,"Pentane, xi = phi1",fr_uniform,16,0.39,0.14,0.6,3/16,0.44,inf,arm_never,neither_reaches
pentane_phi1,"Pentane, xi = phi1",opes,16,28.75,27.79,31.24,0/16,37.28,inf,arm_never,neither_reaches
pentane_r15,"Pentane, xi = R15 distance",abf,8,0.0,0.0,0.0,0/8,0.0,40.0,1.0,neither_reaches
pentane_r15,"Pentane, xi = R15 distance",mfr,8,0.69,0.45,0.82,0/8,2.03,inf,arm_never,neither_reaches
pentane_r15,"Pentane, xi = R15 distance",mfr_oracle,8,0.74,0.45,1.04,0/8,2.01,inf,arm_never,neither_reaches
pentane_r15,"Pentane, xi = R15 distance",mfr_active,8,8.07,6.39,8.5,0/8,32.81,inf,arm_never,neither_reaches
pentane_r15,"Pentane, xi = R15 distance",fr_uniform,8,0.74,0.45,1.05,0/8,2.01,inf,arm_never,neither_reaches
pentane_r15,"Pentane, xi = R15 distance",opes,8,39.63,29.73,46.32,0/8,117.99,inf,arm_never,neither_reaches
pentane_2d,"Pentane, xi = (phi1, phi2)",abf,6,0.0,0.0,0.0,0/6,0.0,22.5,1.0,neither_reaches
pentane_2d,"Pentane, xi = (phi1, phi2)",mfr,6,0.08,0.03,0.15,0/6,0.22,inf,arm_never,neither_reaches
pentane_2d,"Pentane, xi = (phi1, phi2)",mfr_active,6,0.56,0.27,0.71,0/6,0.91,inf,arm_never,neither_reaches
pentane_2d,"Pentane, xi = (phi1, phi2)",opes,6,162.86,114.26,191.57,0/6,134.7,inf,arm_never,neither_reaches
alanine,"Alanine dipeptide, xi = (phi, psi)  [vacuum]",abf,4,0.0,0.0,0.0,0/4,0.0,1.0,1.0,neither_reaches
alanine,"Alanine dipeptide, xi = (phi, psi)  [vacuum]",mfr_oracle,4,-0.01,-0.05,0.01,3/4,-0.0,1.0,1.0,neither_reaches
alanine,"Alanine dipeptide, xi = (phi, psi)  [vacuum]",mfr_oracle_r015,4,-0.0,-0.05,0.01,2/4,0.02,1.0,1.0,neither_reaches
alanine,"Alanine dipeptide, xi = (phi, psi)  [vacuum]",mfr_oracle_r045,4,0.02,0.0,0.03,0/4,0.05,1.0,1.0,neither_reaches
