stage,physics_tag,method,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,n_seeds,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,integrated_l2_f_median,integrated_l2_f_q25,integrated_l2_f_q75,l2_f_transition_median,l2_f_transition_q25,l2_f_transition_q75,l2_fp_transition_median,l2_fp_transition_q25,l2_fp_transition_q75,marginal_l2_ref_median,marginal_l2_ref_q25,marginal_l2_ref_q75,marginal_l2_uniform_median,marginal_l2_uniform_q25,marginal_l2_uniform_q75,n_barrier_crossings_median,n_barrier_crossings_q25,n_barrier_crossings_q75,n_round_trips_median,n_round_trips_q25,n_round_trips_q75,fr_event_fraction_median,fr_event_fraction_q25,fr_event_fraction_q75,max_fr_event_fraction_median,max_fr_event_fraction_q25,max_fr_event_fraction_q75,final_ancestor_ess_median,final_ancestor_ess_q25,final_ancestor_ess_q75,min_ancestor_ess_median,min_ancestor_ess_q25,min_ancestor_ess_q75,final_max_ancestor_frac_median,final_max_ancestor_frac_q25,final_max_ancestor_frac_q75,total_replacement_events_median,total_replacement_events_q25,total_replacement_events_q75
production,b1_h6_w2_n10_a1.5,fr_estimated,120000,1024,1.0,6.0,2.0,10,100,1.5,6.0,4,0.05101317626893092,0.05065799810522552,0.053530695243894734,0.2685366095707332,0.26398008016495594,0.274968866244908,45.82507409307854,45.0996809362029,46.01541575035165,0.024941719071549406,0.023513449684769788,0.027410474361381852,0.276477959857663,0.2669990824506525,0.2889488073427567,0.9519081871762531,0.9500506203812507,0.9563016601142366,0.10907080441061176,0.09384556976619217,0.12080341381472393,1637053.0,1635278.0,1638118.5,817547.5,816650.25,818085.75,7.404414935503225e-05,7.366575030623468e-05,7.453240619219038e-05,0.00011425781249999999,0.0001044921875,0.00033642578125000003,238.13943666212555,231.76169409653176,244.65813413068847,236.36445306070192,231.76169409653176,241.99565872855305,0.01513671875,0.014404296875,0.01611328125,1516.5,1508.75,1526.5
production,b1_h6_w2_n10_a1.5,fr_oracle,120000,1024,1.0,6.0,2.0,10,100,1.5,6.0,4,0.06005353949973375,0.056981138949689314,0.06298027021955954,0.2903276040561887,0.28811283987215663,0.2932290205626956,48.93495890784163,48.09606035332316,50.39343378391455,0.02938148794561335,0.027373053171344055,0.030408588650870247,0.2990240084423702,0.2906111389926785,0.3049357008576178,0.9468784118679398,0.9368829651351034,0.9554970758810306,0.10253453674076496,0.09620305173394358,0.10747471093861441,1632181.5,1631886.0,1636373.25,815118.0,814975.0,817192.0,8.000088276836158e-05,7.878024067546623e-05,8.068444234038299e-05,0.0001181640625,0.00011279296875,0.0001240234375,229.35887206323866,225.40376649947007,233.25035567402108,229.35887206323866,225.04454729258504,233.25035567402108,0.015625,0.0126953125,0.018798828125,1638.5,1613.5,1652.5
production,b1_h6_w2_n10_a1.5,fr_uniform,120000,1024,1.0,6.0,2.0,10,100,1.5,6.0,4,0.05227629413059756,0.05029133749463146,0.055301439372329945,0.26003816757214226,0.2583384165644016,0.26865562360236184,47.95319873669749,46.62165078274013,49.427960691887165,0.02400881051048357,0.023160581249795763,0.026903739170469357,0.27226573865781134,0.2685059516060716,0.2838126828245,0.9583673855651675,0.9485692493884298,0.9679356315399115,0.08395986957091733,0.07812948685694744,0.09078559367099315,1636708.0,1633754.75,1640025.25,817359.0,815870.5,819037.5,7.38976723038848e-05,7.372678241087946e-05,7.497183734563272e-05,0.0001044921875,0.00010302734375,0.0001064453125,244.33063447845737,238.55278038506444,248.21447277138716,244.33063447845737,238.55278038506444,248.21447277138716,0.01318359375,0.01171875,0.01513671875,1513.5,1510.0,1535.5
production,b2_h1_w2_n10_a1.5,abf,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,4,0.012989968439111292,0.012191333629454008,0.013303594894334494,0.07623482848709615,0.07486685283927244,0.0772392143406756,13.317719045567639,12.951782556714114,13.582435566348627,0.0063273461676464915,0.00576891977890465,0.006646419395776507,0.05496409517796337,0.050374566611129136,0.05741951292769666,0.5319313817681242,0.5107741354239479,0.5532469703865875,0.09725639555147203,0.08952872445096433,0.10508646008237438,1017370.5,1013755.25,1018789.25,508395.5,506592.0,509104.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b2_h1_w2_n10_a1.5,fr_estimated,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,4,0.013191961134566044,0.012392089801304025,0.01381684384750217,0.07351098475525136,0.07019278344448807,0.0767741201723473,11.608175545073028,11.456940845228765,11.752735535561337,0.010843932751354195,0.009866292298280389,0.011872728195406934,0.05886183802693293,0.056643197826687836,0.06361103911680738,0.5362698741816598,0.532155855622887,0.5432401831895761,0.07531302264531972,0.06569576600650426,0.08162693875262175,1038398.0,1033338.5,1041645.25,518400.5,515864.25,520047.25,8.083091939153042e-05,8.024501118694064e-05,8.184405232863356e-05,0.0001494140625,0.0001376953125,0.00015966796875,223.71731917115898,207.47935914275325,239.91398608516283,223.71731917115898,207.4004723403073,239.91398608516283,0.0146484375,0.01123046875,0.01953125,1655.5,1643.5,1676.25
production,b2_h1_w2_n10_a1.5,fr_oracle,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,4,0.010883481097099735,0.010504521889854016,0.011049569090887916,0.07799082460094195,0.07532697074056384,0.08061866793273656,12.957644190881588,11.858557380199283,13.954637538557996,0.012594446132373281,0.011860505866658958,0.012837024878423982,0.060969268232423254,0.057370429205471044,0.06381879489130442,0.5414825896628691,0.5230777558644988,0.5579701359149132,0.08792025100964705,0.08552173786094319,0.08901479836015862,1037367.0,1035348.5,1042701.75,518085.0,517073.5,520733.75,8.10750478101095e-05,7.889009846382681e-05,8.272291463551823e-05,0.0001171875,0.00011669921875,0.000119140625,230.11033829155252,225.96950788817676,238.396202610378,230.11033829155252,225.96950788817676,238.396202610378,0.013671875,0.011962890625,0.015380859375,1660.5,1615.75,1694.25
production,b2_h1_w2_n10_a1.5,fr_uniform,120000,1024,2.0,1.0,2.0,10,100,1.5,2.0,4,0.016069295120799618,0.015590780195337457,0.01649217026544967,0.07731657058946478,0.07455165456867374,0.07971321770823174,12.952322057334573,12.713810348744515,13.882977763815276,0.012001898328510022,0.011659384898803348,0.012465284668160092,0.07196783580829211,0.06974476466288596,0.07346228655237419,0.5317375600770136,0.5236334520380074,0.5414560253691583,0.07786264180699676,0.07466911924824633,0.08326754461947236,1036756.5,1033814.25,1040442.75,517588.5,516112.0,519443.5,8.058679097295135e-05,7.942718098470077e-05,8.103842854732263e-05,0.00014746093750000002,0.00012890625,0.00036865234375,222.62215325977127,211.8175600023107,233.83565705314712,222.62215325977127,211.67081777745557,233.83565705314712,0.01318359375,0.012451171875,0.0146484375,1650.5,1626.75,1659.75
production,b2_h2_w2_n10_a1.5,abf,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,4,0.01266033861646191,0.011015167188668509,0.014505186969306517,0.06621548993917489,0.06479192450579324,0.06834580685903666,15.36229068288673,15.102115867823303,15.738572053289177,0.004190788383930649,0.0034986616950870514,0.005127836859941436,0.052584570887982934,0.049494539309672674,0.05701621120760012,0.8269608960835686,0.8197241764143685,0.8303476564095223,0.09279284657207004,0.083820135713031,0.0977914959268667,998867.0,996408.25,1000944.25,499168.0,497936.0,500199.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b2_h2_w2_n10_a1.5,fr_estimated,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,4,0.01607157200663059,0.015077670729654413,0.01770709515475945,0.06308937979553335,0.060735449068197014,0.0656727690257477,15.285168524929416,14.98300775880143,15.765080208696858,0.009455923841758147,0.008365444405493139,0.01060961347949044,0.06748550100695737,0.06003110395687204,0.07526810177578763,0.7974124318344931,0.7801304783814438,0.8142467894819146,0.09504674482372341,0.09064770796077204,0.10073566140057827,1018118.5,1016174.0,1019293.5,508226.0,507252.5,508838.5,7.751077289885506e-05,7.744974079421029e-05,7.759621784535773e-05,0.00014550781250000002,0.00013134765625,0.00016162109375,217.668737979195,213.8834110005175,221.78650892381123,217.668737979195,213.8834110005175,221.78650892381123,0.0166015625,0.015380859375,0.018798828125,1587.5,1586.25,1589.25
production,b2_h2_w2_n10_a1.5,fr_oracle,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,4,0.007596564958078847,0.007106063629006214,0.00817630868318432,0.06246417766166572,0.059934616422195955,0.06421739406300946,14.001456268174596,13.752421414462628,14.402116462868108,0.0077729235205891475,0.007555918395916231,0.007926650598982078,0.050853304045410976,0.047945607512778786,0.05404595745760309,0.8221478848008303,0.8091161856353153,0.8368228155034734,0.08930518803765992,0.08713941025768379,0.09097982003243313,1020971.0,1017659.0,1022984.25,509881.0,508226.0,510889.0,7.982999287535624e-05,7.903657551497425e-05,8.036707539623019e-05,0.00011132812499999999,0.00010693359375,0.00011669921875,236.53898803671828,235.432488970402,237.18251786154224,236.53898803671828,235.432488970402,237.18251786154224,0.01318359375,0.012451171875,0.013916015625,1635.0,1618.75,1646.0
production,b2_h2_w2_n10_a1.5,fr_uniform,120000,1024,2.0,2.0,2.0,10,100,1.5,4.0,4,0.016000402043318446,0.01367431741399169,0.01657032683321611,0.05841293355964931,0.05652600016323343,0.062059969285887584,14.577525683546861,13.314485530458608,15.882310422113934,0.008627343064110225,0.007815638761055102,0.008782479868787139,0.061694097430287455,0.05626082612210279,0.06289201689135579,0.813633563296019,0.8047257821064802,0.8278709763243836,0.07938851999199167,0.07259103406962791,0.08580261800486197,1014387.0,1013134.5,1016165.0,506397.5,505739.0,507325.75,7.570422260136993e-05,7.306763568071598e-05,7.849949299410029e-05,0.00013671875,0.00012548828125,0.00014990234375,223.5887229355983,221.8506038612348,230.27051237499518,223.2511496264009,221.8506038612348,229.76415241119906,0.01318359375,0.0126953125,0.0146484375,1550.5,1496.5,1607.75
production,b2_h4_w2_n10_a1.5,abf,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,4,0.015026841591850052,0.014498750625017156,0.01526964374489399,0.09874918562031545,0.0976700473470961,0.0993699417819784,23.614668859960332,23.113565870187173,24.05851732771759,0.008279986583732931,0.007986602796123,0.008623561657221326,0.04433899419290778,0.03937550880102207,0.04991824135283869,1.117446517789205,1.1116466180166618,1.128966932381359,0.08931408712794006,0.08288022857963354,0.09656587899023247,981687.5,978680.0,984032.5,490563.5,489059.5,491737.25,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b2_h4_w2_n10_a1.5,fr_estimated,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,4,0.02434467800700805,0.023441777928309385,0.024717630625234813,0.10121696891298601,0.10040814291772435,0.10238949925940966,25.4612792930498,25.206656122330028,26.34721496108044,0.013427245527914439,0.012306338031355408,0.014210799679144872,0.0823328232499197,0.0813169280256316,0.08289897069747638,1.1333714011414244,1.1220160329981186,1.148632351323191,0.09017819929750104,0.08360622687160194,0.0930207494978446,984623.5,982394.0,987919.25,491413.0,490325.5,493050.75,7.829198383830809e-05,7.796241047322634e-05,7.897554341032949e-05,0.000158203125,0.00014990234375,0.00036865234375,208.91416340773378,194.78350093357898,223.01234697332066,207.5132308975614,192.61139314000184,223.01234697332066,0.01611328125,0.014892578125,0.01708984375,1603.5,1596.75,1617.5
production,b2_h4_w2_n10_a1.5,fr_oracle,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,4,0.010312130282055404,0.010083280345941659,0.011470498361103016,0.08671352927512375,0.08460034973004213,0.08958468340443348,24.153746849896883,23.503598613901687,24.73960628255403,0.006324883301332679,0.0057016516170823595,0.007593187987987449,0.047710135283577315,0.04518546452527705,0.051448735187621636,1.1383640328344857,1.1327984860825269,1.1432943543986522,0.07124930798234466,0.0638127742723151,0.08245059776706264,1001297.0,1000833.5,1001836.5,500044.5,499831.25,500323.0,8.41510658842058e-05,8.344309347032648e-05,8.424871725163742e-05,0.000119140625,0.00011181640625,0.000125,223.8641399489183,218.49091308576286,228.62510610437127,223.8641399489183,218.49091308576286,228.62510610437127,0.01513671875,0.014404296875,0.0166015625,1723.5,1709.0,1725.5
production,b2_h4_w2_n10_a1.5,fr_uniform,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,4,0.02356552139237469,0.023176200860915708,0.02436299261805313,0.0980797389254284,0.09536688040370586,0.10059848702792219,25.109110193966202,24.07585477465407,26.147913180071356,0.013181120289346841,0.012795602691082156,0.013576972909276612,0.08137690424983064,0.07766847118705084,0.0847197543761212,1.1201371590135216,1.112951506388586,1.1346892740639571,0.07908814986983273,0.07623662641379905,0.08660384867072315,990284.5,987263.75,994608.75,494334.5,492809.75,496486.75,7.21887733738313e-05,7.176154864131794e-05,7.436151629918505e-05,0.0005703125,0.0001591796875,0.001220703125,226.62165548449536,226.15699635358175,227.83744255744256,226.62165548449536,226.15699635358175,227.83744255744256,0.015625,0.014404296875,0.017333984375,1478.5,1469.75,1523.0
production,b2_h4_w2_n14_a1.5,abf,120000,1024,2.0,4.0,2.0,14,196,1.5,8.0,4,0.01512173341176276,0.01468436134369489,0.01523936239316806,0.09377661982937963,0.09212773926277508,0.09594419306997434,20.694284359474025,19.51850608614939,22.597061115924216,0.010003382833087417,0.009303325884544782,0.010848269468645448,0.04600407795333636,0.04206831846421735,0.04914504741834383,1.1191365852321535,1.1142289224183433,1.1268432141466818,0.09350206161698633,0.08916168392909388,0.0976142453908331,974960.5,973837.5,975741.75,487197.5,486638.0,487588.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0
production,b2_h4_w2_n14_a1.5,fr_estimated,120000,1024,2.0,4.0,2.0,14,196,1.5,8.0,4,0.026307167394945742,0.024231992455152857,0.027861830006879276,0.09800388607438212,0.09553375370816676,0.10073606613413955,24.01935814588726,23.8805062897862,24.526524837464518,0.01627861881226574,0.015215231656738054,0.017501189772440903,0.08903671979903376,0.08164576162751648,0.09530657591307776,1.1323907338427195,1.1274454952945308,1.1435431587435827,0.07917548783785683,0.07273433484092895,0.08381240292027617,996309.0,992657.5,997990.0,497293.5,495456.75,498129.0,7.770607563371831e-05,7.692486469426528e-05,7.865817646617669e-05,0.0001416015625,0.00013916015625,0.0001513671875,207.93298792974906,203.8223365634737,214.88397977535715,207.93298792974906,203.8223365634737,214.88397977535715,0.0166015625,0.014404296875,0.01953125,1591.5,1575.5,1611.0
production,b2_h4_w2_n14_a1.5,fr_oracle,120000,1024,2.0,4.0,2.0,14,196,1.5,8.0,4,0.011191439273954096,0.009714285135559452,0.012887809643907325,0.08144823012732522,0.08026799635407789,0.08326098946060989,21.202600176701623,20.227389981176675,21.9321628745064,0.007900797265735402,0.00639804326477661,0.009416633994435118,0.047920545434757045,0.04011835392890855,0.05706327095564089,1.1303606493517033,1.1267326237591635,1.1391013263324479,0.07646692945682167,0.07253242858396348,0.08459678401646262,1000170.0,997287.25,1001899.5,499488.0,498038.0,500369.25,8.361398336333183e-05,8.294263021223939e-05,8.394355672841358e-05,0.000119140625,0.0001181640625,0.000119140625,225.28720658928168,218.02257253391946,228.93700855599042,225.28720658928168,218.02257253391946,228.93700855599042,0.015625,0.014404296875,0.017822265625,1712.5,1698.75,1719.25
production,b2_h4_w2_n14_a1.5,fr_uniform,120000,1024,2.0,4.0,2.0,14,196,1.5,8.0,4,0.026860790327165002,0.026012144831988028,0.027375063876996224,0.10121470992273686,0.09885833708596917,0.10263768720060049,24.650903953110436,23.64249434420625,26.08408320606904,0.015924017436799942,0.015478274133559499,0.016262399820652078,0.08557917759725303,0.08142716294476364,0.08991387042398595,1.1419342598280486,1.1347886872305557,1.1445875827158631,0.07563501645150228,0.07346508701378111,0.081864880647149,990257.5,988896.25,992162.75,494296.0,493624.0,495223.75,7.56065712339383e-05,7.400753009224539e-05,7.691265827333634e-05,0.000158203125,0.00014697265625,0.0001630859375,221.9732723866203,216.98534422469112,230.29330240538758,221.9732723866203,216.98534422469112,230.29330240538758,0.015625,0.0146484375,0.018798828125,1548.5,1515.75,1575.25
