stage,method,physics_tag,beta,h,M,seed,total_replacement_events,n_fr_applications,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,clones_per_fr_application
production,fr_oracle,b1_h1_w2_n10_a1.5,1.0,1.0,100,3,1834,20001,8.954630393480326e-05,0.000125,0.09169541522923853,0.09169541522923853
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,0,1855,20001,9.057164329283535e-05,0.00012109375,0.0927453627318634,0.0927453627318634
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,1,1747,20001,8.529846945152742e-05,0.000126953125,0.08734563271836408,0.08734563271836408
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,2,1838,20001,8.974160666966652e-05,0.0001171875,0.09189540522973852,0.09189540522973852
production,fr_oracle,b1_h2_w2_n10_a1.5,1.0,2.0,100,3,1852,20001,9.042516624168791e-05,0.0009765625,0.09259537023148842,0.09259537023148842
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,0,1774,20001,8.66167629118544e-05,0.000130859375,0.08869556522173891,0.08869556522173891
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,1,1658,20001,8.095298360081995e-05,0.000111328125,0.08289585520723963,0.08289585520723963
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,2,1729,20001,8.441960714464277e-05,0.000115234375,0.0864456777161142,0.0864456777161142
production,fr_oracle,b1_h4_w2_n10_a1.5,1.0,4.0,100,3,1707,20001,8.334544210289486e-05,0.0009765625,0.08534573271336433,0.08534573271336433
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,0,1681,20001,8.207597432628369e-05,0.00011328125,0.0840457977101145,0.0840457977101145
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,1,1634,20001,7.978116719164042e-05,0.000111328125,0.08169591520423979,0.08169591520423979
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,2,1643,20001,8.022059834508275e-05,0.000123046875,0.08214589270536474,0.08214589270536474
production,fr_oracle,b1_h6_w2_n10_a1.5,1.0,6.0,100,3,1552,20001,7.577746112694365e-05,0.000126953125,0.0775961201939903,0.0775961201939903
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,0,1567,20001,7.650984638268087e-05,0.000115234375,0.07834608269586521,0.07834608269586521
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,1,1710,20001,8.34919191540423e-05,0.0001171875,0.08549572521373931,0.08549572521373931
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,2,1632,20001,7.968351582420879e-05,0.0001171875,0.0815959202039898,0.0815959202039898
production,fr_oracle,b2_h1_w2_n10_a1.5,2.0,1.0,100,3,1689,20001,8.24665797960102e-05,0.000125,0.08444577771111444,0.08444577771111444
production,fr_oracle,b2_h2_w2_n10_a1.5,2.0,2.0,100,0,1588,20001,7.753518574071297e-05,0.00010546875,0.07939603019849008,0.07939603019849008
production,fr_oracle,b2_h2_w2_n10_a1.5,2.0,2.0,100,1,1661,20001,8.109946065196741e-05,0.00012109375,0.08304584770761463,0.08304584770761463
production,fr_oracle,b2_h2_w2_n10_a1.5,2.0,2.0,100,2,1641,20001,8.012294697765112e-05,0.000107421875,0.08204589770511475,0.08204589770511475
production,fr_oracle,b2_h2_w2_n10_a1.5,2.0,2.0,100,3,1629,20001,7.953703877306135e-05,0.000115234375,0.08144592770361482,0.08144592770361482
production,fr_oracle,b2_h4_w2_n10_a1.5,2.0,4.0,100,0,1730,20001,8.446843282835858e-05,0.000125,0.08649567521623919,0.08649567521623919
production,fr_oracle,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1667,20001,8.139241475426229e-05,0.00011328125,0.08334583270836458,0.08334583270836458
production,fr_oracle,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1723,20001,8.412665304234789e-05,0.000107421875,0.08614569271536424,0.08614569271536424
production,fr_oracle,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1724,20001,8.41754787260637e-05,0.000125,0.08619569021548923,0.08619569021548923
production,fr_oracle,b2_h4_w2_n14_a1.5,2.0,4.0,196,0,1707,20001,8.334544210289486e-05,0.000119140625,0.08534573271336433,0.08534573271336433
production,fr_oracle,b2_h4_w2_n14_a1.5,2.0,4.0,196,1,1718,20001,8.38825246237688e-05,0.000115234375,0.08589570521473926,0.08589570521473926
production,fr_oracle,b2_h4_w2_n14_a1.5,2.0,4.0,196,2,1723,20001,8.412665304234789e-05,0.000119140625,0.08614569271536424,0.08614569271536424
production,fr_oracle,b2_h4_w2_n14_a1.5,2.0,4.0,196,3,1674,20001,8.173419454027298e-05,0.000119140625,0.08369581520923954,0.08369581520923954
production,fr_oracle,b2_h4_w2_n7_a1.5,2.0,4.0,49,0,1021,20001,4.985102307384631e-05,7.03125e-05,0.05104744762761862,0.05104744762761862
production,fr_oracle,b2_h4_w2_n7_a1.5,2.0,4.0,49,1,995,20001,4.8581555297235136e-05,7.6171875e-05,0.04974751262436878,0.04974751262436878
production,fr_oracle,b2_h4_w2_n7_a1.5,2.0,4.0,49,2,1048,20001,5.1169316534173293e-05,7.8125e-05,0.05239738013099345,0.05239738013099345
production,fr_oracle,b2_h4_w2_n7_a1.5,2.0,4.0,49,3,998,20001,4.8728032348382584e-05,7.8125e-05,0.049897505124743766,0.049897505124743766
production,fr_oracle,b2_h6_w2_n10_a1.5,2.0,6.0,100,0,1390,20001,6.786770036498175e-05,9.9609375e-05,0.06949652517374132,0.06949652517374132
production,fr_oracle,b2_h6_w2_n10_a1.5,2.0,6.0,100,1,1266,20001,6.181331558422078e-05,8.59375e-05,0.06329683515824208,0.06329683515824208
production,fr_oracle,b2_h6_w2_n10_a1.5,2.0,6.0,100,2,1299,20001,6.342456314684266e-05,8.7890625e-05,0.06494675266236688,0.06494675266236688
production,fr_oracle,b2_h6_w2_n10_a1.5,2.0,6.0,100,3,1315,20001,6.420577408629569e-05,9.5703125e-05,0.06574671266436678,0.06574671266436678
production,fr_oracle,b4_h1_w2_n10_a1.5,4.0,1.0,100,0,1594,20001,7.782813984300785e-05,0.000109375,0.07969601519924004,0.07969601519924004
production,fr_oracle,b4_h1_w2_n10_a1.5,4.0,1.0,100,1,1480,20001,7.226201189940503e-05,0.00011328125,0.07399630018499075,0.07399630018499075
production,fr_oracle,b4_h1_w2_n10_a1.5,4.0,1.0,100,2,1497,20001,7.309204852257387e-05,0.0001171875,0.07484625768711564,0.07484625768711564
production,fr_oracle,b4_h1_w2_n10_a1.5,4.0,1.0,100,3,1479,20001,7.221318621568921e-05,9.765625e-05,0.07394630268486575,0.07394630268486575
production,fr_oracle,b4_h2_w2_n10_a1.5,4.0,2.0,100,0,1674,20001,8.173419454027298e-05,0.00010546875,0.08369581520923954,0.08369581520923954
production,fr_oracle,b4_h2_w2_n10_a1.5,4.0,2.0,100,1,1700,20001,8.300366231688416e-05,0.000130859375,0.08499575021248938,0.08499575021248938
production,fr_oracle,b4_h2_w2_n10_a1.5,4.0,2.0,100,2,1567,20001,7.650984638268087e-05,0.0009765625,0.07834608269586521,0.07834608269586521
production,fr_oracle,b4_h2_w2_n10_a1.5,4.0,2.0,100,3,1715,20001,8.373604757262137e-05,0.000107421875,0.08574571271436428,0.08574571271436428
production,fr_oracle,b4_h4_w2_n10_a1.5,4.0,4.0,100,0,2028,20001,9.901848657567121e-05,0.00012109375,0.10139493025348732,0.10139493025348732
production,fr_oracle,b4_h4_w2_n10_a1.5,4.0,4.0,100,1,1971,20001,9.62354226038698e-05,0.000134765625,0.09854507274636268,0.09854507274636268
production,fr_oracle,b4_h4_w2_n10_a1.5,4.0,4.0,100,2,2038,20001,9.950674341282936e-05,0.0001328125,0.10189490525473727,0.10189490525473727
production,fr_oracle,b4_h4_w2_n10_a1.5,4.0,4.0,100,3,2068,20001,0.00010097151392430378,0.00013671875,0.10339483025848707,0.10339483025848707
production,fr_oracle,b4_h6_w2_n10_a1.5,4.0,6.0,100,0,1986,20001,9.696780785960702e-05,0.0001328125,0.09929503524823759,0.09929503524823759
production,fr_oracle,b4_h6_w2_n10_a1.5,4.0,6.0,100,1,2006,20001,9.79443215339233e-05,0.000125,0.10029498525073746,0.10029498525073746
production,fr_oracle,b4_h6_w2_n10_a1.5,4.0,6.0,100,2,2008,20001,9.804197290135493e-05,0.0009765625,0.10039498025098745,0.10039498025098745
