seed,method,int_eF_equilibrium,final_eF_equilibrium,int_eF_km_equilibrium,final_eF_km_equilibrium,int_eF_uniform8,final_eF_uniform8,int_eF_km_uniform8,final_eF_km_uniform8,int_eF_uniform10,final_eF_uniform10,int_eF_km_uniform10,final_eF_km_uniform10,int_egradF_equilibrium,final_egradF_equilibrium,int_egradF_uniform8,final_egradF_uniform8,int_egradF_uniform10,final_egradF_uniform10
10,abf,46.86288012085938,0.5646103471991465,21.30685453600948,0.2140930144769992,56.97704851930174,0.6687713782043986,28.888235019083403,0.28693265119294503,56.51127125786067,0.6644655386465966,28.52706450046295,0.28535650781391253,667.1757948467618,8.322916925345616,667.7834889861388,8.330524804718973,669.8385492844366,8.359315606072869
11,abf,47.53378823131822,0.5679879959058014,21.738152099481383,0.21553126795139058,58.542799898096646,0.6736658761783689,30.605080997069884,0.2945895374804778,57.908862371671106,0.6672165410843728,30.122943395571,0.29054858617933293,669.5385620815455,8.332180079126298,668.4220116770651,8.330261384175932,670.2948387570641,8.355973932650995
12,abf,46.767009737179016,0.5632053126544848,20.34910551223401,0.20740171650715183,57.405190331028734,0.6656803473070215,28.96288678611022,0.27924049824480734,56.86732807998354,0.6598823078469711,28.62434424147586,0.2764977804386649,668.0679842636912,8.32271752424707,668.2071380778677,8.331488943090044,670.0779099866511,8.354725658764567
13,abf,47.68662957399703,0.5688712465828739,22.712446311270018,0.22319625484440114,58.28848459640156,0.6718819246020171,30.782972861926634,0.294335589165715,57.75215838863386,0.6667098230042512,30.36717067393826,0.2915848932360188,667.9531032364096,8.328355113128893,667.5693544313443,8.330488277798272,669.1592273626137,8.35307951508378
14,abf,46.85328623689761,0.5652919028805646,20.404547002440555,0.20689818012212263,57.60578924914006,0.671895791458262,29.233462717385436,0.2857359811610684,57.07412612247445,0.6660208163177047,28.84586771601638,0.28308340563112844,668.3625480652744,8.330032857884541,668.6473075663048,8.33819765655498,670.6157435239389,8.362025797676859
15,abf,47.224821674087764,0.5709298634165043,21.016905408702385,0.22098316351883998,56.52545115876842,0.6642076854074215,27.956516455842205,0.2806839187841019,56.084136536362834,0.659453434100746,27.57482140088749,0.27778177305694973,670.9119052994567,8.357313362339758,668.5914641939596,8.34063631392387,670.2445213882652,8.362116534135037
0,fr_uniform,47.81502945376444,0.5672838387308329,22.244855490425394,0.21336742013867982,58.59644811646531,0.6711578359995821,30.72407152978247,0.29044581682527376,58.13545728881519,0.6666437772340601,30.432592071939652,0.2881976648995121,669.0315638012702,8.328710772278784,668.4324085870294,8.333761564426844,670.313304348573,8.357867604020031
1,fr_uniform,47.49891213682564,0.5672046699990094,21.748957550179256,0.2151431991752019,57.57911782106476,0.664837345311898,29.613295073801787,0.2834219642423125,57.125037705401766,0.6608373191152074,29.26612938972597,0.2811837537853155,669.1555838463288,8.335606799217842,668.1567068068281,8.33545999232687,669.9905155574742,8.35935802382977
2,fr_uniform,47.2251820346044,0.5682497605352028,20.592569493363243,0.21000444170173097,58.20029120166528,0.6746629489228484,30.216895032981537,0.2938801545314195,57.829582784207474,0.6700567052161619,30.0371735591986,0.29222199183187336,668.6762342795075,8.326820813794088,668.0547278452939,8.331593382009466,670.3784288460233,8.360673707936503
3,fr_uniform,47.05135631358908,0.564228835605907,21.03150916474487,0.2105465328603099,56.245313170436404,0.6571662233719393,27.652700652686566,0.2702663842832833,55.721300035092554,0.6519521624007365,27.24518079707483,0.26695266764852077,667.7383272449663,8.317272209405271,668.042745203233,8.330741529440447,669.7711054916444,8.354138747137293
4,fr_uniform,47.236839016198644,0.5685384730879881,21.961987785692127,0.22901299171890677,57.079749951482185,0.6717137757751278,28.960266185720574,0.2933221658170492,56.59481044365219,0.6667121861982148,28.493397118331085,0.28916287322493384,668.3707641811893,8.325998636048926,667.8617426193989,8.329687015933176,669.783496351625,8.356431445321215
5,fr_uniform,47.57507065048398,0.5703652490774622,21.78235661009885,0.21983970995315097,57.991393638630726,0.6758280166410547,29.786589633777325,0.29438022382906853,57.35507353575346,0.6703814286662824,29.26240124462864,0.29139263155570944,668.5185271571972,8.334477064518362,667.621211475559,8.3316861056126,669.907368779889,8.36045961890558
6,fr_uniform,46.77355744333205,0.5702242253188234,19.50707535908329,0.21008395652718226,56.90600797448487,0.6727251312521721,28.10383250641174,0.28848346610430115,56.485251035250684,0.6673682568197645,27.95043376981191,0.2867793031621363,670.7243715899281,8.352284431316152,668.5725955247453,8.338496522898543,670.3671639499005,8.361481773810969
7,fr_uniform,46.73102202510821,0.564535418594511,20.58573287792398,0.21368592131025407,57.30098302811544,0.664680212096061,29.19963483575654,0.28349269814470973,56.69204781390331,0.6585718219448746,28.71936913040453,0.2790086922408108,667.8434431686326,8.322839421685421,668.3403492255206,8.333131400585396,670.2158010860386,8.357877424899051
8,fr_uniform,46.69418890518917,0.5642892042669774,20.278210374169383,0.21096457378634215,56.798976386655866,0.6679121724900192,28.391445872321917,0.28527424314262806,56.42461436986072,0.6639845441069296,28.102611034938143,0.2835222009518007,668.295323441707,8.326112249401575,667.9748786365838,8.330889970668432,670.0417759356535,8.356257674924946
9,fr_uniform,46.83473783320103,0.5631864980887566,20.83636678947738,0.21069882002966125,57.18301593730435,0.6693707419851838,28.87793683143518,0.28766633640509015,56.82530800338475,0.6660439507806554,28.673598935547368,0.28739577701883534,668.6954988258124,8.322699437971565,668.2274222357644,8.328167592160545,670.1500753286322,8.35418455216494
10,fr_uniform,46.74087056048716,0.5617401577712828,20.968956610703792,0.21063374257888332,57.3820124181056,0.6664839368167566,29.42946839562792,0.2862019614119225,56.970355398104516,0.6629341219916505,29.082829571393304,0.2841843383824741,667.3677205306925,8.319876785635154,668.0437181677464,8.335198175593156,670.0281164705688,8.361451219703921
11,fr_uniform,47.06932411805826,0.5668291111908863,20.560122838482698,0.21083247425323856,57.10116862458069,0.6669455537672533,28.67674775470071,0.2831264478187185,56.45746931096379,0.6612155513613043,28.157500985047037,0.2797543090755317,669.622992784209,8.33592770823786,668.6882004972587,8.333598340250296,670.4011494482328,8.35928071480545
12,fr_uniform,47.046745244029964,0.5653426415635143,20.847790379186407,0.2065791040066305,57.865965879843245,0.6721069450802734,29.82523415968301,0.28917919610454257,57.29236414691872,0.6669051689818067,29.443632719124174,0.2874570441578421,667.2870929731129,8.317720564847836,667.8383681937908,8.329561494763807,669.8292370890723,8.354633553110569
13,fr_uniform,46.46615565266274,0.557239543697163,20.161681311764372,0.19564414689481044,56.2464780370786,0.656194878016198,27.95666010914881,0.2724736607595546,55.94711669386902,0.6533768348774502,27.810587283604853,0.2724052231231536,668.2689013816571,8.322143772586749,667.6148315241026,8.326050163787208,669.3627774144165,8.35057650949923
14,fr_uniform,46.78591330201922,0.5625195390883757,20.224297461776565,0.20125333317919705,58.00287141508319,0.6678979952370594,29.781794475547606,0.2806263365285416,57.563774634869254,0.6631410114582738,29.4953071464466,0.27848583674525723,668.3701245771471,8.324764520823337,668.4284242672524,8.33396885531179,670.2783763151726,8.35829927136271
15,fr_uniform,47.992736470983175,0.5730879509447373,22.774729717992365,0.22504118587255573,58.170493626680766,0.674652251702286,30.36841707024749,0.2949728650398614,57.70377175133624,0.6697251690265758,30.01015086102444,0.2924300597129243,670.503190540056,8.347857058109321,668.7517601627846,8.341486256795061,670.743838014819,8.367246531212707
