step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,ess_predicted,fr_active,tv_to_unconstrained,mass_ess_unconstrained,row,seed
10500,A6c,0.20736601131850416,32,False,0.0,0.001667085589141022,0,0.0,False,0.5000000052929056,True,0.2565430265822205,0.08887947677694874,9,5209
10500,A6c,0.27521245468565264,32,False,0.0,0.0017319458082115692,0,0.0,False,0.5000000014145177,True,0.2589124270071973,0.09694388036703246,10,5210
10500,A6c,0.18455033524547834,32,False,0.0,0.001907874524224198,0,0.0,False,0.5000000045508733,True,0.27450030660975233,0.06993298381771727,11,5211
10500,A6c,0.18307056664754387,32,False,0.0,0.001684719908427175,0,0.0,False,0.500000004112248,True,0.28179876031769596,0.06438634656978166,12,5212
10500,A6c,0.2458685765472926,32,False,0.0,0.001944882894758024,0,0.0,False,0.5000000027198711,True,0.25503630677057443,0.10129169775374475,13,5213
10500,A6c,0.0,31,False,0.0,0.0014828925765325764,0,0.0,False,0.5000000032128752,True,0.2500235082609477,0.11060015815490372,14,5214
10500,A6c,0.23605533378936983,32,False,0.0,0.0016757361031771389,0,0.0,False,0.5000000021232894,True,0.2729940642474754,0.07059499518328079,15,5215
11000,A6c,0.3029112863912004,32,False,0.0,0.0019686478559530736,0,0.0,False,0.5000000008604893,True,0.2613112059738548,0.08358409469099895,0,5200
11000,A6c,0.0,30,False,0.0,0.0016612490262341174,0,0.0,False,0.5000000029465487,True,0.2593568465056895,0.08707735791583068,1,5201
11000,A6c,0.37156867725750553,32,False,0.0,0.001554340168841705,0,0.0,False,0.5000000000102072,True,0.25356355370488687,0.10625435203617674,2,5202
11000,A6c,0.0,31,False,0.0,0.0018274571391780812,0,0.0,False,0.5000000015347771,True,0.2549612968611672,0.1062703337715286,3,5203
11000,A6c,0.0,30,False,0.0,0.002213401072504835,0,0.0,False,0.500000003188701,True,0.2552599835333831,0.09426364337057726,4,5204
11000,A6c,0.3346697752393916,32,False,0.0,0.001696688634406693,0,0.0,False,0.5000000050659678,True,0.2546324437109953,0.08921282705760795,5,5205
11000,A6c,0.0,31,False,0.0,0.0019009481286522984,0,0.0,False,0.5000000027696349,True,0.25270437132811097,0.11270135099678999,6,5206
11000,A6c,0.0,31,False,0.0,0.0016582945328727963,0,0.0,False,0.5000000013016692,True,0.2534984810797478,0.08448718594478669,7,5207
11000,A6c,0.38314976260030886,32,False,0.0,0.0016742172659321183,0,0.0,False,0.5000000018936159,True,0.2575227070911562,0.0910331829386651,8,5208
11000,A6c,0.25717217325197655,32,False,0.0,0.0016984518585722807,0,0.0,False,0.500000004863188,True,0.25698216411563757,0.08914159988438514,9,5209
