stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.11194968223571777,-1.5673342049121857,-8.648814678192139,0.7137258946895599,0.714285671710968,64603935.0,-1.5390979051589966,-8.81790828704834,0.7620161619705393
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.10314465314149857,-1.6387036740779877,-7.562261700630188,0.7027743309736252,0.714285671710968,64870093.0,-1.6060888767242432,-7.747419834136963,0.8712680755343021
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.09433962404727936,-1.7007428705692291,-6.5294941663742065,0.6927437335252762,0.714285671710968,65097335.0,-1.6730798482894897,-6.676931381225586,0.9961836734305307
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.08553458750247955,-1.7539127469062805,-5.547666430473328,0.6838058978319168,0.714285671710968,65286558.0,-1.7323201894760132,-5.652304649353027,1.1214887627054542
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.07672955840826035,-1.7986507415771484,-4.614244103431702,0.6760546714067459,0.714285671710968,65438288.0,-1.7716307640075684,-4.745610237121582,1.2132202694408458
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.06792452931404114,-1.83537358045578,-3.7270857095718384,0.6695090979337692,0.714285671710968,65556207.0,-1.8109411001205444,-3.8389153480529785,1.3124542744175662
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.05911949649453163,-1.8644809424877167,-2.8844472765922546,0.6641214787960052,0.714285671710968,65645928.0,-1.8479148149490356,-2.9466609954833984,1.4131854010013576
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.050314463675022125,-1.8863585591316223,-2.084904968738556,0.6597890704870224,0.714285671710968,65713856.0,-1.8638594150543213,-2.184368133544922,1.458977001475026
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.04150943458080292,-1.9013811349868774,-1.3273614048957825,0.6563687026500702,0.714285671710968,65766433.0,-1.8798038959503174,-1.4220738410949707,1.5062520330479796
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.03270440176129341,-1.9099144339561462,-0.610917717218399,0.6536927372217178,0.714285671710968,65809014.0,-1.8957483768463135,-0.6597796678543091,1.5550589109817492
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.023899370804429054,-1.9123166501522064,0.06527536734938622,0.6515855044126511,0.714285671710968,65845581.0,-1.8937662839889526,-0.01962733268737793,1.5489065712268495
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.015094339847564697,-1.9089381396770477,0.7021306604146957,0.6498783677816391,0.714285671710968,65877408.0,-1.8902251720428467,0.6099063158035278,1.5379756215073512
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,-0.006289307959377766,-1.9001210033893585,1.3006225228309631,0.6484231501817703,0.714285671710968,65906334.0,-1.8866841793060303,1.2394390106201172,1.527122177824683
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.002515723230317235,-1.8861987590789795,1.86171093583107,0.6471022665500641,0.714285671710968,65931403.0,-1.871309757232666,1.7825074195861816,1.4808795333640032
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.011320754885673523,-1.867496907711029,2.386285662651062,0.6458353251218796,0.714285671710968,65952422.0,-1.8517775535583496,2.2951979637145996,1.4241452130019745
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.02012578584253788,-1.8443337976932526,2.875054121017456,0.6445819288492203,0.714285671710968,65969321.0,-1.8322454690933228,2.8078887462615967,1.369584780922246
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.028930816799402237,-1.8170222342014313,3.328572690486908,0.6433406323194504,0.714285671710968,65981087.0,-1.8055362701416016,3.259007453918457,1.2983434937730793
pilot,b2_h2_w2_n10_a1.5,fr_uniform,2.0,2.0,100,0.03773584961891174,-1.7858702540397644,3.7473671436309814,0.6421441435813904,0.714285671710968,65985885.0,-1.7731881141662598,3.6617488861083984,1.2170049780559566
