run_id,stage,name,method,seed,n_steps,n_replicas,beta,h,w,n_dim,M,a,beta_h,physics_tag,fr_rate,target_ema_rate,max_event_fraction,fr_every,fr_start_steps,score_clip,config_hash,core_version,had_nan,device,cuda_visible_devices,total_replacement_events,l2_f,l2_fp,integrated_l2_f,l2_f_compact,l2_f_transition,l2_f_stretched,l2_fp_compact,l2_fp_transition,l2_fp_stretched,marginal_l2_uniform,marginal_l2_target,marginal_l2_ref,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,n_fr_applications,deaths_per_fr_application,clones_per_fr_application,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,runtime_seconds,wall_seconds
pilot__abf__b2_h4_w2_n10_a1.5__seed0__N1024__T120000__d6e43bd3d928,pilot,abf,abf,0,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,b2_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.015465278188450969,0.0980743936811303,24.468873790979675,0.015592832164010162,0.008220419116383696,0.022041126857066107,0.149417625593056,0.053158498063176074,0.07964449424297187,0.11889208328533915,nan,1.1127842367227794,487982,487405,975387,487405,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,240.70769863016903,240.71108266152442
pilot__abf__b2_h4_w2_n10_a1.5__seed1__N1024__T120000__d7f775f53cec,pilot,abf,abf,1,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,b2_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.012430018956522309,0.08984429798863629,22.173968401756085,0.012933589925798772,0.00823976164258271,0.016420294877642953,0.15028909322256817,0.033024769852292586,0.06026849210726872,0.09945688905211662,nan,1.1037223501418965,490312,489767,980079,489767,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.39212065190077,243.39546963293105
pilot__abf__b2_h4_w2_n10_a1.5__seed2__N1024__T120000__0f52f95b747e,pilot,abf,abf,2,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,b2_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.014521050691759269,0.09584006545093618,26.104242943646543,0.014163565184206818,0.009163115945879308,0.020179579041767027,0.15074986420756326,0.04125884314307379,0.0791667225217873,0.09049894667155717,nan,1.1122679496925711,485577,485038,970615,485038,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,242.8881633207202,242.89154977165163
pilot__abf__b2_h4_w2_n10_a1.5__seed3__N1024__T120000__ff2cb7708988,pilot,abf,abf,3,120000,1024,2.0,4.0,2.0,10,100,1.5,8.0,b2_h4_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.013565048920467303,0.09825158971940182,21.501665586766144,0.015035903799767105,0.008983181175467854,0.01713971027246144,0.15883560710563902,0.0513410473538854,0.06325310987711281,0.08550377603459854,nan,1.1360433186979382,482597,482036,964633,482036,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.47634426038712,243.479691112414
pilot__abf__b4_h1_w2_n10_a1.5__seed0__N1024__T120000__730895858889,pilot,abf,abf,0,120000,1024,4.0,1.0,2.0,10,100,1.5,4.0,b4_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.0036592504400787844,0.025468650023705366,12.330291780229476,0.004488887091357085,0.004055704277318409,0.0016714704490518324,0.02822942495389304,0.029440511408243008,0.012520387993931974,0.06843764562620502,nan,0.8421689683226276,337388,336843,674231,336843,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,244.7174243927002,244.72083837352693
pilot__abf__b4_h1_w2_n10_a1.5__seed1__N1024__T120000__933d7e248489,pilot,abf,abf,1,120000,1024,4.0,1.0,2.0,10,100,1.5,4.0,b4_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.004069451982356001,0.024440435696262478,12.152304031563265,0.005486810414601432,0.004194869755492528,0.0014462085980953018,0.025601786268488903,0.029393231727280464,0.012517621870291228,0.08851931383641388,nan,0.8289738396043509,339594,339031,678625,339031,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.73306848667562,243.73638070747256
pilot__abf__b4_h1_w2_n10_a1.5__seed2__N1024__T120000__39b3ce84f7a4,pilot,abf,abf,2,120000,1024,4.0,1.0,2.0,10,100,1.5,4.0,b4_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,b59e1b1ca748,wca_phase_v1,False,cuda,4,0,0.0053943723862695196,0.029010152376075092,10.887341050957302,0.007789520128114592,0.005059135750008321,0.0018616579290880277,0.034980073453671934,0.03201548514790476,0.014595053630934975,0.07266910350343088,nan,0.8415098467214479,343301,342751,686052,342751,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,245.09283696953207,245.09632215090096
pilot__abf__b4_h1_w2_n10_a1.5__seed3__N1024__T120000__c27f2e96798b,pilot,abf,abf,3,120000,1024,4.0,1.0,2.0,10,100,1.5,4.0,b4_h1_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,43463770f6e5,wca_phase_v1,False,cuda,7,0,0.0038490675519510806,0.023240600699798913,13.367964008239825,0.0047940773968223405,0.003947235728531608,0.0023908942537982057,0.023499897224134928,0.025113329507102152,0.019386930230100297,0.10197957576544499,nan,0.820704678221477,334946,334382,669328,334382,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.6130397664383,243.61642673704773
pilot__abf__b4_h2_w2_n10_a1.5__seed0__N1024__T120000__0702218a5b9a,pilot,abf,abf,0,120000,1024,4.0,2.0,2.0,10,100,1.5,8.0,b4_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,fdfc8fc87c33,wca_phase_v1,False,cuda,4,0,0.007016206367723076,0.040042812619634646,19.776925672532105,0.008394032729282866,0.006753098213617615,0.005886938744288145,0.055264886136693316,0.029859226907117477,0.03479114321626503,0.08157573698129662,nan,1.1442987779030083,320901,320355,641256,320355,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,244.5471803639084,244.55048680584878
pilot__abf__b4_h2_w2_n10_a1.5__seed1__N1024__T120000__be9071ee3e83,pilot,abf,abf,1,120000,1024,4.0,2.0,2.0,10,100,1.5,8.0,b4_h2_w2_n10_a1.5,0.0,0.005,0.02,5,20000,2.0,390450b69204,wca_phase_v1,False,cuda,7,0,0.008949418030933737,0.043991261589511915,16.732997262629382,0.012905540205614964,0.008171699274211165,0.003912438874469818,0.06600342888467639,0.03523908168194239,0.023735213120668754,0.0806239544263434,nan,1.1481296472182179,320737,320179,640916,320179,0.0,0.0,0,0.0,0.0,nan,nan,1024,nan,nan,243.6217324398458,243.62496719043702
