stage,method,physics_tag,beta,h,M,seed,n_replicas,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,max_ancestor_frac_over_time,ess_fraction
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,1,1024,235.21220278151637,231.78072502210432,394,0.0146484375,0.017578125,0.22969941677882458
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,2,1024,208.4644135188867,208.4644135188867,364,0.015625,0.015625,0.20357852882703778
pilot,fr_uniform,b2_h4_w2_n10_a1.5,2.0,4.0,100,3,1024,213.73338768854464,213.73338768854464,372,0.0166015625,0.0166015625,0.20872401141459437
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,0,1024,230.6590409150902,230.6590409150902,367,0.0126953125,0.015625,0.22525296964364278
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,1,1024,225.01630901287552,225.01630901287552,377,0.0146484375,0.0146484375,0.21974248927038625
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,2,1024,243.5150952159777,243.5150952159777,386,0.0107421875,0.0107421875,0.23780771017185323
pilot,fr_uniform,b4_h1_w2_n10_a1.5,4.0,1.0,100,3,1024,227.25964456003467,227.25964456003467,370,0.0166015625,0.0166015625,0.22193324664065886
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,0,1024,217.63719385637194,217.63719385637194,344,0.0126953125,0.0146484375,0.21253632212536322
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,1,1024,190.5808796801163,190.5808796801163,335,0.017578125,0.0185546875,0.18611414031261359
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,2,1024,224.63067694944303,224.63067694944303,370,0.0126953125,0.0166015625,0.21936589545844046
pilot,fr_uniform,b4_h2_w2_n10_a1.5,4.0,2.0,100,3,1024,201.95993836671803,201.95993836671803,340,0.0224609375,0.0234375,0.19722650231124808
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,0,1024,171.2240365774004,171.2240365774004,290,0.021484375,0.021484375,0.16721097322011758
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,1,1024,145.27237461900805,145.27237461900805,279,0.017578125,0.0185546875,0.14186755333887505
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,2,1024,150.6141913243321,150.6141913243321,272,0.01953125,0.0224609375,0.14708417121516806
pilot,fr_uniform,b4_h4_w2_n10_a1.5,4.0,4.0,100,3,1024,180.78896551724137,180.78896551724137,321,0.017578125,0.017578125,0.17655172413793102
