=== sweep CHANNEL  fe=2.56e+07  floor=0.00353 ===
     lift n_cond  anneal  reset   kappa  theta |       I_F   e_F_fin    /fl    chan   cov   ess
   oracle     25    None   None     0.5    0.0 |   0.00429   0.00377    1.1  0.0397  1.00  1.00
   oracle     25    None   None     0.5    0.3 |   0.00445   0.00378    1.1  0.0252  1.00  1.00
   oracle     25    None   None     0.5    0.6 |   0.00414   0.00359    1.0  0.0378  0.99  1.00
   oracle     25    None   None     2.0    0.0 |   0.00417   0.00368    1.0  0.0307  1.00  1.00
   oracle     25    None   None     2.0    0.3 |   0.00456   0.00358    1.0  0.0354  0.98  1.00
   oracle     25    None   None     2.0    0.6 |   0.00416   0.00377    1.1  0.0379  1.00  1.00
   oracle     25    None   None     8.0    0.0 |   0.00432   0.00375    1.1  0.0272  1.00  1.00
   oracle     25    None   None     8.0    0.3 |   0.00465   0.00363    1.0  0.0387  1.00  1.00
   oracle     25    None   None     8.0    0.6 |   0.00461   0.00372    1.1  0.0432  1.00  1.00
   [118s]

BEST {'lift': 'oracle', 'n_cond': 5, 'anneal': None, 'reset': None, 'kappa': 2.0, 'theta': 0.0, 'I_F': 0.0036348873277143815, 'e_F_final': 0.0036134295935259303, 'chan': 0.029777417366640337, 'cov': 1.0, 'ess': 1.0}
