stage,physics_tag,method,beta,h,M,z,F,Fp,p,q,neff,ref_F,ref_Fp,ref_p
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.028930816799402237,-1.3641458749771118,1.4836977124214172,0.8945173919200897,0.03675196133553982,229804.796875,-0.8854116797447205,0.984848141670227,2.2664014096882985
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.03773584961891174,-1.3500005602836609,1.729322075843811,0.8615734875202179,0.036809870041906834,226455.59375,-0.8734906315803528,1.1870663166046143,2.1608660682797227
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.04654087871313095,-1.3337595462799072,1.9597039222717285,0.8313297033309937,0.03719582315534353,223173.53125,-0.8615695238113403,1.3892838954925537,2.0602445055957928
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.05534591153264046,-1.3155664801597595,2.172725796699524,0.8039164841175079,0.03790367767214775,219961.6171875,-0.8496484160423279,1.5915019512176514,1.9643084248237594
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.06415094435214996,-1.295580506324768,2.3669488430023193,0.7794025242328644,0.0389314703643322,216856.5078125,-0.8377273082733154,1.7937202453613281,1.8728396446895383
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.07295597344636917,-1.273966372013092,2.5425225496292114,0.7578027248382568,0.040281254798173904,213893.2109375,-0.825806200504303,1.9959381818771362,1.7856301436143043
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.08176100999116898,-1.2508800625801086,2.7013702392578125,0.7390881776809692,0.041639016941189766,211073.15625,-0.8119667768478394,2.1720800399780273,1.6894679889560278
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.09056603908538818,-1.2264557480812073,2.846440315246582,0.7231974899768829,0.042000437155365944,208340.203125,-0.7904538512229919,2.2439146041870117,1.5501659309721132
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.09937106817960739,-1.2008024454116821,2.980521082878113,0.7100476622581482,0.04260645899921656,205574.6015625,-0.7689408659934998,2.315749406814575,1.4223494356399842
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.1081760972738266,-1.1740086674690247,3.1054840087890625,0.6995433568954468,0.043448420241475105,202611.765625,-0.7474278807640076,2.3875842094421387,1.3050718485321786
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.1169811338186264,-1.1461507081985474,3.2222477197647095,0.6915825307369232,0.04452269710600376,199287.28125,-0.7259150147438049,2.459418773651123,1.197464771531375
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.1257861703634262,-1.1172999143600464,3.3310216665267944,0.6860602796077728,0.0458298958837986,195495.6171875,-0.7044020295143127,2.5312538146972656,1.098729695935405
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.13459119200706482,-1.0875285863876343,3.4313186407089233,0.6828687787055969,0.047373853623867035,191231.953125,-0.6828890442848206,2.603088617324829,1.0081356658087515
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.14339622855186462,-1.0569173097610474,3.5218095779418945,0.6818950176239014,0.049159757792949677,186589.2890625,-0.6613761186599731,2.6749234199523926,0.9250116445830389
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.15220126509666443,-1.0255622267723083,3.600282311439514,0.68301722407341,0.051087142899632454,181718.421875,-0.6393540501594543,2.7253851890563965,0.8470147019448985
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.16100628674030304,-0.9935809671878815,3.664036512374878,0.6860998272895813,0.05292610079050064,176767.75,-0.6158049702644348,2.71172833442688,0.77087153051358
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.16981132328510284,-0.9611144065856934,3.7105023860931396,0.6909886002540588,0.054964454844594,171839.5625,-0.592255711555481,2.6980714797973633,0.7015728182242386
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.17861634492874146,-0.928322434425354,3.7379549741744995,0.6975066661834717,0.05718081817030907,166971.8203125,-0.5687066912651062,2.6844143867492676,0.6385044319202116
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.18742138147354126,-0.895374059677124,3.746039390563965,0.7054513990879059,0.05954521894454956,162152.2734375,-0.5451574921607971,2.670757293701172,0.5811052073149644
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.19622641801834106,-0.8624336123466492,3.7361440658569336,0.7145929336547852,0.062020547688007355,157347.75,-0.521608293056488,2.6571004390716553,0.5288659640983747
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.20503143966197968,-0.8296461999416351,3.7112762928009033,0.7246741354465485,0.06456499360501766,152544.421875,-0.49805909395217896,2.6434433460235596,0.4813228387232535
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.21383647620677948,-0.7971261143684387,3.6754461526870728,0.7354118824005127,0.0671363566070795,147779.40625,-0.4745098948478699,2.629786252975464,0.4380536672870815
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.22264151275157928,-0.7649513185024261,3.632821559906006,0.7465009689331055,0.06985710747539997,143151.359375,-0.4515346884727478,2.6079249382019043,0.39959063294565267
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.2314465343952179,-0.7331650853157043,3.587191104888916,0.7576183378696442,0.0729399174451828,138807.015625,-0.429898738861084,2.5669198036193848,0.3664627235862903
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.2402515709400177,-0.7017800807952881,3.5416945219039917,0.7684305310249329,0.07600780017673969,134909.31640625,-0.408262699842453,2.525914430618286,0.33608115075346806
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.2490566074848175,-0.6707857251167297,3.4984447956085205,0.7786017060279846,0.07905269041657448,131606.91015625,-0.386626660823822,2.4849090576171875,0.30821836061909597
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.2578616440296173,-0.6401597261428833,3.458037853240967,0.7878048121929169,0.08207229152321815,129008.3046875,-0.3649906516075134,2.443903923034668,0.2826655673323389
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.2666666805744171,-0.6098802983760834,3.4197146892547607,0.7957330644130707,0.08506401255726814,127164.59375,-0.34335464239120483,2.4028985500335693,0.2592312242360384
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.27547168731689453,-0.5799318552017212,3.382862091064453,0.8021135330200195,0.08802083879709244,126046.2109375,-0.3217187523841858,2.361893653869629,0.23773981492328122
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.28427672386169434,-0.5502951741218567,3.3488932847976685,0.806721031665802,0.09093435108661652,125525.05078125,-0.3000827431678772,2.3208882808685303,0.21803003405700108
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.29308176040649414,-0.520927369594574,3.3217822313308716,0.8093911111354828,0.09426407143473625,125372.96484375,-0.27966704964637756,2.2737221717834473,0.20093270482147946
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.30188679695129395,-0.49174733459949493,3.3062524795532227,0.810032308101654,0.09849131852388382,125295.0859375,-0.2615175247192383,2.215113639831543,0.18686229410249786
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.31069183349609375,-0.4626429080963135,3.304632544517517,0.8086340129375458,0.10284458100795746,124991.7890625,-0.2433679848909378,2.1565051078796387,0.17377716040315624
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.31949687004089355,-0.43350347876548767,3.3141748905181885,0.8052719831466675,0.10739190131425858,124228.51171875,-0.22521845996379852,2.0978965759277344,0.16160832993514887
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.32830187678337097,-0.4042683392763138,3.326377034187317,0.8001072406768799,0.11219747364521027,122884.640625,-0.20706892013549805,2.03928804397583,0.15029161880150088
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3371069133281708,-0.374968558549881,3.328852653503418,0.7933803200721741,0.11729241907596588,120964.47265625,-0.18891938030719757,1.9806795120239258,0.13976736651532584
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3459119498729706,-0.3457435220479965,3.3094037771224976,0.7853990793228149,0.12265058979392052,118569.01171875,-0.17076991498470306,1.9220712184906006,0.12998011945223706
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3547169864177704,-0.31681886315345764,3.260624408721924,0.7765211760997772,0.12818186357617378,115844.33984375,-0.1526203751564026,1.8634626865386963,0.12087819094676772
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3635220229625702,-0.2884528636932373,3.182505249977112,0.767132580280304,0.13488295301795006,112932.48828125,-0.13658609986305237,1.7913044691085815,0.11336880338079754
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3723270297050476,-0.2608764171600342,3.081302523612976,0.7576217353343964,0.14336610585451126,109945.98046875,-0.12372482568025589,1.698821783065796,0.10768401528506992
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3811320662498474,-0.23425628244876862,2.9652692079544067,0.7483540177345276,0.15184927731752396,106973.80078125,-0.11086354404687881,1.6063389778137207,0.1022842832995458
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.3899371027946472,-0.2086976021528244,2.8402011394500732,0.7396459579467773,0.1601690985262394,104101.71484375,-0.09800227731466293,1.5138561725616455,0.0971553225053314
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.398742139339447,-0.18427324295043945,2.7076131105422974,0.731743186712265,0.16816337779164314,101423.25390625,-0.0851408988237381,1.421372652053833,0.09228350795440292
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.4075471758842468,-0.16105467081069946,2.5663163661956787,0.7248034775257111,0.1756662055850029,99029.02734375,-0.07227962464094162,1.3288898468017578,0.08765602515660853
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.41635221242904663,-0.13912133872509003,2.4156805276870728,0.7188867032527924,0.18251068145036697,96978.19921875,-0.05941825360059738,1.2364064455032349,0.08326055152999408
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.42515721917152405,-0.1185455173254013,2.257983088493347,0.7139535844326019,0.18854175508022308,95272.2890625,-0.0465569794178009,1.1439236402511597,0.07908551767529612
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.43396225571632385,-0.09936678409576416,2.0983269214630127,0.7098732590675354,0.19628524035215378,93845.99609375,-0.037098322063684464,1.0374561548233032,0.07614924310666986
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.44276729226112366,-0.081576868891716,1.9425248503684998,0.7064396142959595,0.20655253529548645,92580.0078125,-0.031798530369997025,0.913894534111023,0.07455193324082739
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.45157232880592346,-0.06512299180030823,1.79485684633255,0.7033955752849579,0.21609744429588318,91324.625,-0.026498783379793167,0.7903339266777039,0.07298814166813752
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.46037736535072327,-0.04992523789405823,1.657202959060669,0.7004633247852325,0.22481507062911987,89924.671875,-0.021198993548750877,0.6667723655700684,0.07145713973721786
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.46918240189552307,-0.035894975066185,1.5296600461006165,0.6973772644996643,0.23263897746801376,88238.28125,-0.01589924469590187,0.5432117581367493,0.06995826362588627
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.4779874086380005,-0.022946611046791077,1.4114789962768555,0.6939172148704529,0.23954713344573975,86156.625,-0.010599497705698013,0.4196511209011078,0.06849082826448823
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.4867924451828003,-0.011002868413925171,1.3014565110206604,0.689937025308609,0.2455584928393364,83631.01953125,-0.005299748852849007,0.2960904836654663,0.06705417313515498
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.4955974817276001,0.0,1.197765827178955,0.685387134552002,0.25071463733911514,80701.1640625,0.0,0.17252984642982483,0.06564765310584814
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5044025182723999,0.010105475783348083,1.0976276695728302,0.6803260147571564,0.2595766633749008,77508.0,0.0009054997935891151,0.04697582870721817,0.06541030745285556
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5132075548171997,0.019328832626342773,0.9973883032798767,0.674919605255127,0.2725894823670387,74269.28125,-0.002583462977781892,-0.08056975901126862,0.06632956354375971
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5220125913619995,0.02765311300754547,0.8934129774570465,0.6694284975528717,0.28529175370931625,71221.51953125,-0.006072452291846275,-0.2081162929534912,0.06726174571472246
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5308176279067993,0.035036101937294006,0.7835769653320312,0.6641822159290314,0.2975440248847008,68548.150390625,-0.009561415761709213,-0.335661917924881,0.06820702153295333
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5396226644515991,0.041427358984947205,0.668147474527359,0.6595437526702881,0.3091773986816406,66329.1953125,-0.013050404377281666,-0.4632084369659424,0.06916558892270545
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5484277009963989,0.046785905957221985,0.5490081906318665,0.6558677554130554,0.32001667469739914,64532.7578125,-0.01653936691582203,-0.5907540321350098,0.07013762050459867
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.557232677936554,0.051086410880088806,0.42781877517700195,0.6534562408924103,0.32989850640296936,63043.61328125,-0.02002830244600773,-0.7182986736297607,0.0711233050310221
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5660377144813538,0.054312244057655334,0.30490563809871674,0.652517557144165,0.3386777490377426,61709.583984375,-0.023517291992902756,-0.8458452224731445,0.07212285753526038
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5748427510261536,0.056445762515068054,0.17970678210258484,0.6531325876712799,0.3524821698665619,60383.763671875,-0.031480371952056885,-0.9609260559082031,0.07445711628671159
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5836477875709534,0.05746476352214813,0.05175180733203888,0.6552335917949677,0.3706887513399124,58957.81640625,-0.0431043803691864,-1.0658087730407715,0.0780008226172096
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.5924528241157532,0.05734457075595856,-0.07905523478984833,0.6585971117019653,0.3881911337375641,57384.396484375,-0.05472830682992935,-1.1706907749176025,0.08171316104965602
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.601257860660553,0.05605916678905487,-0.21289578825235367,0.6628534197807312,0.4047999829053879,55687.099609375,-0.06635231524705887,-1.275573492050171,0.08560221102281954
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6100628972053528,0.0535799115896225,-0.35024239122867584,0.6675114035606384,0.42029376327991486,53950.12109375,-0.07797623425722122,-1.3804552555084229,0.08967632407390669
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6188679337501526,0.04987703263759613,-0.4908357113599777,0.6719969511032104,0.434401735663414,52283.302734375,-0.08960016071796417,-1.485337257385254,0.0939443414251318
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6276729702949524,0.044934943318367004,-0.6317197680473328,0.6756998300552368,0.4468270391225815,50774.740234375,-0.10122416913509369,-1.5902199745178223,0.09841552126697212
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6364780068397522,0.03878037631511688,-0.7662425935268402,0.6780266463756561,0.45732441544532776,49452.875,-0.11284809559583664,-1.6951018571853638,0.10309946830355145
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.645283043384552,0.03150679171085358,-0.8858945667743683,0.6784511506557465,0.4730866700410843,48277.267578125,-0.12835165858268738,-1.7849714756011963,0.1096955154000355
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6540880799293518,0.02327290177345276,-0.984375,0.6765594482421875,0.49233478307724,47158.27734375,-0.14644154906272888,-1.8648312091827393,0.1179272663766344
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6628930568695068,0.014269188046455383,-1.0607515573501587,0.6720843315124512,0.5105474591255188,45989.462890625,-0.1645314246416092,-1.9446910619735718,0.12677673536095113
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6716980934143066,0.004672497510910034,-1.1190648674964905,0.664925754070282,0.5280216187238693,44676.767578125,-0.1826213151216507,-2.0245509147644043,0.13629029214868096
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6805031299591064,-0.005382433533668518,-1.1648367047309875,0.6551564335823059,0.5450679808855057,43159.904296875,-0.2007112056016922,-2.1044106483459473,0.14651776353987228
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.6893081665039062,-0.015800639986991882,-1.2015823721885681,0.6430123448371887,0.561954915523529,41430.765625,-0.21880124509334564,-2.1842713356018066,0.15751281686967772
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.698113203048706,-0.02650660276412964,-1.2302181720733643,0.6288692653179169,0.5788924694061279,39545.48046875,-0.23689112067222595,-2.2641310691833496,0.16933285501987738
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7069182395935059,-0.03743202984333038,-1.2514126896858215,0.6132097840309143,0.5960160493850708,37617.69140625,-0.254981130361557,-2.34399151802063,0.18203998722616305
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7157232761383057,-0.0485234260559082,-1.2679197788238525,0.5965839326381683,0.6203325539827347,35784.916015625,-0.275906503200531,-2.401049852371216,0.19793285644764305
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7245283126831055,-0.05975741147994995,-1.2837979793548584,0.5795671939849854,0.6491237729787827,34157.890625,-0.2983587980270386,-2.4458298683166504,0.21653171875000232
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7333333492279053,-0.0711350291967392,-1.3005796074867249,0.5627211630344391,0.6784983277320862,32781.1025390625,-0.3208112418651581,-2.490610122680664,0.23687837387152347
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7421383857727051,-0.0826461911201477,-1.3140973448753357,0.54655921459198,0.7082234174013138,31627.341796875,-0.34326350688934326,-2.5353901386260986,0.25913674078780197
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7509434223175049,-0.09422330558300018,-1.3155605792999268,0.5315206050872803,0.7383336126804352,30627.1728515625,-0.36571595072746277,-2.5801703929901123,0.283486826422193
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7597483992576599,-0.10572455823421478,-1.2968654334545135,0.5179548114538193,0.769279271364212,29712.498046875,-0.3881680965423584,-2.6249499320983887,0.3101246265133331
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7685534358024597,-0.11696699261665344,-1.2567688822746277,0.506114661693573,0.8018867671489716,28850.16796875,-0.4106205105781555,-2.6697304248809814,0.3392658077659147
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7773584723472595,-0.12779970467090607,-1.2038037776947021,0.49615979194641113,0.8370946645736694,28051.77734375,-0.4330728054046631,-2.714510440826416,0.37114509327607975
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7861635088920593,-0.13817717134952545,-1.1533645391464233,0.4881666600704193,0.8768696784973145,27361.9443359375,-0.45588505268096924,-2.7068848609924316,0.40660494471760983
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.7949685454368591,-0.14818578958511353,-1.1200202107429504,0.48214390873908997,0.9208516478538513,26832.3818359375,-0.4788517951965332,-2.676797866821289,0.4457280587524044
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8037735819816589,-0.15800388157367706,-1.1100859940052032,0.4780493676662445,0.968233585357666,26494.5908203125,-0.5018183588981628,-2.6467111110687256,0.4886152095244572
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8125786185264587,-0.16782218217849731,-1.1200834512710571,0.47580698132514954,1.0184122920036316,26343.1015625,-0.5247851014137268,-2.616624355316162,0.5356292677883986
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8213836550712585,-0.17777849733829498,-1.141421526670456,0.47531990706920624,1.0707587599754333,26337.2412109375,-0.5477516651153564,-2.5865375995635986,0.5871665509243604
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8301886916160583,-0.18793721497058868,-1.1660597622394562,0.4764793962240219,1.124846637248993,26419.18359375,-0.5707183480262756,-2.556450605392456,0.6436629655144257
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8389937281608582,-0.19830407202243805,-1.1886955797672272,0.47916749119758606,1.180539757013321,26537.349609375,-0.5936849117279053,-2.5263638496398926,0.7055950564078508
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.847798764705658,-0.20884428173303604,-1.2054367363452911,0.4832536578178406,1.2380096912384033,26663.0478515625,-0.6166514754295349,-2.496277093887329,0.7734861415077641
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8566038012504578,-0.21948370337486267,-1.2112286984920502,0.4885871410369873,1.2782915830612183,26794.193359375,-0.6358405351638794,-2.4033865928649902,0.8351939657509575
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8654087781906128,-0.23009224236011505,-1.198419839143753,0.49498535692691803,1.3135420680046082,26946.2724609375,-0.6537701487541199,-2.2895612716674805,0.8972929941280555
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8742138147354126,-0.2404661923646927,-1.1579475104808807,0.5022220611572266,1.3512693047523499,27133.94921875,-0.6716999411582947,-2.1757349967956543,0.9640099500297419
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8830188512802124,-0.2503305524587631,-1.08266681432724,0.5100163519382477,1.3932116627693176,27351.8046875,-0.6896294951438904,-2.0619094371795654,1.0356865634460979
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.8918238878250122,-0.25936929881572723,-0.9704199135303497,0.5180265605449677,1.4415175914764404,27563.578125,-0.7075591683387756,-1.9480839967727661,1.1126930475640842
smoke,b4_h1_w2_n7_a1.5,fr_oracle,4.0,1.0,49,0.900628924369812,-0.26727159321308136,-0.8245305418968201,0.5258494913578033,1.4985783696174622,27708.3447265625,-0.7254889011383057,-1.8342576026916504,1.1954254858348194
