stage,method,physics_tag,beta,h,M,seed,n_steps,t,l2_f,l2_fp,repl_cumulative,frac_compact,frac_transition,frac_stretched,ancestor_ess,max_ancestor_frac
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,3.2,0.5571850397110505,4.44891980062803,0.0,0.6354166666666666,0.3020833333333333,0.0625,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,3.6,0.5347698301790381,1.6425667092420344,0.0,0.6041666666666666,0.3229166666666667,0.07291666666666667,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,0,2000,4.0,0.48608812797145445,1.6788058818860327,0.0,0.6041666666666666,0.2916666666666667,0.10416666666666667,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,0.0,1.2649653194666513,8.264097593471988,0.0,1.0,0.0,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,0.4,1.8627067702538058,7.554077225685124,0.0,1.0,0.0,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,0.8,2.1133360787611672,7.064106967885396,0.0,0.9270833333333334,0.07291666666666667,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,1.2,2.0447723396380764,7.956587916489761,0.0,0.8229166666666666,0.17708333333333334,0.0,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,1.6,0.6245698272849537,3.9403570986085152,0.0,0.78125,0.20833333333333334,0.010416666666666666,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,2.0,0.7101877494941676,3.8447743815276905,0.0,0.7916666666666666,0.17708333333333334,0.03125,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,2.4,0.574471967611062,1.917562545104196,0.0,0.7083333333333334,0.25,0.041666666666666664,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,2.8000000000000003,0.5132449819523329,2.115675398368472,0.0,0.6875,0.2708333333333333,0.041666666666666664,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,3.2,0.44031395088336456,1.6693720333572033,0.0,0.6875,0.23958333333333334,0.07291666666666667,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,3.6,0.43023243373953135,1.4450224795985032,0.0,0.65625,0.2916666666666667,0.052083333333333336,nan,nan
smoke,abf,b4_h4_w2_n7_a1.5,4.0,4.0,49,1,2000,4.0,0.38718769881330894,1.4322122569455258,0.0,0.6770833333333334,0.22916666666666666,0.09375,nan,nan
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,0.0,0.6579761210970665,4.0824454799724,0.0,1.0,0.0,0.0,96.0,0.010416666666666666
smoke,fr_estimated,b1_h1_w2_n7_a1.5,1.0,1.0,49,0,2000,0.4,3.294117542907629,10.621391571798798,0.0,0.875,0.125,0.0,96.0,0.010416666666666666
