seed,init,region,k,pilot_population,first_touch_ps,T_hit_ps,T_hit_frac,T_est_ps,T_est_frac,occ_over_target_final,occ_over_target_secondhalf,mean_occupancy,mean_target,max_rel_deficit_after_hit,max_rel_deficit_second_half,frac_below_half_target,integrated_deficit,entries_corridor_aware,entries_naive,first_entry_ps,final_pmf_err_kT,integrated_pmf_err_kT,marginal_tv
4,concentrated,B1,1,0.18978722028284603,0.0,0.0,0.0,24.0,0.08,1.0351930698960579,0.9193163145965653,0.11832873986111399,0.1256240604786114,0.8662874924322631,0.27335865986485536,0.006622516556291391,3.9758443842521456,1403,66684,0.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
4,concentrated,B2,2,0.18404660798157213,0.0,0.0,0.0,40.0,0.13333333333333333,1.1052447604536804,1.0779335283174465,0.14677469929711762,0.13594602500769012,0.9045424381023194,0.11797736347596754,0.026490066225165563,2.43632041293294,1976,96066,0.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
4,concentrated,B3,3,0.09004080251099764,4.751,6.0,0.02,10.0,0.03333333333333333,1.2563233535977394,1.0959279661056591,0.15000527501865665,0.14476708678394862,0.914540332574867,0.15099974638478905,0.013245033112582781,4.5988315614909405,1573,0,6.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
4,concentrated,B4,4,0.07008868272110982,0.0,0.0,0.0,32.0,0.10666666666666667,1.0992241297371457,1.1204217254251478,0.10268101000748861,0.09285273182798097,0.8050398778302597,0.15547258271026299,0.006622516556291391,1.410346445052503,1207,71571,0.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
4,concentrated,B5,5,0.037994473226984134,0.0,0.0,0.0,28.0,0.09333333333333334,0.993396001397631,0.8766349932173979,0.08418509903931949,0.09362866194431019,0.8972444675279092,0.30381890384576427,0.013245033112582781,4.2208230363670936,758,67876,0.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
4,concentrated,B6,6,0.005483067625717974,4.649,6.0,0.02,16.0,0.05333333333333334,0.8375092134206357,0.8432398801468884,0.08311742084986205,0.09902724425573692,0.677175401681465,0.33257648332742606,0.019867549668874173,5.63270932214256,631,0,6.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
4,concentrated,B7,7,0.001422569912857225,5.327,6.0,0.02,8.0,0.02666666666666667,1.6099458887576916,1.4682327525622414,0.08455266160903283,0.06022971344052742,0.8789011015064415,0.046969902018405965,0.006622516556291391,1.0833205415351923,591,0,6.0,0.24412694909806318,0.5369841746958861,0.06888940844405422
5,concentrated,B0,0,0.4201089937704364,0.0,0.0,0.0,42.0,0.14,0.9448005445494837,0.939743979374882,0.2384662378452027,0.24367840064203894,0.6414532445898562,0.22261578533380683,0.039735099337748346,7.119957944636013,4542,33388,0.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B1,1,0.18978722028284603,0.0,0.0,0.0,22.0,0.07333333333333333,0.8617332344904213,0.9012633003865542,0.11741313533146158,0.12435286745076968,0.8510767767323757,0.26590964077117213,0.006622516556291391,3.868629934811077,1385,66866,0.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B2,2,0.18404660798157213,0.0,0.0,0.0,46.0,0.15333333333333332,1.0197690474231649,1.077917188835732,0.14876927306442195,0.13888919189147,0.9046482447968733,0.15023212132726407,0.046357615894039736,2.568048514567463,1938,97661,0.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B3,3,0.09004080251099764,4.798,6.0,0.02,10.0,0.03333333333333333,1.0024372392384053,1.0824233181006746,0.1465109803397566,0.14096606971480938,0.8659144157795764,0.15214368083659455,0.013245033112582781,4.210906131790414,1523,0,6.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B4,4,0.07008868272110982,0.0,0.0,0.0,40.0,0.13333333333333333,1.232324968706042,1.153047009187737,0.10480347365675238,0.09242512880674396,0.8122297002657725,0.09807664845589005,0.019867549668874173,1.3636422032088098,1218,71422,0.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B5,5,0.037994473226984134,0.0,0.0,0.0,24.0,0.08,1.0501588086673999,0.9058113867907535,0.08548115267953406,0.09333761541960076,0.9486906813873058,0.2928343691101201,0.019867549668874173,3.8531314514551562,808,69160,0.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B6,6,0.005483067625717974,4.316,6.0,0.02,14.0,0.04666666666666667,0.7514680944221113,0.8140731423953935,0.08231276293501569,0.09904375431998722,0.6586271078409767,0.42357737594116723,0.013245033112582781,5.920287434393138,603,0,6.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
5,concentrated,B7,7,0.001422569912857225,5.224,6.0,0.02,8.0,0.02666666666666667,1.5638707788011696,1.4681154114634718,0.08242676916317847,0.06097850698463483,0.9529137273719179,0.030194504084192473,0.006622516556291391,1.53519105501956,544,0,6.0,0.2503052774927813,0.5293440515685937,0.0701927907456842
6,concentrated,B0,0,0.4201089937704364,0.0,0.0,0.0,48.0,0.16,0.9706470264247895,0.9384866591626613,0.23860660012834212,0.24306512144453504,0.6190657278124322,0.22568025424659124,0.039735099337748346,6.877833453265427,4515,33098,0.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B1,1,0.18978722028284603,0.0,0.0,0.0,22.0,0.07333333333333333,0.9204068589693343,0.9380021148299396,0.11879618417302738,0.12417797325186879,0.8508780158253011,0.25753698810797004,0.006622516556291391,3.246524158061244,1418,67298,0.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B2,2,0.18404660798157213,0.0,0.0,0.0,44.0,0.14666666666666667,1.1105418089647652,1.0572650285302392,0.14728449884001463,0.13954047633493144,0.92840980884749,0.11149814026212482,0.033112582781456956,2.7568524764555837,1902,97926,0.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B3,3,0.09004080251099764,4.831,6.0,0.02,10.0,0.03333333333333333,0.9458865792817878,1.1023456244888477,0.1483361864331835,0.14418497416783427,0.904312866652177,0.1272611585298976,0.013245033112582781,4.627382211032799,1503,0,6.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B4,4,0.07008868272110982,0.0,0.0,0.0,46.0,0.15333333333333332,1.4350889796829975,1.137483316473616,0.10449755394674741,0.09166543231873017,0.8050795903008623,0.1748849333336608,0.019867549668874173,1.1694858460090682,1251,71903,0.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B5,5,0.037994473226984134,0.0,0.0,0.0,38.0,0.12666666666666668,0.707179770690542,0.8570882235365282,0.08453652763658594,0.09479918588410792,0.9524189071164226,0.3488722388702003,0.026490066225165563,4.5154348136374445,757,69423,0.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B6,6,0.005483067625717974,4.731,6.0,0.02,16.0,0.05333333333333334,0.8190067085984721,0.8548998451818755,0.0829455597514899,0.09755752911717566,0.6213551625321921,0.3685529694633841,0.026490066225165563,5.202031669201491,620,0,6.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
6,concentrated,B7,7,0.001422569912857225,5.19,6.0,0.02,8.0,0.02666666666666667,1.2347293847289673,1.4539550958041432,0.08120523980564867,0.05882992113315678,0.8926330619075977,0.0,0.006622516556291391,0.9808959162150819,557,0,6.0,0.24282580567924192,0.5321979825292106,0.06767262275563156
7,concentrated,B0,0,0.4201089937704364,0.0,0.0,0.0,42.0,0.14,0.9095738088357089,0.9369718706895429,0.23769352434854624,0.2415299345032609,0.5292718275883369,0.18329479682608874,0.019867549668874173,6.687624655692858,4491,33028,0.0,0.2489519809029699,0.5348217663569171,0.07029076655598014
