run_id,study,stage,name,method,seed,beta,h,w,n_dim,a,beta_h,opes_barrier,opes_pace,opes_sigma,opes_gamma,opes_gamma_from_barrier,n_steps,n_replicas,had_nan,l2_f_common,l2_fp_common,l2_f_native,l2_fp_native,primary_estimator,l2_f_compact,l2_fp_compact,l2_f_transition,l2_fp_transition,l2_f_stretched,l2_fp_stretched,integrated_l2_f,normalized_anytime_l2_f,tau_abs,tau_rel,marginal_kl,marginal_tv,marginal_entropy,min_density,covered_fraction,marginal_l2_ref,marginal_l2_uniform,n_round_trips,n_barrier_crossings,n_compact_to_stretched,n_stretched_to_compact,first_passage_step,iat_frac_compact,mixing_ess,opes_neff_frac_final,opes_neff_frac_min,opes_n_kernels_final,opes_bias_range_final,opes_max_bias,opes_sigma_cur_final,runtime_seconds,wall_seconds,budget,force_evaluations,device,cuda_visible_devices
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,6.0,200,0.03,24.0,,100000,0,False,0.06141398445172305,0.34838919305806476,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,77.91589665412903,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,6.0,200,0.045,24.0,,100000,0,False,0.0610203575100637,0.3239947589737741,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.02154445648193,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,6.0,200,0.06,24.0,,100000,0,False,0.06258955081263061,0.30580038880541566,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.10005593299866,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,8.0,100,0.03,32.0,,100000,0,False,0.059811664739098436,0.3532643021624423,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.51871109008789,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,8.0,100,0.045,32.0,,100000,0,False,0.06299221346857281,0.33313795832903365,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.97358512878418,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,8.0,100,0.06,32.0,,100000,0,False,0.06504364474605023,0.3038414983732596,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.77295732498169,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,8.0,200,0.03,32.0,,100000,0,False,0.05756068356226497,0.32669693696530855,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.37556838989258,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,8.0,200,0.045,32.0,,100000,0,False,0.05561649927690095,0.3009732464294693,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.45414447784424,nan,nan,0.0,,
,opes_closure_meta,tune_confirm_100k,opes,opes,21,4.0,,,,,,8.0,200,0.06,32.0,,100000,0,False,0.05685709287797265,0.280987359469369,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.5234227180481,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,100,0.06,12.0,,40000,0,False,0.5799226933548333,3.8094935568215074,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.454988718032837,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,100,0.09,12.0,,40000,0,False,0.5423843123949682,3.6905539626388975,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.17104983329773,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,100,0.12,12.0,,40000,0,False,0.7830066984707945,4.15481265751055,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.671440601348877,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,100,0.18,12.0,,40000,0,False,1.0347169904691895,4.591136035705945,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.71525263786316,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,200,0.06,12.0,,40000,0,False,0.5256515893349262,3.6194509085133593,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.58261728286743,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,200,0.09,12.0,,40000,0,False,0.5875462871354257,3.8373686013834365,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.29710865020752,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,200,0.12,12.0,,40000,0,False,0.5771494473196718,3.767160017532212,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.24226474761963,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,200,0.18,12.0,,40000,0,False,1.01884759554027,4.56602795402747,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.163938760757446,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,50,0.06,12.0,,40000,0,False,1.0794218794424508,4.688125193848417,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.29918360710144,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,50,0.09,12.0,,40000,0,False,1.0861105707414163,4.69158259468291,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.380600929260254,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,50,0.12,12.0,,40000,0,False,1.0509049044391887,4.631577146157817,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.61571455001831,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,3.0,50,0.18,12.0,,40000,0,False,1.0985576847346419,4.694181365923071,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.71797204017639,nan,nan,0.0,,
,opes_closure_meta,tune_r1,opes,opes,20,4.0,,,,,,4.0,100,0.06,16.0,,40000,0,False,0.3079378723607833,2.9657335555698583,nan,nan,meanforce,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.72935724258423,nan,nan,0.0,,
