kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_F_eqw,early_l2_F,mid_l2_F,meanforce_vec_err,basin_occupancy_tv,n_basins_visited,n_transitions,n_round_trips,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,gram_lam_min_min,curl_pre_final,cond_tv_weighted,cond_kl_weighted,cond_basin_err_weighted,cond_support_fraction,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
joint2d,pentane,abf,abf,trans,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b1__N2048__T50000__ns4__3ec4070df0b7,1196.9210563395172,2,0.4924908890898235,14.831681829852153,0.48256166534501727,0.5150098401390436,0.4985979760294546,1.900219653561213,0.2541216205156253,9,4152419,709769,0,,,,1.5916435738034467,1.7467330355023316,0.427157995171,1.003016847852804,0.19262735891360427,1.0,screen_joint2d_pentane_b1_trans_g48,9.998844377397416,0.0038385091593204253,0.049254780902792006
joint2d,pentane,abf,abf,trans,1.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b1__N2048__T50000__ns4__3ec4070df0b7,1196.9210563395172,3,0.49914218130340976,14.998389982402077,0.4889495990030137,0.5144824007875027,0.5086769303870716,1.9074224602559955,0.251734202935538,9,4134827,713223,0,,,,1.5750818784387774,1.7236878094747798,0.4258479621311685,0.9975439807006281,0.1926630703871991,1.0,screen_joint2d_pentane_b1_trans_g48,9.998844377397416,0.007262593913246037,0.049919986996870405
joint2d,pentane,abf,abf,trans,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b2__N2048__T50000__ns4__0ad9e0effd37,1223.3835727693513,0,0.7194742297440019,20.6556922157584,0.5046357445426528,0.9238139199226423,0.7280227612617706,3.1131639389624834,0.22057556559173538,9,1063288,263271,0,,,,1.9998558812616012,11.550467194020303,0.30265479731534073,0.8234459280563773,0.12576884853029724,1.0,screen_joint2d_pentane_b2_trans_g48,9.996953987102186,0.002461925284157146,0.0719693449296905
joint2d,pentane,abf,abf,trans,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b2__N2048__T50000__ns4__0ad9e0effd37,1223.3835727693513,1,0.7442006378112014,21.06414749242397,0.5179714373897996,0.8817917321178146,0.7509218635106851,3.1447083442372916,0.20994270067728021,9,1080733,276830,0,,,,1.9729432347645401,8.57121866531283,0.3035661537485297,0.8213328976705598,0.1296048087056914,1.0,screen_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0023025713033422075,0.07444273913547567
joint2d,pentane,abf,abf,trans,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b2__N2048__T50000__ns4__0ad9e0effd37,1223.3835727693513,2,0.712394740456254,20.386954715085665,0.5007867428405925,0.8578564795072784,0.7236957052923289,3.0871463740761818,0.22276655927715366,9,1064332,262832,0,,,,1.9599112474010227,11.570359385239145,0.3075020672927866,0.8401535076396237,0.13888719745853326,1.0,screen_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0021294502802875724,0.071261180293054
joint2d,pentane,abf,abf,trans,2.0,2.3,False,screen,50000,2048,screen__joint2d__pentane__abf__trans__b2__N2048__T50000__ns4__0ad9e0effd37,1223.3835727693513,3,0.7469199966998806,21.24104083654416,0.5281396052767238,0.8932303959731612,0.7568180213967384,3.1247319465371426,0.19329257028358798,9,1062739,280979,0,,,,1.9505945378567355,10.52967045251447,0.30198876422605925,0.8272007422404337,0.11790592335203853,1.0,screen_joint2d_pentane_b2_trans_g48,9.996953987102186,0.0033797965516930506,0.0747147578816045
joint2d,pentane,abf,abf,trans,3.0,2.3,False,screen,70000,2048,screen__joint2d__pentane__abf__trans__b3__N2048__T70000__ns4__386b3585954e,1845.9616883583367,0,1.037850046830145,39.193702755691945,0.43588540228705475,1.7808320365621142,1.0090347195258444,4.484313715586476,0.649557189132736,9,116847,41443,0,,,,2.195873031173956,8.556512157776462,0.5791970680874392,1.2690639193890134,,,screen_joint2d_pentane_b3_trans_g48,9.996384232524871,-0.007292411578936774,0.10382254450097368
joint2d,pentane,abf,abf,trans,3.0,2.3,False,screen,70000,2048,screen__joint2d__pentane__abf__trans__b3__N2048__T70000__ns4__386b3585954e,1845.9616883583367,1,1.0593844793129907,39.963456258758264,0.4592994777580441,1.7608426285681453,1.0446070467607924,4.47881943041581,0.6866754196466242,9,111169,42359,0,,,,2.1810793431296687,8.273470839706546,0.6400356180872392,1.5940621596977016,,,screen_joint2d_pentane_b3_trans_g48,9.996384232524871,-0.0027647158826299575,0.10597676666590206
joint2d,pentane,abf,abf,trans,3.0,2.3,False,screen,70000,2048,screen__joint2d__pentane__abf__trans__b3__N2048__T70000__ns4__386b3585954e,1845.9616883583367,2,1.0110083765042104,38.970564845040414,0.41431402316018084,1.8676741887442825,0.9861564519144882,4.438033142599193,0.6085259205548121,9,117243,38923,0,,,,2.198929119174391,9.499995729945356,0.5652826365712165,1.2138802390012806,,,screen_joint2d_pentane_b3_trans_g48,9.996384232524871,-0.009640393857211108,0.10113740658494591
joint2d,pentane,abf,abf,trans,3.0,2.3,False,screen,70000,2048,screen__joint2d__pentane__abf__trans__b3__N2048__T70000__ns4__386b3585954e,1845.9616883583367,3,1.0327404826272923,39.58939830054548,0.4279154456366866,1.8399538784083422,1.0256764143143358,4.4528015684129185,0.6369455069582646,9,120255,41221,0,,,,2.1632832701671876,8.00078715698235,0.552901678012682,1.1585764792257676,,,screen_joint2d_pentane_b3_trans_g48,9.996384232524871,-0.002852774258221467,0.10331140326390238
