stage,physics_tag,n_steps,n_replicas,method,beta,h,M,beta_h,n_seeds,n_wins,win_rate,median_gain_pct_F,q25_gain_pct_F,q75_gain_pct_F,R_final_median,abf_final_l2_f_median,abf_final_l2_fp_median,abf_neff_transition_ratio_median,abf_neff_transition_min_ratio_median,abf_transition_mf_err_median,abf_marginal_tv_ref_median,abf_barrier_crossings_median,fr_final_l2_f_median,fr_event_fraction_median,fr_max_event_fraction_median,fr_final_ess_median,fr_ess_fraction_median,fr_max_anc_frac_median,fr_barrier_crossings_median,fr_transition_mf_err_median,crossing_ratio_fr_over_abf,regime
production,b1_h6_w2_n10_a1.5,120000,1024,fr_oracle,1.0,6.0,100,6.0,4,4,1.0,36.53753180465931,30.425426631543658,42.3397063620478,1.586628409573422,0.09596696852678943,0.3499021621533619,0.9904308158890605,0.850345646913136,0.38892656791512836,0.5260330700455754,1630360.0,0.06005353949973375,8.000088276836158e-05,0.0001181640625,229.35887206323866,0.2239832734992565,0.015625,1632181.5,0.2990240084423702,1.0011172379106454,starved
production,b1_h6_w2_n10_a1.5,120000,1024,fr_uniform,1.0,6.0,100,6.0,4,4,1.0,45.52762776273234,41.25442106482269,47.34590384093247,1.835794724005551,0.09596696852678943,0.3499021621533619,0.9904308158890605,0.850345646913136,0.38892656791512836,0.5260330700455754,1630360.0,0.05227629413059756,7.38976723038848e-05,0.0001044921875,244.33063447845737,0.23860413523286852,0.01318359375,1636708.0,0.27226573865781134,1.003893618587306,starved
production,b2_h1_w2_n10_a1.5,120000,1024,fr_estimated,2.0,1.0,100,2.0,4,1,0.25,-6.528554483313325,-9.318199565132398,-1.93825559419024,0.9388689721208576,0.012989968439111292,0.07623482848709615,1.0000692215999147,0.876871671938046,0.05496409517796337,0.32020472226766883,1017370.5,0.013191961134566044,8.083091939153042e-05,0.0001494140625,223.71731917115898,0.21847394450308494,0.0146484375,1038398.0,0.05886183802693293,1.0206684781994366,easy
production,b2_h1_w2_n10_a1.5,120000,1024,fr_oracle,2.0,1.0,100,2.0,4,3,0.75,14.976028516730542,6.123272862600065,22.412294607552013,1.1806433727807892,0.012989968439111292,0.07623482848709615,1.0000692215999147,0.876871671938046,0.05496409517796337,0.32020472226766883,1017370.5,0.010883481097099735,8.10750478101095e-05,0.0001171875,230.11033829155252,0.22471712723784426,0.013671875,1037367.0,0.060969268232423254,1.0196550814083956,easy
production,b2_h1_w2_n10_a1.5,120000,1024,fr_uniform,2.0,1.0,100,2.0,4,0,0.0,-25.684898440868416,-35.34312779037341,-20.068341024466058,0.7959119113980777,0.012989968439111292,0.07623482848709615,1.0000692215999147,0.876871671938046,0.05496409517796337,0.32020472226766883,1017370.5,0.016069295120799618,8.058679097295135e-05,0.00014746093750000002,222.62215325977127,0.21740444654274538,0.01318359375,1036756.5,0.07196783580829211,1.0190550050350389,easy
production,b2_h2_w2_n10_a1.5,120000,1024,fr_estimated,2.0,2.0,100,4.0,4,0,0.0,-29.023698872988483,-42.411342890721826,-19.599159101747567,0.7761762690019791,0.01266033861646191,0.06621548993917489,1.0021211106418406,0.8806273845318884,0.052584570887982934,0.4640916169140974,998867.0,0.01607157200663059,7.751077289885506e-05,0.00014550781250000002,217.668737979195,0.2125671269328076,0.0166015625,1018118.5,0.06748550100695737,1.0192733366904703,easy
production,b2_h2_w2_n10_a1.5,120000,1024,fr_oracle,2.0,2.0,100,4.0,4,4,1.0,38.99183978675026,31.950643426604092,45.70211349968249,1.645720761674282,0.01266033861646191,0.06621548993917489,1.0021211106418406,0.8806273845318884,0.052584570887982934,0.4640916169140974,998867.0,0.007596564958078847,7.982999287535624e-05,0.00011132812499999999,236.53898803671828,0.2309951055046077,0.01318359375,1020971.0,0.050853304045410976,1.0221290722388465,easy
production,b2_h2_w2_n10_a1.5,120000,1024,fr_uniform,2.0,2.0,100,4.0,4,2,0.5,-7.365689764078599,-25.372520121811775,6.968440194141776,0.9407752872769073,0.01266033861646191,0.06621548993917489,1.0021211106418406,0.8806273845318884,0.052584570887982934,0.4640916169140974,998867.0,0.016000402043318446,7.570422260136993e-05,0.00013671875,223.5887229355983,0.2183483622417952,0.01318359375,1014387.0,0.061694097430287455,1.0155376041054516,easy
production,b2_h4_w2_n10_a1.5,120000,1024,fr_estimated,2.0,4.0,100,8.0,4,0,0.0,-61.49238621813576,-67.8955086873773,-55.932235712989375,0.6192277119358127,0.015026841591850052,0.09874918562031545,1.0033489019029491,0.8870692602187527,0.04433899419290778,0.5528106257592351,981687.5,0.02434467800700805,7.829198383830809e-05,0.000158203125,208.91416340773378,0.20401773770286502,0.01611328125,984623.5,0.0823328232499197,1.002990768447189,easy
production,b2_h4_w2_n10_a1.5,120000,1024,fr_oracle,2.0,4.0,100,8.0,4,4,1.0,28.807694340758836,21.91838180238806,30.936749346256168,1.4054434521234607,0.015026841591850052,0.09874918562031545,1.0033489019029491,0.8870692602187527,0.04433899419290778,0.5528106257592351,981687.5,0.010312130282055404,8.41510658842058e-05,0.000119140625,223.8641399489183,0.21861732416886553,0.01513671875,1001297.0,0.047710135283577315,1.0199752976379959,easy
production,b2_h4_w2_n10_a1.5,120000,1024,fr_uniform,2.0,4.0,100,8.0,4,0,0.0,-56.84103455451117,-68.84579815267875,-51.837453325471145,0.6378371523424728,0.015026841591850052,0.09874918562031545,1.0033489019029491,0.8870692602187527,0.04433899419290778,0.5528106257592351,981687.5,0.02356552139237469,7.21887733738313e-05,0.0005703125,226.62165548449536,0.2213102104340775,0.015625,990284.5,0.08137690424983064,1.0087573693257783,easy
production,b2_h4_w2_n14_a1.5,120000,1024,fr_estimated,2.0,4.0,196,8.0,4,0,0.0,-84.1214036328356,-90.49106674828231,-68.10624821362889,0.5435453513717858,0.01512173341176276,0.09377661982937963,1.0052354774316412,0.886220636526379,0.04600407795333636,0.556155449194335,974960.5,0.026307167394945742,7.770607563371831e-05,0.0001416015625,207.93298792974906,0.20305955852514557,0.0166015625,996309.0,0.08903671979903376,1.021896784536399,easy
production,b2_h4_w2_n14_a1.5,120000,1024,fr_oracle,2.0,4.0,196,8.0,4,4,1.0,22.997168807460177,16.321916820966308,29.73575449774382,1.302024576411292,0.01512173341176276,0.09377661982937963,1.0052354774316412,0.886220636526379,0.04600407795333636,0.556155449194335,974960.5,0.011191439273954096,8.361398336333183e-05,0.000119140625,225.28720658928168,0.2200070376848454,0.015625,1000170.0,0.047920545434757045,1.025856944973668,easy
production,b2_h4_w2_n14_a1.5,120000,1024,fr_uniform,2.0,4.0,196,8.0,4,0,0.0,-81.76606883011318,-86.81885883394824,-74.75142623100288,0.5502146559130098,0.01512173341176276,0.09377661982937963,1.0052354774316412,0.886220636526379,0.04600407795333636,0.556155449194335,974960.5,0.026860790327165002,7.56065712339383e-05,0.000158203125,221.9732723866203,0.21677077381505888,0.015625,990257.5,0.08557917759725303,1.0156898664099725,easy
production,b2_h4_w2_n7_a1.5,120000,1024,fr_estimated,2.0,4.0,49,8.0,4,3,0.75,24.375576320067353,11.217311623581502,28.932745510239855,1.3268765244766585,0.019794395102850394,0.1602597509458935,1.0179397109859991,0.9074868314496776,0.0711417108902472,0.5884984680581341,1079655.5,0.016223833161722184,4.870361950652468e-05,0.00010058593750000001,332.16080400396544,0.3243757851601225,0.0107421875,1090247.5,0.05829328115377336,1.0098105367869659,easy
production,b2_h4_w2_n7_a1.5,120000,1024,fr_oracle,2.0,4.0,49,8.0,4,2,0.5,0.5986948397833043,-18.009930588300634,20.37429240532492,1.0398407031031685,0.019794395102850394,0.1602597509458935,1.0179397109859991,0.9074868314496776,0.0711417108902472,0.5884984680581341,1079655.5,0.018599868589596315,4.9289527711114446e-05,7.71484375e-05,344.4784152288331,0.33640470237190734,0.009765625,1095606.5,0.06949190066144562,1.0147741571269724,easy
production,b2_h4_w2_n7_a1.5,120000,1024,fr_uniform,2.0,4.0,49,8.0,4,3,0.75,17.362215744163976,3.2160159664900245,31.30170309857466,1.2395994051531085,0.019794395102850394,0.1602597509458935,1.0179397109859991,0.9074868314496776,0.0711417108902472,0.5884984680581341,1079655.5,0.015796596242064767,4.5920555534723266e-05,8.59375e-05,359.2254459109145,0.35080609952237746,0.0107421875,1084292.5,0.05426525351705723,1.0042948885084177,easy
production,b2_h6_w2_n10_a1.5,120000,1024,fr_estimated,2.0,6.0,100,12.0,4,4,1.0,20.425444177378964,17.514707384113976,23.803667335767752,1.257312243142938,0.024590301996017572,0.16177526228714306,0.9911579363417553,0.890987897822497,0.05743933388003615,0.6046751402681334,1005075.0,0.019560742201626714,5.815138930553473e-05,0.00016699218749999999,274.5781707257537,0.26814274484936884,0.01123046875,1012507.5,0.050474576812624086,1.0073949705245877,intermediate
production,b2_h6_w2_n10_a1.5,120000,1024,fr_oracle,2.0,6.0,100,12.0,4,4,1.0,32.068107476985176,30.68143357402728,34.09725842771055,1.4721262627419063,0.024590301996017572,0.16177526228714306,0.9911579363417553,0.890987897822497,0.05743933388003615,0.6046751402681334,1005075.0,0.016729135787080587,6.381516861656916e-05,9.1796875e-05,270.1280473176811,0.26379692120867293,0.01171875,1016474.5,0.03671948592785022,1.0113419396562446,intermediate
production,b2_h6_w2_n10_a1.5,120000,1024,fr_uniform,2.0,6.0,100,12.0,4,4,1.0,23.989372374590005,20.16209555955512,27.10160987031452,1.3166140653990015,0.024590301996017572,0.16177526228714306,0.9911579363417553,0.890987897822497,0.05743933388003615,0.6046751402681334,1005075.0,0.019547436078507806,5.859082045897705e-05,0.0001474609375,271.1798210344689,0.2648240439789735,0.01513671875,1010354.5,0.04605853808873232,1.0052528418277242,intermediate
production,b4_h1_w2_n10_a1.5,120000,1024,fr_estimated,4.0,1.0,100,4.0,4,0,0.0,-488.78057434744767,-593.574622145113,-361.45947204160893,0.1753865579615146,0.004548700048615506,0.02795371027952158,1.0055892320532767,0.8704235293892549,0.030208826514385702,0.45093147548990464,680849.5,0.02525358232263384,7.238407610869456e-05,0.000140625,212.16493950771797,0.20719232373800583,0.01708984375,696622.0,0.0887684273248264,1.0231659125842054,easy
production,b4_h1_w2_n10_a1.5,120000,1024,fr_oracle,4.0,1.0,100,4.0,4,0,0.0,-81.84917052576048,-124.27514602446733,-39.61745694513763,0.5699521999787682,0.004548700048615506,0.02795371027952158,1.0055892320532767,0.8704235293892549,0.030208826514385702,0.45093147548990464,680849.5,0.007942528537230325,7.267703021098944e-05,0.000111328125,260.3139298338897,0.2542128221034079,0.0126953125,701244.0,0.031760134498465854,1.0299544906767208,easy
production,b4_h1_w2_n10_a1.5,120000,1024,fr_uniform,4.0,1.0,100,4.0,4,0,0.0,-410.84012086468766,-509.2577562623203,-301.37330806393805,0.20214750340203386,0.004548700048615506,0.02795371027952158,1.0055892320532767,0.8704235293892549,0.030208826514385702,0.45093147548990464,680849.5,0.02258575974792537,7.084606707164642e-05,0.0001318359375,223.26490087217417,0.21803212975798258,0.01611328125,696647.5,0.07877256862278721,1.0232033657952309,easy
production,b4_h2_w2_n10_a1.5,120000,1024,fr_estimated,4.0,2.0,100,8.0,4,0,0.0,-229.76750121730845,-253.39231113419635,-215.46019917887003,0.3033089687206746,0.0082334068474845,0.044032202329640155,1.0110279658556147,0.8733240734151847,0.029215844220473706,0.5548605265244938,652897.0,0.028243719950099617,7.365354388530574e-05,0.000173828125,212.0107271846241,0.20704172576623447,0.0146484375,678255.0,0.09620974741137521,1.0388392043461678,easy
production,b4_h2_w2_n10_a1.5,120000,1024,fr_oracle,4.0,2.0,100,8.0,4,0,0.0,-25.48632350209929,-33.982728016455034,-21.51195567173501,0.7974742420573211,0.0082334068474845,0.044032202329640155,1.0110279658556147,0.8733240734151847,0.029215844220473706,0.5548605265244938,652897.0,0.010685500661735944,8.236892842857857e-05,0.000119140625,216.9744211420811,0.21188908314656357,0.0146484375,674319.0,0.0386087594401663,1.0328106883627892,easy
production,b4_h2_w2_n10_a1.5,120000,1024,fr_uniform,4.0,2.0,100,8.0,4,0,0.0,-230.40931344220775,-257.5563702291665,-212.97248705317503,0.3027117354925916,0.0082334068474845,0.044032202329640155,1.0110279658556147,0.8733240734151847,0.029215844220473706,0.5548605265244938,652897.0,0.02790210050892563,7.470329608519574e-05,0.0005732421875,202.16180493357825,0.1974236376304475,0.01513671875,672781.0,0.09307007959248123,1.0304550334892026,easy
production,b4_h4_w2_n10_a1.5,120000,1024,fr_estimated,4.0,4.0,100,16.0,4,0,0.0,-156.01262135634073,-161.4400832225794,-143.51145715126708,0.39062566399631593,0.0156345584947295,0.15406512497973293,0.9425034488332744,0.8336758001824662,0.045665725004496734,0.6323809570577603,595681.0,0.039661960265601065,9.262232200889955e-05,0.000587890625,164.74068307856584,0.16087957331891195,0.02001953125,629178.5,0.12541673628145267,1.0562339574369504,easy
production,b4_h4_w2_n10_a1.5,120000,1024,fr_oracle,4.0,4.0,100,16.0,4,1,0.25,-9.88095258344934,-14.764295480310688,-1.6361808371650062,0.9105745261261375,0.0156345584947295,0.15406512497973293,0.9425034488332744,0.8336758001824662,0.045665725004496734,0.6323809570577603,595681.0,0.017127073462218437,9.92626149942503e-05,0.0001337890625,182.95175969559392,0.17866382782772844,0.0166015625,637266.5,0.04692715525386883,1.0698116945143457,easy
production,b4_h4_w2_n10_a1.5,120000,1024,fr_uniform,4.0,4.0,100,16.0,4,0,0.0,-158.40617544818264,-158.77099521206884,-144.5671873506752,0.3869878989474598,0.0156345584947295,0.15406512497973293,0.9425034488332744,0.8336758001824662,0.045665725004496734,0.6323809570577603,595681.0,0.038761100728133754,9.491712914354282e-05,0.0002158203125,154.39005617876245,0.1507715392370727,0.01904296875,639870.0,0.12374671089085935,1.0741823224175355,easy
production,b4_h6_w2_n10_a1.5,120000,1024,fr_estimated,4.0,6.0,100,24.0,4,0,0.0,-69.10378187321972,-72.7643177134161,-63.39204965675852,0.5914296975421793,0.024898483076040034,0.44658194161062476,0.9074743206341431,0.8283741073177717,0.06673835904044756,0.6641050410139762,583260.0,0.041363021985978146,9.513684472026398e-05,0.00019140625,152.99209599166878,0.14940634374186404,0.02001953125,618343.0,0.12383833789905951,1.0601498474093887,intermediate
production,b4_h6_w2_n10_a1.5,120000,1024,fr_oracle,4.0,6.0,100,24.0,4,3,0.75,7.053150033183477,3.072238077189555,10.495294495443794,1.0765132202671273,0.024898483076040034,0.44658194161062476,0.9074743206341431,0.8283741073177717,0.06673835904044756,0.6641050410139762,583260.0,0.023078539703001402,9.799314721763912e-05,0.0005546875000000001,185.0646880686678,0.1807272344420584,0.0166015625,628815.0,0.04925926865221407,1.0781041045159963,intermediate
production,b4_h6_w2_n10_a1.5,120000,1024,fr_uniform,4.0,6.0,100,24.0,4,0,0.0,-69.46594847694327,-74.41228667560895,-65.18561870544424,0.5904246708321426,0.024898483076040034,0.44658194161062476,0.9074743206341431,0.8283741073177717,0.06673835904044756,0.6641050410139762,583260.0,0.041361865796261985,9.721193627818609e-05,0.00020507812500000002,159.90963640480902,0.1561617543015713,0.0234375,615400.0,0.12185538681734764,1.0551040702259713,intermediate
