run_id,stage,method,physics_tag,beta,h,w,n_dim,M,a,beta_h,seed,n_steps,n_replicas,final_l2_f,final_l2_fp,integrated_l2_f,integrated_l2_fp,l2_f_transition,l2_fp_transition,neff_transition_mean,neff_transition_min,neff_compact,neff_stretched,neff_median_eval,neff_transition_ratio,neff_transition_min_ratio,transition_window_mean_force_error,marginal_l2_uniform,marginal_l2_ref,marginal_tv_ref,marginal_kl_ref,marginal_tv_uniform,n_compact_to_stretched,n_stretched_to_compact,n_barrier_crossings,n_round_trips,fr_event_fraction,max_fr_event_fraction,deaths_per_fr_application,total_replacement_events,score_std,score_max,score_clip_fraction,final_ancestor_ess,min_ancestor_ess,final_n_unique_ancestor,final_max_ancestor_frac,ess_fraction,had_nan
production__abf__b2_h2_w2_n10_a1.5__seed0__N1024__T120000__2446325c0f7e,production,abf,b2_h2_w2_n10_a1.5,2.0,2.0,2.0,10,100,1.5,4.0,0,120000,1024,0.014008467370826196,0.0722054821843275,15.586643024435261,65.34441318841084,0.004773702587846059,0.062033884242739055,73699282.71428572,64228132.0,62001778.4,87678116.2,73900672.0,0.9972748652987312,0.8691143160376132,0.062033884242739055,0.08862743823097441,0.8255037535429766,0.4681247125827893,0.866980774465151,0.05112302949924287,501928,501357,1003285,501357,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h2_w2_n10_a1.5__seed1__N1024__T120000__243bac226ed5,production,abf,b2_h2_w2_n10_a1.5,2.0,2.0,2.0,10,100,1.5,4.0,1,120000,1024,0.010124039168381175,0.06305250363994273,14.994648447278617,65.1583160305662,0.0036078741800152406,0.04850169249845454,73264317.14285715,64884216.0,63387680.0,86897569.6,73114144.0,1.0020539547431089,0.8874372652164265,0.04850169249845454,0.06939822815920076,0.8361365097656075,0.4619730494842855,0.8480523011302119,0.03154299201141009,499047,498523,997570,498523,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h2_w2_n10_a1.5__seed2__N1024__T120000__dbe126bda5e3,production,abf,b2_h2_w2_n10_a1.5,2.0,2.0,2.0,10,100,1.5,4.0,2,120000,1024,0.011312209862097621,0.06537173146107675,15.137938341338197,62.86535144172154,0.0031710242403024834,0.04982548824674538,73136592.35714285,64535080.0,62781803.4,87458195.2,72940056.0,1.002694491448469,0.8847687202214377,0.04982548824674538,0.09695825491316568,0.8284180386241606,0.46621018434390926,0.8725905045526389,0.057322515777309055,496748,496175,992923,496175,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h2_w2_n10_a1.5__seed3__N1024__T120000__74e591cc6508,production,abf,b2_h2_w2_n10_a1.5,2.0,2.0,2.0,10,100,1.5,4.0,3,120000,1024,0.01599534576474748,0.06705924841727305,16.194359139850924,65.5304393906527,0.00619023967622757,0.05534365352922048,73538710.92857143,64314916.0,62658256.6,87224943.6,73378140.0,1.0021882665405724,0.8764860488423392,0.05534365352922048,0.1002912189679698,0.8023854450285443,0.44236934577345055,0.825344874262018,0.04545317176836836,500351,499813,1000164,499813,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n10_a1.5__seed0__N1024__T120000__4ee553594961,production,abf,b2_h4_w2_n10_a1.5,2.0,4.0,2.0,10,100,1.5,8.0,0,120000,1024,0.015733477254960108,0.10095846755482463,21.956049381505665,94.19825127043616,0.008176402678980453,0.05224679404750684,73373019.57142857,64978988.0,64548046.7,90979523.4,72703472.0,1.0092092929403504,0.8937535747948874,0.05224679404750684,0.08583886392780725,1.1225356901964822,0.5543394355735818,2.1725509806223124,0.044548042441532945,487849,487297,975146,487297,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n10_a1.5__seed1__N1024__T120000__c8ff981c1b3a,production,abf,b2_h4_w2_n10_a1.5,2.0,4.0,2.0,10,100,1.5,8.0,1,120000,1024,0.013179050673584158,0.09884043319102966,23.49940469974768,98.22196313528505,0.00838357048848541,0.03953593126453292,73319641.78571428,64957976.0,65841676.3,89706386.6,73105360.0,1.0029311364544855,0.8885528502971601,0.03953593126453292,0.07400432253511241,1.1482606589359887,0.5692971590857674,2.2545936209877464,0.03340637156228993,492037,491480,983517,491480,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n10_a1.5__seed2__N1024__T120000__7e1a12951498,production,abf,b2_h4_w2_n10_a1.5,2.0,4.0,2.0,10,100,1.5,8.0,2,120000,1024,0.01511503257487195,0.09865793804960124,23.729933020172986,102.42107287395515,0.009343535163429074,0.049142057121282647,73774509.35714285,65181128.0,65372827.5,90069353.2,73602284.0,1.0023399458248177,0.8855856701403451,0.049142057121282647,0.09278931032807289,1.1123573453819275,0.5512818159448886,2.1353709224403676,0.05148636100203579,493070,492509,985579,492509,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n10_a1.5__seed3__N1024__T120000__4c46c5189cfb,production,abf,b2_h4_w2_n10_a1.5,2.0,4.0,2.0,10,100,1.5,8.0,3,120000,1024,0.014938650608828154,0.09470637523958068,25.044270250351403,100.33739169678262,0.007417203147550642,0.03889424141048953,73155237.42857143,64214508.0,63538458.8,92021301.0,72880720.0,1.0037666673514125,0.8810904722126784,0.03889424141048953,0.10789558497671124,1.1095144359208648,0.548152083465532,2.090873533400048,0.05886156825743733,490211,489647,979858,489647,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n14_a1.5__seed0__N1024__T120000__304db8ede911,production,abf,b2_h4_w2_n14_a1.5,2.0,4.0,2.0,14,196,1.5,8.0,0,120000,1024,0.013469035993131087,0.09256070083346914,25.088965092925516,103.9014121174135,0.007751693849499956,0.03890240260288687,72808196.28571428,64102408.0,64347259.1,91200742.0,72320988.0,1.0067367481997658,0.8863596830286666,0.03890240260288687,0.08492261330794773,1.1132062527861184,0.5545759155165656,2.1599663120448236,0.04091084135506461,485593,485048,970641,485048,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
production__abf__b2_h4_w2_n14_a1.5__seed1__N1024__T120000__5bb7d4ea4bc6,production,abf,b2_h4_w2_n14_a1.5,2.0,4.0,2.0,14,196,1.5,8.0,1,120000,1024,0.015089469793882825,0.0908288545506929,21.76642645692378,91.84551618128377,0.012834390564736462,0.043123623751327514,72890793.71428572,64147728.0,64517557.5,91024875.6,72512216.0,1.0052208818757618,0.8846471882751452,0.043123623751327514,0.09057470746947592,1.1362627820810616,0.570895997805267,2.244493520185954,0.0435385640691163,487791,487227,975018,487227,nan,nan,nan,0,,,,nan,nan,-1,nan,nan,False
