x,F_ref,Fprime_ref,p_ref
-1.1700000000000002,-4.884579659307473,-1.5521106103969344,1.3817259904824477
-1.155,-4.9063442233072045,-1.349836672110112,1.5074081083050443
-1.1400000000000001,-4.925075520458546,-1.1477151415859785,1.6246897590036762
-1.125,-4.940777657272782,-0.9459897485009415,1.7300069524785997
-1.11,-4.953458440428281,-0.7449100350907556,1.820021947164096
-1.095,-4.9631294601379965,-0.5447308431094021,1.891807343867013
-1.08,-4.969806165662983,-0.34571177988558743,1.9430122223650554
-1.0650000000000002,-4.973507932668174,-0.14811666479583135,1.9719965937209922
-1.05,-4.974258122137368,0.04778704239292072,1.9779229653887775
-1.0350000000000001,-4.972084130587313,0.24172882970227508,1.9607975829267204
-1.02,-4.9670174313463,0.4334357358463681,1.9214584817270028
-1.0050000000000001,-4.9590936066912725,0.6226329658318639,1.8615123057073804
-0.9900000000000002,-4.9483523706700066,0.8090445169304946,1.7832263519226421
-0.9750000000000001,-4.934837582472561,0.9923938123192004,1.6893859641231013
-0.96,-4.918597250260256,1.1724043391819121,1.5831298403352494
-0.9450000000000003,-4.899683525413388,1.3488002874006846,1.4677768364038004
-0.9300000000000002,-4.878152687223255,1.521307184070637,1.3466574336450376
-0.915,-4.8540651181342,1.6896525178687962,1.2229613709516463
-0.8999999999999999,-4.827485269742472,1.8535663456774316,1.099610336118338
-0.8850000000000002,-4.798481619888493,2.012781871652566,0.9791614643053685
-0.8700000000000001,-4.767126621347518,2.1670359859296173,0.8637441157012051
-0.855,-4.73349664284488,2.3160697460893496,0.7550293695403644
-0.8399999999999999,-4.697671903414309,2.4596287789941838,0.6542291620855434
-0.8250000000000002,-4.6597364015068745,2.5974635731499838,0.5621201871642567
-0.81,-4.61977784077735,2.7293296217009515,0.47908663156538406
-0.7949999999999999,-4.577887555169438,2.8549873626810274,0.40517549646121137
-0.7800000000000002,-4.534160436850492,2.974201845151092,0.3401585473208278
-0.7650000000000001,-4.4886948717874215,3.08674202601151,0.28359568070792746
-0.75,-4.44159268940802,3.1923795709865286,0.234895523584735
-0.7349999999999999,-4.3929591349809405,3.290886992685425,0.19337022528152614
-0.7200000000000002,-4.342902876227702,3.3820349067971236,0.1582825270490042
-0.7050000000000001,-4.2915360594336,3.465588122589402,0.12888419846739632
-0.69,-4.238974435156397,3.5413002049241054,0.10444575208288447
-0.6750000000000003,-4.185337579750542,3.6089060527091332,0.0842779610582241
-0.6600000000000001,-4.130749246504377,3.6681119373851434,0.06774611149357569
