init,seed,ot_matched_vs_fr_uniform_dI_0.0175,ot_matched_vs_fr_uniform_dF_0.0175,fr_uniform_vs_abf_dI_0.0175,fr_uniform_vs_abf_dF_0.0175,ot_matched_vs_abf_dI_0.0175,ot_matched_vs_abf_dF_0.0175,ot_full_vs_abf_dI_0.0175,ot_full_vs_abf_dF_0.0175,ot_full_vs_ot_matched_dI_0.0175,ot_full_vs_ot_matched_dF_0.0175,ot_full_vs_fr_uniform_dI_0.0175,ot_full_vs_fr_uniform_dF_0.0175,ot_matched_vs_fr_uniform_dI_0.07,ot_matched_vs_fr_uniform_dF_0.07,fr_uniform_vs_abf_dI_0.07,fr_uniform_vs_abf_dF_0.07,ot_matched_vs_abf_dI_0.07,ot_matched_vs_abf_dF_0.07,ot_full_vs_abf_dI_0.07,ot_full_vs_abf_dF_0.07,ot_full_vs_ot_matched_dI_0.07,ot_full_vs_ot_matched_dF_0.07,ot_full_vs_fr_uniform_dI_0.07,ot_full_vs_fr_uniform_dF_0.07,ot_matched_vs_fr_uniform_dI_raw,ot_matched_vs_fr_uniform_dF_raw,fr_uniform_vs_abf_dI_raw,fr_uniform_vs_abf_dF_raw,ot_matched_vs_abf_dI_raw,ot_matched_vs_abf_dF_raw,ot_full_vs_abf_dI_raw,ot_full_vs_abf_dF_raw,ot_full_vs_ot_matched_dI_raw,ot_full_vs_ot_matched_dF_raw,ot_full_vs_fr_uniform_dI_raw,ot_full_vs_fr_uniform_dF_raw,dIFp_ot_matched_vs_fr,min_ess_frac_fr,wmax_fr,dfrozen_ot_matched_vs_fr
left,510,73.972,214.434,-40.271,-69.332,3.911,-3.568,148.635,114.717,139.277,122.661,316.274,600.121,29.428,5.015,-17.639,2.607,6.598,7.753,129.122,32.220,114.939,22.706,178.193,28.860,72.349,243.172,-40.238,-72.301,2.999,-4.945,143.129,114.175,136.049,125.317,306.829,673.225,15.009,0.4466,0.0088,52.133
left,511,76.080,140.439,-33.307,-53.164,17.434,12.612,152.482,107.747,115.000,84.480,278.572,343.562,45.951,14.701,-18.237,8.361,19.335,24.291,122.464,35.736,86.420,9.209,172.082,25.263,73.363,144.015,-33.636,-55.078,15.051,9.616,147.961,107.637,115.523,89.422,273.637,362.219,28.076,0.4247,0.0112,36.018
left,512,59.795,166.843,-35.961,-57.032,2.331,14.656,123.181,134.301,118.096,104.351,248.506,445.295,33.218,14.448,-22.451,12.357,3.309,28.590,96.767,39.878,90.463,8.778,153.732,24.494,59.058,173.673,-36.867,-59.592,0.419,10.585,116.691,133.138,115.788,110.823,243.227,476.965,15.501,0.2795,0.0239,48.487
left,513,75.581,131.902,-34.782,-50.601,14.511,14.557,172.360,173.627,137.847,138.856,317.615,453.911,42.735,9.961,-20.571,7.825,13.373,18.565,138.568,36.135,110.427,14.819,200.353,26.256,72.368,143.391,-34.298,-54.099,13.249,11.718,169.433,174.462,137.913,145.674,310.086,497.948,26.577,0.3681,0.0112,36.013
left,514,73.924,309.842,-40.969,-77.299,2.670,-6.961,150.233,146.318,143.726,164.747,323.898,985.043,25.824,6.903,-14.931,10.450,7.038,18.074,132.380,52.105,117.101,28.822,173.165,37.715,77.174,351.958,-42.565,-79.765,1.760,-8.544,144.423,144.568,140.195,167.416,325.563,1108.609,15.790,0.4367,0.0083,44.258
left,515,55.566,194.601,-28.419,-59.172,11.355,20.280,136.610,78.465,112.482,48.375,230.549,337.114,24.958,19.734,-8.735,0.781,14.043,20.669,126.129,19.893,98.284,-0.643,147.772,18.964,56.777,192.797,-29.387,-59.769,10.705,17.796,128.717,80.047,106.601,52.847,223.903,347.532,14.663,0.2734,0.0273,63.334
left,516,46.110,235.412,-31.432,-66.314,0.185,12.986,126.641,109.012,126.222,84.989,230.533,520.476,23.870,12.757,-14.988,6.940,5.305,20.583,115.631,40.280,104.768,16.335,153.647,31.176,43.288,243.459,-31.971,-67.661,-2.522,11.070,120.452,108.328,126.156,87.563,224.054,544.203,5.700,0.4376,0.0093,57.038
left,517,79.059,180.526,-38.421,-53.846,10.264,29.473,150.619,142.189,127.291,87.058,306.986,424.746,38.209,10.446,-21.302,12.649,8.767,24.416,122.976,39.779,105.003,12.348,183.333,24.084,77.017,200.043,-38.553,-57.815,8.771,26.574,145.508,142.327,125.711,91.451,299.547,474.436,24.798,0.3527,0.0190,51.731
left,518,96.122,392.079,-47.320,-80.493,3.317,-4.010,123.798,78.880,116.612,86.354,324.825,817.009,41.623,11.532,-26.514,1.520,4.073,13.228,100.401,25.658,92.558,10.978,172.706,23.776,93.696,475.939,-46.970,-83.696,2.717,-6.102,119.863,79.904,114.048,91.594,314.603,1003.466,23.832,0.3735,0.0107,72.558
left,519,43.275,97.719,-20.082,-38.568,14.502,21.464,164.996,126.292,131.433,86.305,231.586,268.360,28.662,14.478,-8.001,8.250,18.367,23.922,142.455,37.997,104.833,11.358,163.541,27.480,40.718,97.574,-19.258,-39.791,13.618,18.958,160.405,127.431,129.193,91.186,222.515,277.733,12.182,0.4131,0.0137,29.309
left,520,79.057,80.821,-34.628,-40.311,17.054,7.929,161.230,144.857,123.171,126.868,299.603,310.224,45.071,2.256,-19.706,10.517,16.483,13.010,126.239,36.124,94.225,20.453,181.764,23.170,72.564,86.090,-33.070,-42.838,15.498,6.373,158.758,145.776,124.038,131.051,286.608,329.963,21.264,0.4268,0.0103,52.802
left,521,53.704,95.229,-36.527,-51.684,-2.439,-5.674,122.927,95.544,128.501,107.306,251.215,304.722,26.390,3.300,-20.074,8.081,1.019,11.648,106.375,25.369,104.294,12.290,158.207,15.995,53.412,108.793,-37.839,-55.552,-4.638,-7.195,114.925,95.899,125.378,111.088,245.756,340.737,25.331,0.3759,0.0156,24.033
left,522,50.550,238.611,-30.304,-69.308,4.928,3.925,151.389,115.084,139.583,106.961,260.692,600.793,27.016,13.875,-13.674,5.551,9.648,20.196,129.688,39.786,109.478,16.298,166.071,32.435,50.053,250.623,-32.373,-71.096,1.476,1.343,139.940,114.451,136.450,111.609,254.801,641.951,6.305,0.4078,0.0122,61.995
left,523,42.832,110.382,-17.723,-41.476,17.518,23.125,163.738,132.503,124.423,88.835,220.548,297.275,23.829,7.705,-4.023,13.797,18.847,22.564,132.489,41.838,95.621,15.725,142.235,24.641,45.362,119.087,-21.545,-44.922,14.044,20.669,154.301,131.485,122.986,91.835,224.136,320.287,5.503,0.4178,0.0103,32.470
left,524,47.263,102.197,-27.682,-46.425,6.498,8.326,126.251,88.444,112.446,73.960,212.856,251.741,28.459,12.377,-12.297,9.023,12.663,22.517,112.698,31.977,88.791,7.721,142.519,21.054,44.104,106.119,-26.559,-48.690,5.831,5.760,125.348,88.848,112.932,78.562,206.844,268.052,5.070,0.4633,0.0059,49.012
left,525,53.460,170.825,-30.373,-63.907,6.850,-2.252,153.172,104.079,136.942,108.781,263.612,465.429,20.224,8.899,-9.964,7.593,8.245,17.167,134.547,41.457,116.682,20.731,160.504,31.474,58.946,178.667,-34.220,-65.684,4.555,-4.373,142.465,103.649,131.902,112.963,268.598,493.457,16.275,0.4083,0.0112,53.034
left,526,55.809,101.993,-34.643,-51.176,1.832,-1.378,138.281,125.100,133.995,128.246,264.584,361.041,29.704,5.889,-17.604,13.360,6.870,20.035,121.613,38.272,107.366,15.193,168.962,21.976,53.640,109.431,-35.496,-54.258,-0.897,-4.202,130.419,125.388,132.504,135.274,257.218,392.737,14.005,0.3241,0.0210,23.332
left,527,40.105,153.452,-17.458,-50.798,15.646,24.702,166.049,125.688,130.055,80.982,222.318,358.702,18.305,9.435,-0.018,13.415,18.283,24.115,144.519,44.945,106.724,16.783,144.564,27.801,43.463,165.667,-20.500,-53.845,14.053,22.618,159.412,125.371,127.448,83.800,226.304,388.294,8.918,0.3593,0.0132,35.216
left,528,46.673,190.198,-29.101,-67.241,3.990,-4.935,155.638,143.651,145.830,156.299,260.566,643.774,14.737,0.559,-4.429,10.418,9.655,11.036,139.960,45.630,118.832,31.156,151.081,31.889,48.064,233.600,-30.485,-72.047,2.927,-6.749,153.293,140.574,146.090,157.985,264.371,760.637,10.677,0.3515,0.0151,22.652
left,529,109.729,328.204,-44.959,-72.927,15.438,15.928,157.076,117.340,122.696,87.479,367.060,702.792,45.619,11.323,-18.049,9.059,19.336,21.408,138.662,39.047,99.992,14.528,191.226,27.497,104.089,377.634,-44.550,-76.256,13.167,13.408,155.052,117.279,125.376,91.591,359.969,815.102,23.361,0.3409,0.0190,67.121
left,530,47.878,87.539,-20.343,-36.095,17.796,19.846,184.363,176.811,141.404,130.973,256.984,333.163,27.746,8.677,-12.689,10.145,11.536,19.702,137.961,42.704,113.349,19.216,172.545,29.561,44.892,92.006,-19.491,-39.073,16.651,16.984,180.693,175.543,140.626,135.540,248.648,352.251,-0.333,0.2864,0.0239,31.572
left,531,34.817,139.578,-10.574,-46.735,20.561,27.611,139.004,110.847,98.243,65.227,167.264,295.847,17.337,6.821,4.904,14.705,23.091,22.529,122.593,34.630,80.836,9.877,112.187,17.371,41.241,148.957,-16.088,-50.017,18.519,24.436,132.584,109.927,96.242,68.703,177.175,319.998,5.284,0.3535,0.0132,46.149
one_right,500,122.967,269.310,-41.544,-72.366,30.339,2.056,230.220,97.958,153.355,93.970,464.899,616.349,51.728,12.390,-14.874,3.792,29.159,16.651,197.231,30.442,130.128,11.822,249.167,25.677,118.239,295.990,-42.707,-74.549,25.035,0.783,206.821,98.249,145.388,96.708,435.532,678.945,32.551,0.3366,0.0142,38.683
one_right,501,108.333,283.010,-37.418,-59.386,30.380,55.554,205.028,190.385,133.954,86.678,387.403,614.996,55.476,13.512,-17.603,12.468,28.108,27.665,163.766,41.276,105.893,10.662,220.115,25.614,98.480,291.933,-37.232,-61.385,24.581,51.346,191.352,191.000,133.866,92.274,364.176,653.587,18.510,0.3941,0.0132,58.219
one_right,502,71.822,137.336,-30.441,-48.538,19.518,22.139,186.147,165.225,139.418,117.151,311.372,415.377,41.918,10.524,-13.889,11.677,22.207,23.431,159.166,42.371,112.070,15.345,200.966,27.484,66.925,144.749,-29.777,-51.648,17.220,18.341,177.345,162.338,136.603,121.681,294.949,442.562,-0.918,0.4501,0.0083,47.549
one_right,503,84.125,234.478,-36.941,-66.207,16.107,13.030,172.285,121.219,134.512,95.718,331.797,554.632,37.319,7.468,-8.906,10.781,25.089,19.055,164.630,35.728,111.553,14.004,190.502,22.518,88.086,280.208,-40.820,-70.970,11.310,10.373,157.213,120.931,131.078,100.168,334.625,661.055,55.748,0.4011,0.0137,63.985
one_right,504,48.066,318.815,-16.486,-74.499,23.655,6.803,197.330,104.493,140.451,91.468,256.026,701.896,24.306,9.974,1.869,7.359,26.629,18.067,166.418,38.654,110.392,17.437,161.530,29.150,44.867,375.710,-16.903,-77.880,20.380,5.228,186.001,104.784,137.582,94.611,244.179,825.782,-14.760,0.3932,0.0112,73.803
one_right,505,55.098,88.909,-22.382,-37.075,20.385,18.871,185.648,109.687,137.279,76.398,268.016,233.232,32.327,10.753,-9.327,9.922,19.985,21.742,160.937,27.577,117.475,4.793,187.778,16.061,52.370,92.071,-22.885,-39.649,17.499,15.916,173.560,110.623,132.818,81.703,254.745,248.998,15.629,0.4588,0.0078,43.559
one_right,506,96.001,215.479,-37.439,-59.106,22.621,29.013,213.956,168.817,156.038,108.364,401.839,557.345,44.183,8.523,-12.579,17.162,26.046,27.148,180.388,42.972,122.449,12.445,220.734,22.029,84.677,234.422,-37.045,-62.687,16.264,24.782,199.394,166.130,157.512,113.276,375.565,613.243,66.897,0.3324,0.0156,58.931
one_right,507,42.060,188.810,-12.453,-62.040,24.369,9.631,243.757,165.901,176.400,142.542,292.655,600.486,21.577,12.118,4.966,5.766,27.615,18.583,204.078,37.984,138.278,16.361,189.691,30.462,40.079,198.063,-12.765,-64.393,22.197,6.133,234.110,166.009,173.419,150.638,283.002,647.059,-5.145,0.3905,0.0107,59.415
one_right,508,117.133,162.896,-51.015,-46.945,6.362,39.480,131.051,126.463,117.231,62.363,371.681,326.845,47.477,10.011,-26.908,14.366,7.795,25.815,112.575,28.426,97.204,2.075,190.831,12.294,114.422,180.228,-52.090,-51.206,2.730,36.735,118.612,129.232,112.801,67.647,356.293,369.795,37.341,0.3997,0.0098,71.642
one_right,509,73.427,159.431,-30.954,-63.490,19.745,-5.283,214.445,138.622,162.596,151.931,355.412,553.587,33.172,6.017,-9.115,9.082,21.033,15.645,180.980,45.216,132.151,25.571,209.161,33.126,69.385,167.603,-29.653,-65.340,19.158,-7.248,205.918,136.365,156.734,154.835,334.868,581.945,-20.064,0.3971,0.0103,46.658
one_right,510,125.263,184.694,-50.084,-56.934,12.443,22.606,153.216,114.214,125.195,74.718,407.281,397.412,46.191,12.287,-20.561,10.381,16.133,23.944,139.671,32.715,106.375,7.077,201.703,20.233,120.822,188.288,-50.684,-58.529,8.901,19.555,139.765,114.669,120.168,79.556,386.179,417.640,149.718,0.3196,0.0156,37.081
one_right,511,59.369,128.031,-35.490,-65.780,2.809,-21.968,142.385,78.809,135.762,129.149,275.732,422.529,22.728,6.969,-11.132,3.497,9.066,10.710,132.422,22.176,113.102,10.357,161.535,18.049,60.784,144.500,-37.129,-68.748,1.087,-23.590,133.219,80.950,130.712,136.813,270.948,479.009,3.791,0.3804,0.0093,53.937
one_right,512,86.276,137.438,-36.342,-57.918,18.580,-0.080,181.926,103.608,137.752,103.771,342.876,383.830,43.199,7.906,-17.629,9.539,17.954,18.199,146.045,36.581,108.594,15.552,198.705,24.687,85.945,154.648,-37.099,-61.297,16.961,-1.443,173.858,105.005,134.144,108.007,335.378,429.684,-15.638,0.3726,0.0132,45.359
one_right,513,80.723,152.578,-36.436,-62.146,14.874,-4.390,206.254,122.237,166.599,132.440,381.806,487.091,38.201,7.924,-12.475,3.788,20.961,12.012,182.678,40.537,133.695,25.467,222.969,35.408,80.132,158.589,-38.150,-63.730,11.412,-6.211,195.353,121.846,165.101,136.536,377.530,511.656,50.103,0.3853,0.0117,13.192
one_right,514,69.168,152.875,-34.424,-56.368,10.934,10.335,180.597,126.097,152.940,104.919,327.894,418.190,29.538,7.871,-11.600,9.093,14.512,17.680,162.335,36.844,129.089,16.284,196.757,25.437,64.851,170.109,-33.500,-59.712,9.626,8.821,171.364,126.925,147.536,108.530,308.065,463.260,12.832,0.4254,0.0103,40.744
one_right,515,72.978,232.783,-24.816,-67.034,30.052,9.707,205.572,109.415,134.962,90.886,306.433,535.238,43.227,11.723,-10.243,6.113,28.556,18.552,163.995,31.815,105.354,11.188,194.122,24.222,67.427,291.467,-25.771,-72.573,24.280,7.366,188.495,109.272,132.133,94.914,288.654,663.025,-6.214,0.3840,0.0107,66.037
one_right,516,94.915,189.984,-42.896,-65.267,11.305,0.721,175.537,104.135,147.553,102.675,382.516,487.724,47.062,11.123,-22.304,0.884,14.262,12.105,152.258,22.605,120.772,9.366,224.673,21.531,89.166,210.580,-42.200,-67.978,9.338,-0.546,164.350,108.189,141.774,109.332,357.354,550.144,40.798,0.4181,0.0107,49.407
one_right,517,58.796,146.113,-20.711,-48.416,25.907,26.954,221.034,185.249,154.976,124.687,304.891,452.985,34.648,9.364,-9.218,16.356,22.236,27.251,173.606,51.978,123.835,19.431,201.389,30.615,56.739,157.839,-20.754,-52.174,24.209,23.314,213.766,184.089,152.610,130.380,295.939,494.010,-25.394,0.4043,0.0088,34.470
one_right,518,100.961,181.044,-35.811,-61.174,28.995,9.117,233.578,135.354,158.598,115.689,419.680,506.181,50.702,3.631,-19.419,8.110,21.437,12.036,173.940,31.185,125.582,17.092,239.958,21.344,92.756,206.881,-33.274,-64.737,28.619,8.216,229.484,136.438,156.171,118.488,393.783,570.500,-22.354,0.3345,0.0142,57.240
one_right,519,88.333,206.937,-39.304,-65.676,14.312,5.353,167.933,99.448,134.388,89.314,341.430,481.077,36.519,14.382,-11.291,8.670,21.104,24.299,156.196,37.549,111.550,10.659,188.806,26.574,83.080,227.980,-41.153,-68.741,7.738,2.524,151.022,98.536,132.993,93.649,326.565,535.130,17.480,0.4065,0.0098,67.401
one_right,520,69.152,104.630,-31.564,-51.217,15.761,-0.176,185.617,111.573,146.730,111.947,317.349,333.707,40.565,12.908,-13.616,5.763,21.426,19.415,159.865,33.920,114.011,12.147,200.824,26.623,64.073,109.987,-31.925,-53.964,11.692,-3.330,171.381,111.190,142.972,118.464,298.652,358.748,8.091,0.3630,0.0166,52.212
one_right,521,62.286,137.882,-25.720,-54.486,20.546,8.270,207.269,110.604,154.897,94.517,313.661,362.721,37.567,10.306,-8.016,11.639,26.540,23.144,185.137,44.672,125.334,17.483,209.986,29.590,61.352,143.605,-28.000,-56.468,16.174,6.045,189.461,109.925,149.161,97.958,302.027,382.236,8.954,0.4078,0.0103,75.966
one_right,522,60.783,238.801,-19.680,-63.248,29.141,24.517,246.187,156.830,168.069,106.261,331.009,598.815,24.298,10.762,0.701,11.523,25.170,23.525,202.871,46.562,141.968,18.649,200.762,31.419,57.962,270.279,-19.538,-67.155,27.099,21.618,234.603,156.184,163.261,110.646,315.853,679.978,-8.260,0.3842,0.0161,51.521
one_right,523,65.937,229.723,-20.380,-65.366,32.119,14.195,228.550,118.805,148.678,91.606,312.648,531.770,37.232,17.314,-3.008,4.168,33.104,22.203,187.253,30.887,115.811,7.106,196.160,25.650,62.031,241.816,-20.388,-67.459,28.997,11.229,211.789,120.860,141.703,98.564,291.634,578.722,13.227,0.4339,0.0093,67.842
one_right,524,71.802,172.485,-37.535,-66.308,7.316,-8.194,200.742,127.281,180.240,147.566,381.458,574.582,31.831,6.179,-16.701,6.415,9.813,12.991,165.450,38.573,141.729,22.641,218.673,30.219,68.110,195.414,-37.127,-69.309,5.696,-9.335,193.166,128.201,177.367,151.697,366.282,643.548,37.235,0.3533,0.0107,11.417
one_right,525,73.516,256.306,-27.916,-70.054,25.077,6.701,209.510,84.208,147.455,72.639,329.374,515.125,30.973,9.392,-4.265,6.037,25.388,15.995,172.031,25.691,116.951,8.359,184.149,18.536,70.522,304.205,-28.021,-74.088,22.739,4.736,200.188,84.476,144.575,76.134,317.053,611.941,50.419,0.3853,0.0107,71.886
one_right,526,33.439,139.390,-8.642,-50.513,21.907,18.468,251.974,169.459,188.723,127.454,285.269,444.501,4.254,3.093,14.327,8.692,19.191,12.054,211.570,39.355,161.404,24.364,172.525,28.211,38.450,158.912,-12.170,-55.159,21.600,16.098,243.095,167.744,182.150,130.619,290.637,497.099,-9.042,0.4025,0.0112,54.316
one_right,527,82.613,173.133,-42.598,-64.249,4.823,-2.352,171.357,99.785,158.872,104.596,372.733,458.819,31.324,3.595,-12.711,18.172,14.632,22.420,165.884,33.837,131.946,9.326,204.601,13.256,92.233,208.972,-46.683,-69.254,2.493,-5.002,156.275,98.706,150.042,109.169,380.662,546.274,41.948,0.2658,0.0190,25.241
one_right,528,70.443,185.214,-31.899,-52.858,16.074,34.455,188.200,181.695,148.289,109.510,323.192,497.551,31.210,10.372,-12.933,15.590,14.241,27.579,154.736,50.052,122.981,17.615,192.573,29.814,64.991,201.545,-32.332,-56.709,11.646,30.541,177.827,180.028,148.847,114.513,310.576,546.851,3.627,0.4019,0.0112,52.261
one_right,529,52.883,174.116,-17.502,-58.499,26.126,13.762,212.967,134.465,148.138,106.101,279.361,464.956,19.406,8.925,3.811,3.753,23.957,13.013,168.381,29.623,116.512,14.697,158.527,24.935,56.521,207.856,-22.481,-63.373,21.334,12.759,198.378,138.149,145.915,111.202,284.909,550.198,4.076,0.3491,0.0186,45.291
one_right,530,68.458,163.266,-20.228,-45.595,34.383,43.231,244.128,153.048,156.079,76.672,331.387,365.116,36.033,15.340,-4.020,11.846,30.564,29.003,193.880,39.686,125.084,8.281,206.189,24.891,67.524,168.211,-20.933,-48.107,32.456,39.182,235.135,153.160,153.016,81.891,323.861,387.852,-7.010,0.3562,0.0166,33.387
one_right,531,52.719,101.463,-25.302,-48.535,14.078,3.682,176.222,81.742,142.134,75.287,269.785,253.138,23.553,9.751,-0.316,4.002,23.162,14.143,168.900,24.122,118.330,8.743,169.754,19.346,53.790,105.511,-28.796,-50.369,9.505,1.998,158.700,82.757,136.245,79.177,263.321,268.228,-4.732,0.3765,0.0146,28.468
