sweep,method,target_mode,seed,beta,m,H,omega_out,omega_in,s,phi,B0,gamma,N,dt,n_steps,fr_every,target_ema_rate,score_clip,max_event_fraction,ess_window_steps,final_l2_f,final_l2_fp,int_l2_f,int_l2_fp,final_ess,final_cross,final_occ,final_denom0,n_die,n_clone,repl_fraction,n_fr_apply,score_std,delta_f_energetic,delta_f_entropic
main,abf,none,2,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03964109487020298,0.09982129766847439,2.238719932724125,6.458301322745545,512.0,116590.0,0.091796875,9136335.332792627,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,3,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.035069700685557155,0.08730211083568613,2.1779799610176753,6.376592719526778,512.0,115318.0,0.09765625,9206727.068211114,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,4,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03503163817104428,0.09473699299872539,1.9478819545208226,5.991730551629445,512.0,110484.0,0.052734375,8724305.365196694,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,5,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03581438507628389,0.0943906561080163,1.829610828154839,6.450285989011896,512.0,106395.0,0.068359375,8450977.16226238,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,6,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.034644068506761376,0.09226990554720495,2.124386783826237,5.863553610028191,512.0,115644.0,0.080078125,9288385.39195756,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,7,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03658910394531029,0.09077456378719835,2.0794321992373668,6.036582864385569,512.0,108599.0,0.07421875,8661951.70005916,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,8,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03774550576650783,0.09486510942494146,2.1021158944013356,7.394233832943411,512.0,109386.0,0.078125,8754879.207321076,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,9,4.0,2,1.5,1.0,2.718281828459045,0.25,0.25,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03362445174329934,0.08788211180640532,1.914247558251542,6.478083811805915,512.0,111282.0,0.09765625,8849346.823118985,0.0,0.0,0.0,0.0,0.0,1.5,0.5
main,abf,none,0,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03285426196226823,0.08012363126504109,2.5030457094661474,5.745023703574438,512.0,110094.0,0.07421875,8778572.34971363,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,1,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.026070206970447804,0.06926606032166908,2.4283466827986713,5.180522196582569,512.0,106809.0,0.0703125,8543392.703434333,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,10,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.025665891255066676,0.07066922623394885,2.377733457072271,5.679409698915187,512.0,115655.0,0.080078125,9181084.83544409,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,11,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.028486017181565754,0.07236090284939081,2.4510842818233955,5.392704502517005,512.0,105361.0,0.068359375,8387980.498764682,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,12,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.033525911191682536,0.07904810898486728,2.70795863623792,5.67060866960283,512.0,101620.0,0.068359375,8092599.4522062475,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,13,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.026956680109766682,0.07101496385446872,2.1837470921516204,5.097182814674412,512.0,112819.0,0.0859375,9032826.626013739,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,14,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.027488022752492264,0.06743474019468759,2.1935082890961723,4.640160614986321,512.0,117434.0,0.103515625,9336377.215176694,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,15,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.028655759905966957,0.07611758746582216,2.17421620308156,5.026421359129039,512.0,102683.0,0.0859375,8272048.057700982,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,16,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03481213043648742,0.07858394337853823,2.8046756796722088,5.705472289141358,512.0,108807.0,0.08984375,8665331.382379336,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,17,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03018207179498399,0.07142637999878988,2.7261419630333688,5.87411566513763,512.0,107633.0,0.068359375,8565380.239356972,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,18,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02930080139854636,0.07317367899574724,2.429744043071956,5.743157008285691,512.0,105889.0,0.08203125,8439714.676032793,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,19,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02822383493769683,0.07065478641194403,2.4316552505259694,6.183754750026752,512.0,112875.0,0.09375,9017815.424279675,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,2,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02421390681296516,0.0651889887959865,2.22726071606397,5.383253735061171,512.0,112637.0,0.07421875,8945626.988165932,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,3,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02982610890795132,0.06845474809160647,2.435507154959857,5.431749652912149,512.0,105960.0,0.078125,8482118.34794665,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,4,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.030465751303726127,0.07312165491086707,2.5816887972902895,5.698758486926952,512.0,117646.0,0.08203125,9238954.20990399,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,5,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03107225431630347,0.06904153914416691,2.999243449604255,5.846288314564735,512.0,110239.0,0.07421875,8736352.635341343,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,6,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.026190511804135733,0.06752990360708509,2.267991608821413,5.172403148313986,512.0,112566.0,0.1015625,8886718.10175087,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,7,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03142936763550802,0.07502906912720142,2.4918646268363225,5.759361558906241,512.0,112298.0,0.091796875,8878656.675857017,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,8,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02643663067742799,0.0694301693564456,2.3711778936488104,5.468479670225461,512.0,107259.0,0.080078125,8539625.132640133,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,9,4.0,2,1.0,1.0,7.38905609893065,0.25,0.5,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.027685795476058317,0.07016414395364685,2.177185825672374,5.197654181181518,512.0,112887.0,0.091796875,8977108.464763664,0.0,0.0,0.0,0.0,0.0,1.0,1.0
main,abf,none,0,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.030178728102435853,0.0755375769432088,2.7123410256426532,5.287399931176001,512.0,116158.0,0.080078125,9162462.993970761,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,1,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.025632929400096153,0.07753529404624358,2.5795786737734083,5.068111369191121,512.0,110992.0,0.08984375,8834118.892822359,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,10,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02295047141414042,0.07050395497132166,2.6653824654539737,5.316129174917765,512.0,119749.0,0.08984375,9478615.305137502,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,11,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.025636974727434737,0.07426882535034746,2.7429728599589147,5.540981421575399,512.0,112751.0,0.095703125,8956951.977592697,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,12,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02122737153357574,0.06762691993266279,2.2638643400469443,4.908070598884127,512.0,114637.0,0.083984375,9057180.255864212,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,13,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.027531242932312114,0.07736449210580319,2.7433375704585137,5.453307407087858,512.0,108164.0,0.0859375,8619890.823767468,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,14,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.024818030274817847,0.07026490235925312,2.8821877412911725,5.234254888290597,512.0,112666.0,0.10546875,8866756.441279259,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,15,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.025471323536561126,0.07923187891013635,2.8419942957225466,5.827161772407337,512.0,115367.0,0.06640625,9178367.64707332,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,16,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02798773981723378,0.07185035635487073,3.109915821172588,5.609430019914999,512.0,121376.0,0.111328125,9604636.671287486,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,17,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02757731179603686,0.07900924684431815,2.6390427050335874,5.307776034328159,512.0,110916.0,0.0859375,8803510.045107367,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,18,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02373252006160751,0.07317503568448136,2.510593100428613,4.998841974646605,512.0,113266.0,0.083984375,9006563.647477409,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,19,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02806390012429016,0.07745945688415505,2.6952121236208235,5.338319234020128,512.0,112153.0,0.08203125,8928824.474508476,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,2,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.020405071334913545,0.06685165675313755,2.5182305983538864,5.1556402165377,512.0,113000.0,0.107421875,8994373.043184726,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,3,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02478165563489089,0.07480398435539462,2.443243308733359,5.129808799628655,512.0,112375.0,0.08203125,8878707.561968155,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,4,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.023073213325755983,0.07372221927694385,2.4581252218635523,5.300668095916108,512.0,117311.0,0.09765625,9295030.283637948,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,5,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.021946913628734063,0.06638030545078405,2.686553217893726,5.434435517774171,512.0,109908.0,0.076171875,8783814.340458063,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,6,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.020144334914920542,0.07281094683564454,2.638611269563355,4.9655591188580885,512.0,114613.0,0.111328125,9120216.61346247,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,7,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.024742209104942445,0.07607873987283283,2.633561220897667,5.368820483468393,512.0,115442.0,0.09765625,9250359.935782705,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,8,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02450470289665502,0.07011286566284175,2.946421210918559,5.428704178418149,512.0,115657.0,0.09765625,9106324.488595946,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,9,4.0,2,0.5,1.0,20.085536923187668,0.25,0.75,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.027187272126608406,0.07443398592277943,2.7704237130873945,5.240583576786213,512.0,115982.0,0.087890625,9283293.482096376,0.0,0.0,0.0,0.0,0.0,0.5,1.5
main,abf,none,0,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.031883754560194336,0.13673631355025825,2.959893987004161,7.140357051049547,512.0,115609.0,0.09375,9194217.950094773,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,1,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.030101465717174324,0.1370557762265018,2.7484126773278286,7.053448581762005,512.0,113162.0,0.09375,9077618.593605116,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,10,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.027196415351917514,0.13768520968985917,2.5701102182406816,6.798504892456542,512.0,120330.0,0.095703125,9607493.20308151,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,11,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03784375746297101,0.13941916726529585,3.445526761062852,7.5818458016203945,512.0,116710.0,0.07421875,9407326.68859828,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,12,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02976457300641769,0.13522369392555286,2.7785678222634718,6.999212414506408,512.0,122339.0,0.080078125,9622841.427265583,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,13,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03187673273722176,0.1382236196132336,3.238443049240229,7.431898295277096,512.0,115894.0,0.08984375,9282746.851914529,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,14,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03306885343940258,0.13849548501368006,3.198691358865349,7.432405161673645,512.0,113025.0,0.0859375,9034036.235235909,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,15,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.026424711156595976,0.13444857474326383,2.3448312499712616,6.598686557143273,512.0,115730.0,0.095703125,9190115.476777708,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,16,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.038470296280735755,0.14178176338536985,3.2455335556569818,7.459153764540561,512.0,111588.0,0.099609375,8887533.908548634,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,17,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02912423069873646,0.13315849749155043,2.767564986343002,7.025966010791555,512.0,114378.0,0.076171875,9063019.607655535,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,18,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03470154154978517,0.1406477525130223,2.9934937865665843,7.281694169822828,512.0,114584.0,0.087890625,9216361.758361924,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,19,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03119536240321455,0.13623479480495052,3.1404226320298045,7.331558845611751,512.0,115522.0,0.115234375,9230940.696690116,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,2,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03676579055532258,0.13968057454674146,3.004469864447196,7.144298830306134,512.0,116591.0,0.08984375,9307666.65865372,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,3,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.031238964562492838,0.13822832967594978,2.8958607182529756,7.177914093991143,512.0,114674.0,0.1015625,9180227.037757395,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,4,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.0277646301309177,0.13771683100524887,2.5154152049546807,6.8450411627127465,512.0,109023.0,0.09375,8794576.56215623,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,5,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.02591243073472071,0.13115678877352283,2.4804406239840504,6.446332713515367,512.0,117527.0,0.111328125,9368818.322748628,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,6,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03252081422433314,0.1360330430158844,2.9281706780103542,7.068170484530048,512.0,108458.0,0.083984375,8751585.078819117,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,7,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.026889021190545898,0.13454230675393544,2.8095660206449464,7.231365612479138,512.0,117539.0,0.07421875,9383176.027031284,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,8,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.03005425822926821,0.1378360041882983,2.80057413704681,7.074421122539778,512.0,117252.0,0.13671875,9320163.346313475,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,9,4.0,2,0.19999999999999996,1.0,36.59823444367799,0.25,0.9,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.031238553996276733,0.13672657559621978,3.235861137679223,7.552046658971845,512.0,117452.0,0.091796875,9425890.694170184,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,1.8
main,abf,none,0,4.0,2,2.0,1.0,1.0,0.25,0.0,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.04664124135580568,0.12435442428643576,1.993397955252501,7.54907485037265,512.0,128237.0,0.091796875,10141680.099233277,0.0,0.0,0.0,0.0,0.0,2.0,0.0
main,abf,none,1,4.0,2,2.0,1.0,1.0,0.25,0.0,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.047521064581971494,0.12333209331906723,2.1780554540645296,9.388143385641861,512.0,119520.0,0.1015625,9571813.966905387,0.0,0.0,0.0,0.0,0.0,2.0,0.0
main,abf,none,10,4.0,2,2.0,1.0,1.0,0.25,0.0,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.046660963390275687,0.12216766247677549,2.2592938646438627,9.300822900384771,512.0,120985.0,0.095703125,9626173.60028149,0.0,0.0,0.0,0.0,0.0,2.0,0.0
main,abf,none,11,4.0,2,2.0,1.0,1.0,0.25,0.0,8.0,15.0,512,0.0005,80000,10,0.005,3.0,0.08,4000,0.045851193921715404,0.11895206433322238,2.2403275219695065,9.801164087473213,512.0,122850.0,0.08203125,9786096.333609823,0.0,0.0,0.0,0.0,0.0,2.0,0.0
