phi,gamma,method,seed,final_l2_f,final_l2_fp,int_l2_f,final_ess,repl_fraction,score_std
0.75,50.0,abf,3,0.023318401605950924,0.07167392627564628,2.5962959149469107,512.0,0.0,0.0
0.75,50.0,abf,4,0.02122579949151789,0.06705333700879261,2.5396015377925796,512.0,0.0,0.0
0.75,50.0,abf,5,0.021916154159183368,0.07168079093194611,2.6493411538624083,512.0,0.0,0.0
0.75,50.0,abf,6,0.025984745481829084,0.0697819139710425,3.013671380212793,512.0,0.0,0.0
0.75,50.0,abf,7,0.020412858918458596,0.07034131649026439,2.5567995564367783,512.0,0.0,0.0
0.75,50.0,abf,8,0.0315324625288984,0.07590074579748328,2.735671511998578,512.0,0.0,0.0
0.75,50.0,abf,9,0.02499619358040914,0.0737128067945777,2.7678625520829554,512.0,0.0,0.0
0.75,5.0,abf,0,0.026566577035445984,0.0786745380261296,2.639063283868315,512.0,0.0,0.0
0.75,5.0,abf,1,0.0223536056357457,0.06785681527847928,2.5848708994746694,512.0,0.0,0.0
0.75,5.0,abf,10,0.02576850313404901,0.07296138745635697,2.7905989128199433,512.0,0.0,0.0
0.75,5.0,abf,11,0.02660501560002357,0.07729762283803464,2.9686304396966623,512.0,0.0,0.0
0.75,5.0,abf,12,0.023229372115222767,0.06847600663570227,2.7401149661896174,512.0,0.0,0.0
0.75,5.0,abf,13,0.02452840486188325,0.06793562349256076,2.611423230403505,512.0,0.0,0.0
0.75,5.0,abf,14,0.024527146628924624,0.07091351800631995,2.789765565550226,512.0,0.0,0.0
0.75,5.0,abf,15,0.024745146576485837,0.07345198474079526,2.7294406381569893,512.0,0.0,0.0
0.75,5.0,abf,16,0.028176327681691545,0.07815301482328729,2.811922122478509,512.0,0.0,0.0
0.75,5.0,abf,17,0.023229173045616662,0.07191686301612082,2.8253776949679192,512.0,0.0,0.0
0.75,5.0,abf,18,0.021448176823567974,0.06815665250530513,2.168020434554969,512.0,0.0,0.0
0.75,5.0,abf,19,0.026378564895425533,0.07067860325861508,2.616208139288471,512.0,0.0,0.0
0.75,5.0,abf,2,0.02407327821582682,0.07587903186900924,2.368229458662169,512.0,0.0,0.0
0.75,5.0,abf,3,0.02185006921985005,0.07134937058339164,2.733514554685926,512.0,0.0,0.0
0.75,5.0,abf,4,0.025630412140336217,0.07493696204304993,2.761941621698496,512.0,0.0,0.0
0.75,5.0,abf,5,0.0226487913530315,0.0689735670383,2.5323817477267783,512.0,0.0,0.0
0.75,5.0,abf,6,0.028796941332509502,0.07365862329662076,3.1185615448217296,512.0,0.0,0.0
0.75,5.0,abf,7,0.02322748118423192,0.07517995768212873,2.7718591072994583,512.0,0.0,0.0
0.75,5.0,abf,8,0.024943403432198044,0.07131242163809559,2.8814298325835064,512.0,0.0,0.0
0.75,5.0,abf,9,0.016893137255347117,0.06629885332070451,2.417046709735379,512.0,0.0,0.0
0.9,15.0,abf,0,0.03493250387334552,0.13981965668244217,3.113247154167996,512.0,0.0,0.0
0.9,15.0,abf,1,0.030923965099914054,0.135639477226265,2.9417522482743603,512.0,0.0,0.0
0.9,15.0,abf,10,0.03276082024441864,0.13960120217485372,2.720474471294491,512.0,0.0,0.0
0.9,15.0,abf,11,0.030869224628099157,0.13770769960091964,2.9004708435120774,512.0,0.0,0.0
0.9,15.0,abf,12,0.031026256627770143,0.13960934405945016,2.836240735919761,512.0,0.0,0.0
0.9,15.0,abf,13,0.028878640387616887,0.1357188646152689,2.873162628557991,512.0,0.0,0.0
0.9,15.0,abf,14,0.027098181931785894,0.13525388121471887,2.3701407950744287,512.0,0.0,0.0
0.9,15.0,abf,15,0.027973011053795807,0.13129903844578825,2.8444056552479484,512.0,0.0,0.0
