kind,molecule,method,name,init_mode,beta,sigma,decouple,stage,n_steps,n_replicas,run_id,wall_seconds,seed,final_l2_F,integrated_l2_F,final_l2_Fp,integrated_l2_Fp,early_l2_F,mid_l2_F,low_support_fraction,median_support,n_transitions,n_round_trips,fd_compact,fd_intermediate,fd_extended,total_replacements,final_ancestor_ess,min_ancestor_ess,final_max_ancestor_frac,final_frac_compact,final_frac_extended,dist_cond_tv_weighted,dist_cond_kl_weighted,dist_cond_basin_err_weighted,dist_cond_support_fraction,cell,F_range_thermal,final_quarter_decrease,norm_final_l2_F
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,2,1.0561969287146051,63.69624973653156,8.529114825601564,390.6281276816647,2.966126895869389,1.287779091903917,0.15591397849462366,6068794.114365244,4904565,12261,1665,161,0,0,,,,0.15625,0.1943359375,0.09303932884433291,0.2234978747547461,0.06010607253661672,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,0.009967422466571575,0.10745971817788533
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,3,1.071944502826984,63.05073612148405,8.597519640428612,389.72892176407663,3.124780438456142,1.230165164265229,0.15591397849462366,6072690.30991582,4951061,12527,1854,186,0,0,,,,0.126953125,0.2275390625,0.09715339991839238,0.23518820347485847,0.07112312356125382,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.010375174620533011,0.10906190980531323
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,4,1.0563857962441419,63.47724347783334,8.537936553827272,390.2034741278254,3.1168439569211124,1.2524169552465898,0.15053763440860216,6050173.94054137,4927128,12281,1644,126,0,0,,,,0.146484375,0.20703125,0.09328319002214787,0.22235508631968945,0.06224401692649722,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,0.003990090857885663,0.10747893396136775
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,5,1.0689595267003753,63.65300384550619,8.599174198268399,390.64049384810727,3.0806764023313464,1.2536831556075483,0.15053763440860216,6038757.439992977,4971185,12416,2380,107,0,0,,,,0.150390625,0.1923828125,0.09428785625445725,0.2341699050687667,0.06372632267163149,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,0.0009282486168778943,0.10875821199611446
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,6,1.0583396854457294,61.87968892656116,8.530724729053595,386.4079496970829,2.99253786063967,1.2168609086268802,0.15053763440860216,6022130.6985380575,4902402,11864,1341,200,0,0,,,,0.15625,0.216796875,0.0938597674399129,0.22168229667933334,0.06417611460658908,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.005688481857268173,0.10767772679748112
dist,pentane,abf,abf,trans,1.4,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.4__N1024__T80000__ns8__516b1d572ec3,1107.1449209339917,7,1.066731646521603,63.425713276539064,8.594633203498208,391.0934063482699,3.2127779916271897,1.2304460403893032,0.15591397849462366,6033391.859322842,4965229,12597,2241,146,0,0,,,,0.140625,0.2158203125,0.09606508784567072,0.2349763946916658,0.06657812212062823,0.8333333333333334,screen_dist_pentane_b1.4_trans_g256,9.828770693090885,-0.004314958317058407,0.10853154273621013
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,0,1.1686000671304937,75.49859242983479,9.145279227443993,424.9321242936876,3.7995103279060123,1.5389814593582225,0.20430107526881722,5974000.720392821,5025576,11922,3092,245,0,0,,,,0.2041015625,0.1376953125,0.09076428197093948,0.3069259635750757,0.054390820468634755,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.04009922237846896,0.12100769503453772
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,1,1.164470292771675,77.08401047614173,9.03963955383739,427.23461811023816,3.4907988684634446,1.6639707446557934,0.1881720430107527,5947113.830332743,4985039,11607,2588,203,0,0,,,,0.1708984375,0.140625,0.0853405910762618,0.27957222455759295,0.05117125164624308,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.09642381725110863,0.12058005987497412
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,2,1.1654602234940108,77.17522831589815,9.077338643083127,427.7621346773602,3.552555046166473,1.6359340244102911,0.1935483870967742,5943255.431082968,5020579,11782,1427,210,0,0,,,,0.1982421875,0.150390625,0.08725828171384853,0.29359208078536925,0.04972221580600731,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.08388528792160314,0.12068256648807733
dist,pentane,abf,abf,trans,1.6,2.3,False,screen,80000,1024,screen__dist__pentane__abf__trans__b1.6__N1024__T80000__ns8__c9dc9e975f10,1089.9121149480343,3,1.1578837549351035,75.46376511364899,9.083620086162343,424.0031511245146,3.778481346589176,1.543980576519154,0.20430107526881722,5992245.899896342,5019835,11710,1971,624,0,0,,,,0.171875,0.1630859375,0.08911771747915584,0.2957376448965223,0.05459911804130837,0.8333333333333334,screen_dist_pentane_b1.6_trans_g256,9.65723763928364,0.04553648744611378,0.11989802862726216
