init,seed,P1_dI_0.0175,P1_dF_0.0175,P2_dI_0.0175,P2_dF_0.0175,C1_dI_0.0175,C1_dF_0.0175,C2_dI_0.0175,C2_dF_0.0175,A1_dI_0.0175,A1_dF_0.0175,A2_dI_0.0175,A2_dF_0.0175,A3_dI_0.0175,A3_dF_0.0175,A4_dI_0.0175,A4_dF_0.0175,V_fr_dI_0.0175,V_fr_dF_0.0175,V_ot_dI_0.0175,V_ot_dF_0.0175,V_otr_dI_0.0175,V_otr_dF_0.0175,V_fullr_dI_0.0175,V_fullr_dF_0.0175,V_frr_dI_0.0175,V_frr_dF_0.0175,P1_dI_0.07,P1_dF_0.07,P2_dI_0.07,P2_dF_0.07,C1_dI_0.07,C1_dF_0.07,C2_dI_0.07,C2_dF_0.07,A1_dI_0.07,A1_dF_0.07,A2_dI_0.07,A2_dF_0.07,A3_dI_0.07,A3_dF_0.07,A4_dI_0.07,A4_dF_0.07,V_fr_dI_0.07,V_fr_dF_0.07,V_ot_dI_0.07,V_ot_dF_0.07,V_otr_dI_0.07,V_otr_dF_0.07,V_fullr_dI_0.07,V_fullr_dF_0.07,V_frr_dI_0.07,V_frr_dF_0.07,P1_dI_raw,P1_dF_raw,P2_dI_raw,P2_dF_raw,C1_dI_raw,C1_dF_raw,C2_dI_raw,C2_dF_raw,A1_dI_raw,A1_dF_raw,A2_dI_raw,A2_dF_raw,A3_dI_raw,A3_dF_raw,A4_dI_raw,A4_dF_raw,V_fr_dI_raw,V_fr_dF_raw,V_ot_dI_raw,V_ot_dF_raw,V_otr_dI_raw,V_otr_dF_raw,V_fullr_dI_raw,V_fullr_dF_raw,V_frr_dI_raw,V_frr_dF_raw
left,560,76.332,259.851,-60.458,-84.034,-33.668,-80.024,-20.116,-44.336,-36.288,3.863,-12.717,3.219,-87.135,9.944,-82.375,9.262,-39.388,-63.888,6.878,29.948,-57.738,-79.252,-91.466,-78.037,-51.581,-79.899,33.580,13.126,-34.697,-11.623,-8.600,-2.780,-5.413,-0.113,-19.537,15.445,-7.777,0.090,-49.966,19.100,-42.654,3.260,-15.692,12.261,12.619,26.996,-26.457,12.235,-54.269,15.789,-20.255,12.134,79.176,292.890,-59.845,-86.325,-33.295,-80.526,-17.674,-46.105,-38.345,-11.127,-12.606,-0.308,-89.046,-23.433,-84.473,-14.112,-42.838,-67.788,2.420,26.558,-58.873,-82.693,-92.693,-85.089,-52.941,-82.639
left,561,39.838,184.629,-56.869,-85.726,-20.199,-83.363,-25.884,-60.583,-51.845,9.083,-18.622,3.073,-89.754,18.775,-82.685,12.231,-36.287,-55.333,-10.905,27.137,-61.572,-81.852,-91.823,-80.240,-52.778,-82.393,16.991,13.562,-28.559,-14.593,5.891,-6.361,-9.529,-5.245,-36.307,24.250,-7.617,2.359,-59.274,29.143,-40.928,6.390,-19.305,19.957,-5.594,36.225,-32.555,16.346,-56.874,20.928,-26.994,13.665,38.312,198.434,-56.379,-87.497,-22.214,-83.247,-25.030,-62.291,-51.757,-7.778,-19.522,-1.047,-91.179,-23.977,-85.285,-18.428,-37.802,-58.595,-13.973,23.568,-62.474,-84.550,-93.139,-87.264,-53.370,-84.387
left,562,42.095,286.188,-59.515,-83.592,-30.035,-84.038,-32.673,-37.644,-34.934,9.780,-14.556,1.622,-86.001,13.153,-81.617,4.744,-20.866,-72.346,12.445,6.795,-54.477,-82.477,-90.206,-81.938,-46.722,-82.756,15.586,12.613,-33.180,-10.784,-3.881,-7.504,-14.752,0.547,-20.280,14.953,-9.400,-0.077,-48.081,19.559,-40.996,3.927,-0.788,5.830,14.675,19.178,-23.374,6.327,-50.096,10.587,-15.424,6.409,42.106,342.346,-58.910,-84.927,-30.042,-84.832,-31.087,-40.284,-36.249,3.160,-15.268,11.655,-87.745,-21.304,-83.711,-14.824,-23.621,-76.533,8.540,3.805,-55.401,-84.353,-91.426,-88.064,-47.365,-85.986
left,563,70.212,253.634,-61.074,-85.548,-19.098,-82.951,-21.613,-49.644,-42.691,13.278,-15.476,1.492,-88.272,14.207,-82.702,2.324,-30.023,-62.211,19.109,33.634,-53.636,-80.687,-90.512,-80.529,-45.147,-80.971,38.101,9.105,-33.412,-9.533,10.341,-6.393,-2.343,-2.545,-23.169,23.368,-5.835,1.282,-52.810,25.225,-42.163,2.807,-7.811,16.997,27.314,27.650,-15.224,15.481,-47.930,17.219,-9.971,14.019,68.681,290.109,-60.693,-87.506,-19.899,-83.609,-21.098,-54.018,-43.001,-1.266,-15.967,6.002,-89.538,-19.838,-84.577,-13.937,-31.140,-66.797,16.153,29.529,-54.343,-83.816,-91.620,-86.860,-45.668,-84.732
left,564,67.095,123.809,-60.054,-83.801,-37.559,-82.656,-27.987,-65.468,-29.486,9.149,-7.311,4.987,-86.751,9.676,-82.585,5.494,-34.035,-47.783,10.223,16.867,-55.970,-81.069,-91.727,-80.978,-52.497,-81.968,36.998,10.978,-35.811,-11.588,-16.786,-8.835,-8.668,-3.387,-15.378,22.488,-3.716,1.557,-49.506,26.384,-42.547,4.787,-19.924,13.808,9.703,26.302,-29.583,11.666,-57.982,15.218,-26.865,9.954,64.451,125.651,-59.105,-86.307,-34.299,-82.176,-27.233,-69.028,-31.628,-12.124,-7.578,-0.240,-88.777,-28.345,-84.829,-18.655,-33.206,-49.306,9.843,14.391,-55.079,-84.337,-92.626,-87.228,-51.396,-84.299
left,565,51.808,153.000,-62.202,-82.071,-38.497,-82.612,-20.197,-55.983,-27.692,5.592,-28.097,3.052,-83.897,9.705,-83.987,7.065,-22.497,-59.523,17.656,2.406,-55.528,-81.640,-90.096,-80.925,-38.150,-82.183,28.823,9.315,-33.687,-8.390,-12.687,-8.004,-5.558,0.856,-6.312,17.984,-9.546,-0.707,-41.257,22.641,-43.284,3.213,-4.243,8.385,23.358,18.482,-18.198,8.541,-48.709,12.826,-9.565,9.314,51.022,169.589,-63.071,-85.720,-35.464,-82.812,-18.278,-59.448,-33.825,-17.418,-31.756,-5.066,-86.694,-28.494,-86.278,-17.799,-23.425,-63.130,15.646,-0.603,-57.294,-85.806,-91.413,-87.710,-37.421,-85.049
left,566,53.142,167.618,-65.079,-84.634,-36.145,-79.292,-23.637,-58.591,-32.095,10.342,-29.968,-0.690,-84.618,16.442,-84.136,4.800,-18.920,-44.436,24.168,48.699,-56.640,-77.150,-90.178,-75.887,-38.084,-76.992,29.693,18.286,-36.824,-12.622,-5.625,-1.228,-4.004,-0.638,-16.026,17.331,-14.648,4.021,-44.380,19.171,-43.468,5.652,-3.275,12.126,25.445,32.630,-20.749,15.890,-47.509,17.707,-7.148,11.410,52.337,160.732,-65.259,-87.227,-35.006,-79.371,-21.618,-61.974,-37.146,-11.562,-32.480,-12.418,-87.496,-23.409,-86.568,-24.150,-22.810,-45.220,17.588,42.830,-59.149,-81.756,-91.873,-84.200,-39.498,-79.169
left,567,56.912,135.481,-58.487,-84.184,-31.281,-78.151,-25.877,-63.717,-28.808,10.208,-12.120,2.648,-86.363,17.116,-83.167,9.082,-24.896,-35.346,17.848,52.247,-51.078,-75.921,-90.629,-74.412,-44.330,-76.542,39.736,8.271,-32.468,-12.232,-6.784,-3.739,-1.365,-5.383,-13.739,14.294,-4.328,0.434,-49.292,18.462,-43.760,4.097,-14.790,15.778,19.069,25.354,-19.590,10.021,-52.732,14.033,-15.953,9.545,51.285,145.992,-58.952,-85.892,-31.588,-79.279,-25.932,-67.830,-31.626,0.019,-16.159,7.881,-88.334,-22.916,-85.695,-16.857,-24.675,-40.281,13.955,46.903,-53.224,-79.275,-92.019,-84.027,-44.208,-80.789
left,568,67.184,209.776,-62.798,-85.302,-33.337,-83.540,-16.014,-55.723,-34.651,-2.337,-25.944,2.834,-86.523,2.877,-84.727,8.324,-29.958,-64.695,17.099,9.367,-56.436,-83.925,-91.016,-83.067,-41.175,-84.368,38.417,10.647,-35.498,-11.846,-4.739,-12.476,0.546,-4.033,-19.240,19.356,-11.203,1.639,-49.264,23.472,-44.215,5.143,-13.831,7.100,19.272,18.503,-23.067,4.466,-51.668,8.068,-13.360,2.781,63.777,218.486,-62.086,-86.270,-31.772,-83.044,-15.421,-60.228,-35.584,-12.786,-26.586,9.948,-88.243,-31.032,-86.601,-13.054,-29.221,-66.182,15.920,7.704,-56.051,-85.212,-91.979,-88.306,-40.135,-86.550
left,569,74.244,167.079,-59.838,-84.283,-32.065,-82.491,-13.347,-57.594,-28.840,9.752,-19.242,-1.013,-86.237,18.193,-84.381,6.600,-30.919,-54.221,20.370,22.267,-51.657,-80.784,-90.650,-79.306,-40.139,-80.587,36.013,8.689,-33.708,-9.482,-7.848,-6.498,1.559,-2.321,-12.163,17.441,-11.219,0.721,-46.814,21.436,-46.242,4.147,-10.227,11.614,22.102,21.312,-19.056,9.810,-50.988,13.545,-8.827,9.024,75.042,183.808,-59.245,-86.374,-32.045,-83.469,-12.206,-62.603,-29.526,-2.057,-18.742,3.407,-88.361,-20.325,-86.580,-15.880,-32.869,-58.131,17.507,18.827,-52.110,-83.809,-92.091,-86.829,-41.063,-84.342
